STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
AL,01,Bradley,Byrne,bradley byrne,"Byrne, Bradley",R,1,208083
AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,134886
AL,02,Nathan ,Mathis,nathan mathis,"Mathis, Nathan ",D,0,112089
AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,192164
AL,03,Jesse,Smith,jesse smith,"Smith, Jesse",D,0,94549
AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,235925
AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,205647
AL,05,"Will, Jr.",Boyd,will boyd,"Boyd, Will, Jr.",D,0,102234
AL,06,Gary,Palmer,gary palmer,"Palmer, Gary",R,1,245313
AL,06,David J.,Putman,david putman,"Putman, David J.",D,0,83709
AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,229330
AK,00,Don,Young,don young,"Young, Don",R,1,155088
AK,00,Steve,Lindbeck,steve lindbeck,"Lindbeck, Steve",D,0,111019
AK,00,Jim C.,McDermott,jim mcdermott,"McDermott, Jim C.",OTHER,0,31770
AK,00,Bernie,Souphanavong,bernie souphanavong,"Souphanavong, Bernie",OTHER,0,9093
AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",R,1,8923
AS,00,Vaitinasa Salu,Hunkin-Finau,vaitinasa hunkinfinau,"Hunkin-Finau, Vaitinasa Salu",D,0,1581
AS,00,Paepaetele Mapu S.,Jamias,paepaetele jamias,"Jamias, Paepaetele Mapu S.",D,0,978
AS,00,Meleagi,Suitonu-Chapman,meleagi suitonuchapman,"Suitonu-Chapman, Meleagi",D,0,181
AS,00,Tim,Jones,tim jones,"Jones, Tim",OTHER,0,171
AZ,01,Tom,O'Halleran,tom ohalleran,"O'Halleran, Tom",D,0,142219
AZ,01,Paul,Babeu,paul babeu,"Babeu, Paul",R,0,121745
AZ,01,Ray,Parrish,ray parrish,"Parrish, Ray",OTHER,0,16746
AZ,02,Martha,McSally,martha mcsally,"McSally, Martha",R,1,179806
AZ,02,Matt,Heinz,matt heinz,"Heinz, Matt",D,0,135873
AZ,03,Raúl,Grijalva,raúl grijalva,"Grijalva, Raúl",D,1,148973
AZ,03,Bill,Abatecola,bill abatecola,"Abatecola, Bill",OTHER,0,1303
AZ,03,Jaime,Vasquez,jaime vasquez,"Vasquez, Jaime",OTHER,0,332
AZ,03,Harvey,Martin,harvey martin,"Martin, Harvey",OTHER,0,283
AZ,03,Federico,Sanchez,federico sanchez,"Sanchez, Federico",OTHER,0,144
AZ,04,Paul,Gosar,paul gosar,"Gosar, Paul",R,1,203487
AZ,04,Mikel,Weisser,mikel weisser,"Weisser, Mikel",D,0,81296
AZ,05,Andy,Biggs,andy biggs,"Biggs, Andy",R,0,205184
AZ,05,Talia,Fuentes,talia fuentes,"Fuentes, Talia",D,0,114940
AZ,06,David,Schweikert,david schweikert,"Schweikert, David",R,1,201578
AZ,06,W. John,Williamson,w williamson,"Williamson, W. John",D,0,122866
AZ,07,Ruben,Gallego,ruben gallego,"Gallego, Ruben",D,1,119465
AZ,07,Eve,Nunez,eve nunez,"Nunez, Eve",R,0,39286
AZ,07,Neil B.,Westbrooks,neil westbrooks,"Westbrooks, Neil B.",OTHER,0,60
AZ,08,Trent,Franks,trent franks,"Franks, Trent",R,1,204942
AZ,08,Mark,Salazar,mark salazar,"Salazar, Mark",OTHER,0,93954
AZ,08,"Hayden, III",Keener,hayden keener,"Keener, Hayden, III",OTHER,0,75
AZ,09,Kyrsten,Sinema,kyrsten sinema,"Sinema, Kyrsten",D,1,169055
AZ,09,Dave,Giles,dave giles,"Giles, Dave",R,0,108350
AZ,09,Cary,Dolego,cary dolego,"Dolego, Cary",OTHER,0,56
AZ,09,Axel,Bello,axel bello,"Bello, Axel",OTHER,0,46
AR,01,Rick ,Crawford,rick crawford,"Crawford, Rick ",R,1,183866
AR,01,Mark ,West,mark west,"West, Mark ",OTHER,0,57181
AR,02,French,Hill,french hill,"Hill, French",R,1,176472
AR,02,Dianne ,Curry,dianne curry,"Curry, Dianne ",D,0,111347
AR,02,Chris,Hayes,chris hayes,"Hayes, Chris",OTHER,0,14342
AR,03,Steve,Womack,steve womack,"Womack, Steve",R,1,217192
AR,03,Steve,Isaacson,steve isaacson,"Isaacson, Steve",OTHER,0,63715
AR,04,Bruce,Westerman,bruce westerman,"Westerman, Bruce",R,1,182885
AR,04,Kerry,Hicks,kerry hicks,"Hicks, Kerry",OTHER,0,61274
CA,01,Doug,La Malfa,doug la malfa,"La Malfa, Doug",R,1,185448
CA,01,Jim,Reed,jim reed,"Reed, Jim",D,0,128588
CA,02,Jared W.,Huffman,jared huffman,"Huffman, Jared W.",D,1,254194
CA,02,Dale K.,Mensing,dale mensing,"Mensing, Dale K.",R,0,76572
CA,03,John G.,Garamendi,john garamendi,"Garamendi, John G.",D,1,152513
CA,03,N. Eugene,Cleek,n cleek,"Cleek, N. Eugene",R,0,104453
CA,04,Tom,McClintock,tom mcclintock,"McClintock, Tom",R,1,220133
CA,04,Robert W.,Derlet,robert derlet,"Derlet, Robert W.",D,0,130845
CA,05,Mike ,Thompson,mike thompson,"Thompson, Mike ",D,1,224526
CA,05,Carlos,Santamaria,carlos santamaria,"Santamaria, Carlos",R,0,67565
CA,06,Doris,Matsui,doris matsui,"Matsui, Doris",D,1,177565
CA,06,Robert (Bob),Evans,robert evans,"Evans, Robert (Bob)",R,0,57848
CA,07,Ami,Bera,ami bera,"Bera, Ami",D,1,152133
CA,07,Scott R.,Jones,scott jones,"Jones, Scott R.",R,0,145168
CA,08,Paul ,Cook,paul cook,"Cook, Paul ",R,1,136972
