,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
0,AL,01,Bradley,Byrne,bradley byrne,"Byrne, Bradley",R,1,103758
1,AL,01,Burton R.,LeFlore,burton leflore,"LeFlore, Burton R.",D,0,48278
2,AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,113103
3,AL,02,Erick,Wright,erick wright,"Wright, Erick",D,0,54692
4,AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,103558
5,AL,03,Jesse T.,Smith,jesse smith,"Smith, Jesse T.",D,0,52816
6,AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,132831
7,AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,115338
8,AL,05,Mark,Bray,mark bray,"Bray, Mark",OTHER,0,39005
9,AL,06,Gary,Palmer,gary palmer,"Palmer, Gary",R,0,135945
10,AL,06,Mark,Lester,mark lester,"Lester, Mark #",D,0,42291
11,AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,133687
12,AK,00,Don,Young,don young,"Young, Don",R,1,142572
13,AK,00,Forrest ,Dunbar,forrest dunbar,"Dunbar, Forrest ",D,0,114602
14,AK,00,Jim C.,McDermott,jim mcdermott,"McDermott, Jim C.",OTHER,0,21290
15,AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",R,0,4306
16,AS,00,Eni F. H.,Faleomavaega,eni faleomavaega,"Faleomavaega, Eni F. H.",D,1,3157
17,AS,00,Togiola,Tulafono,togiola tulafono,"Tulafono, Togiola",D,0,1130
18,AS,00,Mapu S.,Jamias,mapu jamias,"Jamias, Mapu S.",D,0,652
19,AS,00,Rosie Fuala'au Tago,Lancaster,rosie lancaster,"Lancaster, Rosie Fuala'au Tago",OTHER,0,268
20,AS,00,Meleagi,Suitonu-Chapman,meleagi suitonu-chapman,"Suitonu-Chapman, Meleagi",D,0,229
21,AS,00,Tuika,Tuika,tuika tuika,"Tuika, Tuika",OTHER,0,201
22,AS,00,"Tuā'au Kereti, Jr.",Māta'utia,tuā'au māta'utia,"Māta'utia, Tuā'au Kereti, Jr.",D,0,160
23,AS,00,Mark,Ude,mark ude,"Ude, Mark",OTHER,0,143
24,AZ,01,Ann,Kirkpatrick,ann kirkpatrick,"Kirkpatrick, Ann",D,1,97391
25,AZ,01,Andy,Tobin,andy tobin,"Tobin, Andy",R,0,87723
26,AZ,02,Martha ,McSally,martha mcsally,"McSally, Martha ",R,0,109714
27,AZ,02,Ron,Barber,ron barber,"Barber, Ron",D,1,109547
28,AZ,02,Sampson U.,Ramirez,sampson ramirez,"Ramirez, Sampson U.",OTHER,0,56
29,AZ,02,Sydney,Dudikoff,sydney dudikoff,"Dudikoff, Sydney",OTHER,0,48
30,AZ,03,Raul ,Grijalva,raul grijalva,"Grijalva, Raul ",D,1,58192
31,AZ,03,Gabby,Saucedo Mercer,gabby saucedo mercer,"Saucedo Mercer, Gabby",R,0,46185
32,AZ,03,F.,Sánchez,f. sánchez,"Sánchez, F.",OTHER,0,43
33,AZ,03,Lee,Thompson,lee thompson,"Thompson, Lee",OTHER,0,8
34,AZ,04,Paul,Gosar,paul gosar,"Gosar, Paul",R,1,122560
35,AZ,04,Mike,Weisser,mike weisser,"Weisser, Mike",D,0,45179
36,AZ,04,Chris,Rike,chris rike,"Rike, Chris",OTHER,0,7440
37,AZ,05,Matt,Salmon,matt salmon,"Salmon, Matt",R,1,124867
38,AZ,05,James,Woods,james woods,"Woods, James",D,0,54596
39,AZ,06,David ,Schweikert,david schweikert,"Schweikert, David ",R,1,129578
40,AZ,06,W. John,Williamson,w. williamson,"Williamson, W. John",D,0,70198
41,AZ,07,Ruben,Gallego,ruben gallego,"Gallego, Ruben",D,0,54235
42,AZ,07,Joe,Cobb,joe cobb,"Cobb, Joe",OTHER,0,10715
43,AZ,07,Rebecca,DeWitt,rebecca dewitt,"DeWitt, Rebecca",OTHER,0,3858
44,AZ,07,José,Peñalosa,josé peñalosa,"Peñalosa, José",OTHER,0,3496
