County,D0,D1,OTHER0,R0,R1
adams,3900.0,3924.0,0.0,13008.0,0.0
allen,14233.0,17456.0,1594.0,28817.0,31072.0
ashland,7260.0,8006.0,0.0,14260.0,16015.0
ashtabula,19169.0,21973.0,3533.0,35486.0,0.0
athens,17639.0,17662.0,0.0,8066.0,8257.0
auglaize,4298.0,5417.0,850.0,16481.0,17330.0
belmont,15637.0,15021.0,0.0,14370.0,15182.0
brown,6612.0,6613.0,0.0,22133.0,0.0
butler,0.0,61933.0,0.0,97228.0,121373.0
carroll,5815.0,5154.0,0.0,6727.0,6858.0
champaign,5005.0,6565.0,700.0,10541.0,12188.0
clark,0.0,30599.0,0.0,30220.0,41477.0
clermont,25911.0,29834.0,0.0,121243.0,0.0
clinton,5136.0,5730.0,0.0,11211.0,12095.0
columbiana,21127.0,20382.0,0.0,21884.0,23903.0
coshocton,5842.0,6457.0,0.0,8037.0,9317.0
crawford,6439.0,7197.0,1113.0,11168.0,11059.0
cuyahoga,20923.0,797772.0,8772.0,223326.0,62303.0
darke,0.0,6649.0,0.0,17204.0,20496.0
defiance,6550.0,7314.0,690.0,9566.0,10715.0
delaware,27742.0,37374.0,0.0,55260.0,68167.0
erie,2510.0,42638.0,1513.0,25020.0,2932.0
fairfield,23311.0,29111.0,0.0,38185.0,46194.0
fayette,3288.0,4000.0,341.0,6121.0,6639.0
franklin,302619.0,339260.0,15850.0,277196.0,146716.0
fulton,7404.0,8534.0,695.0,11269.0,12713.0
gallia,5345.0,5060.0,0.0,6760.0,6805.0
geauga,12309.0,20264.0,2684.0,60103.0,0.0
greene,24991.0,32243.0,2832.0,46979.0,53935.0
guernsey,7052.0,6868.0,0.0,8477.0,8925.0
hamilton,178495.0,219299.0,11079.0,259449.0,125781.0
hancock,10572.0,11894.0,1285.0,21520.0,22894.0
hardin,3969.0,4416.0,582.0,7131.0,7375.0
harrison,3443.0,3176.0,0.0,3498.0,3558.0
henry,4605.0,5448.0,454.0,7738.0,8986.0
highland,5686.0,5982.0,0.0,21931.0,0.0
hocking,4992.0,5717.0,0.0,6057.0,7264.0
holmes,1997.0,2506.0,0.0,8252.0,9443.0
huron,9617.0,10083.0,832.0,12443.0,12605.0
jackson,5204.0,5258.0,0.0,7268.0,7556.0
jefferson,16296.0,16031.0,0.0,14786.0,15888.0
knox,9499.0,10186.0,0.0,16237.0,17692.0
lake,42411.0,54981.0,8219.0,108714.0,0.0
lawrence,11848.0,11085.0,0.0,12407.0,12562.0
licking,27099.0,33097.0,0.0,42691.0,52048.0
logan,5066.0,6479.0,960.0,13303.0,14472.0
lorain,47443.0,109896.0,4759.0,65749.0,37490.0
lucas,49575.0,216809.0,5910.0,80105.0,48941.0
madison,4541.0,6518.0,0.0,9379.0,12065.0
mahoning,12576.0,147962.0,0.0,52282.0,14572.0
marion,10053.0,11376.0,1167.0,13656.0,14942.0
medina,12119.0,65294.0,0.0,45176.0,47835.0
meigs,4433.0,4132.0,0.0,5175.0,5346.0
mercer,3061.0,4736.0,475.0,15743.0,16368.0
miami,0.0,15968.0,0.0,32866.0,39751.0
monroe,3630.0,3274.0,0.0,3114.0,3021.0
montgomery,103300.0,135210.0,7200.0,116345.0,149229.0
morgan,2298.0,2625.0,0.0,3065.0,3592.0
morrow,4897.0,5511.0,0.0,9414.0,10847.0
muskingum,14426.0,15592.0,0.0,18748.0,21295.0
noble,2382.0,2127.0,0.0,3311.0,3345.0
ottawa,4946.0,18245.0,705.0,14293.0,5096.0
paulding,3406.0,3277.0,386.0,5147.0,5190.0
perry,5583.0,6734.0,0.0,7240.0,9022.0
pickaway,7041.0,9344.0,0.0,13177.0,16373.0
pike,5986.0,5751.0,0.0,9973.0,0.0
portage,5966.0,70946.0,1421.0,54464.0,8243.0
preble,0.0,6045.0,0.0,12820.0,14847.0
putnam,3562.0,4584.0,430.0,12899.0,14039.0
richland,22102.0,23758.0,0.0,30696.0,32820.0
ross,13003.0,14147.0,0.0,21546.0,8087.0
sandusky,11945.0,13606.0,1924.0,13280.0,12883.0
scioto,15902.0,15116.0,0.0,18994.0,7725.0
seneca,9306.0,10525.0,1605.0,12802.0,12639.0
shelby,4540.0,6045.0,839.0,16087.0,17477.0
stark,58516.0,118117.0,0.0,82414.0,80859.0
summit,27290.0,271821.0,4559.0,162563.0,20562.0
trumbull,3570.0,128943.0,894.0,60449.0,0.0
tuscarawas,17597.0,17940.0,0.0,19946.0,22418.0
union,6764.0,8144.0,1400.0,15553.0,15673.0
van wert,3534.0,3630.0,522.0,9401.0,9464.0
vinton,2251.0,2414.0,0.0,2679.0,2918.0
warren,24964.0,33787.0,5240.0,70755.0,76126.0
washington,11845.0,11464.0,0.0,15904.0,16652.0
wayne,0.0,38953.0,0.0,28138.0,29676.0
williams,5850.0,6640.0,675.0,9294.0,10738.0
wood,27744.0,31633.0,2422.0,27905.0,32128.0
wyandot,3389.0,3728.0,429.0,6074.0,6519.0
