County,D0,D1,OTHER0,R0,R1
adams,2175.0,0.0,0.0,0.0,8500.0
allen,12439.0,0.0,0.0,0.0,31752.0
ashland,4094.0,0.0,0.0,0.0,15617.0
ashtabula,15619.0,0.0,0.0,0.0,23821.0
athens,15267.0,0.0,0.0,0.0,11371.0
auglaize,3916.0,0.0,0.0,0.0,19114.0
belmont,9809.0,0.0,0.0,0.0,20453.0
brown,4140.0,0.0,0.0,0.0,14741.0
butler,48176.0,0.0,6850.0,108635.0,0.0
carroll,3377.0,0.0,0.0,0.0,9019.0
champaign,4387.0,0.0,0.0,0.0,13555.0
clark,20578.0,0.0,3115.0,35150.0,0.0
clermont,20703.0,0.0,0.0,0.0,73873.0
clinton,3653.0,0.0,0.0,0.0,14274.0
columbiana,12596.0,0.0,0.0,0.0,32160.0
coshocton,3492.0,0.0,0.0,0.0,10557.0
crawford,5282.0,0.0,0.0,0.0,12765.0
cuyahoga,75562.0,285907.0,0.0,85803.0,109975.0
darke,3874.0,0.0,904.0,19051.0,0.0
defiance,0.0,0.0,0.0,0.0,13080.0
delaware,25328.0,0.0,2693.0,0.0,74008.0
erie,2156.0,18570.0,0.0,12099.0,3731.0
fairfield,20446.0,0.0,0.0,0.0,48873.0
fayette,2342.0,0.0,0.0,0.0,8083.0
franklin,99923.0,199791.0,4516.0,91560.0,150554.0
fulton,0.0,0.0,0.0,0.0,15585.0
gallia,2670.0,0.0,0.0,0.0,9368.0
geauga,13588.0,0.0,0.0,0.0,35059.0
greene,21198.0,0.0,0.0,0.0,56889.0
guernsey,4143.0,0.0,0.0,0.0,11644.0
hamilton,179721.0,0.0,0.0,0.0,211062.0
hancock,0.0,0.0,0.0,0.0,27181.0
hardin,0.0,0.0,0.0,0.0,8883.0
harrison,2019.0,0.0,0.0,0.0,4853.0
henry,0.0,0.0,0.0,0.0,10716.0
highland,3676.0,0.0,0.0,0.0,13832.0
hocking,3788.0,0.0,0.0,0.0,8321.0
holmes,1211.0,0.0,0.0,0.0,9421.0
huron,7262.0,0.0,0.0,0.0,15373.0
jackson,3071.0,0.0,0.0,0.0,9248.0
jefferson,8995.0,0.0,0.0,0.0,18225.0
knox,6833.0,0.0,0.0,0.0,19354.0
lake,39174.0,0.0,0.0,0.0,70412.0
lawrence,7279.0,0.0,0.0,0.0,17971.0
licking,19817.0,0.0,2977.0,0.0,57172.0
logan,4345.0,0.0,0.0,0.0,16835.0
lorain,39154.0,25541.0,0.0,15619.0,44098.0
lucas,0.0,71810.0,0.0,18026.0,59801.0
madison,3695.0,0.0,0.0,0.0,13210.0
mahoning,8470.0,62011.0,0.0,22244.0,18703.0
marion,7801.0,0.0,167.0,0.0,17024.0
medina,26177.0,0.0,0.0,0.0,57484.0
meigs,2424.0,0.0,0.0,0.0,7029.0
mercer,1312.0,0.0,291.0,8018.0,9118.0
miami,10375.0,0.0,1859.0,38041.0,0.0
monroe,2220.0,0.0,0.0,0.0,4301.0
montgomery,86765.0,0.0,0.0,0.0,152564.0
morgan,1584.0,0.0,0.0,0.0,4496.0
morrow,2976.0,0.0,721.0,0.0,12202.0
muskingum,8807.0,0.0,956.0,0.0,25031.0
noble,1411.0,0.0,0.0,0.0,4304.0
ottawa,0.0,6314.0,0.0,5444.0,6906.0
paulding,0.0,0.0,0.0,0.0,6458.0
perry,3660.0,0.0,0.0,0.0,9750.0
pickaway,5485.0,0.0,0.0,0.0,18035.0
pike,4049.0,0.0,0.0,0.0,6817.0
portage,11591.0,24326.0,0.0,13772.0,22185.0
preble,3802.0,0.0,860.0,14938.0,0.0
putnam,0.0,0.0,0.0,0.0,15943.0
richland,14468.0,0.0,1444.0,0.0,34724.0
ross,9367.0,0.0,0.0,0.0,18829.0
sandusky,10256.0,0.0,0.0,0.0,15789.0
scioto,9838.0,0.0,0.0,0.0,19224.0
seneca,7722.0,0.0,0.0,0.0,15214.0
shelby,4000.0,0.0,0.0,0.0,19335.0
stark,54485.0,5157.0,0.0,4301.0,95511.0
summit,44434.0,88013.0,0.0,43412.0,65215.0
trumbull,2779.0,57844.0,0.0,26853.0,5711.0
tuscarawas,10654.0,0.0,0.0,0.0,27320.0
union,6557.0,0.0,0.0,0.0,19343.0
van wert,0.0,0.0,0.0,0.0,11029.0
vinton,1574.0,0.0,0.0,0.0,3556.0
warren,30147.0,0.0,0.0,0.0,84402.0
washington,9797.0,0.0,0.0,0.0,19397.0
wayne,12887.0,0.0,0.0,0.0,34443.0
williams,0.0,0.0,0.0,0.0,13252.0
wood,0.0,0.0,0.0,0.0,40120.0
wyandot,0.0,0.0,0.0,0.0,7898.0
