County,D0,D1,OTHER0,R0,R1
adams,12105.0,0.0,680.0,27408.0,0.0
cumberland,37514.0,0.0,1189.0,37246.0,30432.0
dauphin,48562.0,0.0,151.0,2790.0,54568.0
york,59351.0,0.0,4190.0,114159.0,0.0
allegheny,0.0,306895.0,0.0,149148.0,93880.0
beaver,0.0,39809.0,0.0,38952.0,0.0
cambria,0.0,30597.0,4783.0,18336.0,6319.0
lawrence,0.0,3594.0,1237.0,3526.0,16135.0
somerset,0.0,11313.0,2013.0,13185.0,6808.0
westmoreland,0.0,23313.0,2593.0,27907.0,75944.0
greene,0.0,0.0,3459.0,0.0,7546.0
washington,0.0,0.0,10397.0,0.0,51369.0
armstrong,0.0,0.0,1329.0,0.0,18939.0
butler,0.0,0.0,2892.0,0.0,59742.0
clarion,3157.0,0.0,227.0,0.0,11092.0
crawford,769.0,0.0,1792.0,0.0,20183.0
erie,22562.0,0.0,3560.0,0.0,51012.0
mercer,0.0,0.0,1718.0,0.0,23869.0
bedford,0.0,0.0,5726.0,0.0,15752.0
blair,0.0,0.0,17094.0,0.0,32662.0
fayette,0.0,0.0,23200.0,0.0,23542.0
franklin,0.0,0.0,19187.0,0.0,42564.0
fulton,0.0,0.0,1695.0,0.0,4397.0
huntingdon,3803.0,0.0,1464.0,0.0,11929.0
indiana,0.0,0.0,13517.0,0.0,21954.0
berks,62810.0,0.0,1766.0,0.0,89175.0
chester,107220.0,0.0,2166.0,0.0,137863.0
lebanon,7699.0,0.0,0.0,0.0,36648.0
montgomery,81164.0,138671.0,356.0,59731.0,105509.0
delaware,82473.0,61562.0,0.0,14039.0,115705.0
lancaster,72073.0,0.0,13472.0,0.0,132928.0
lehigh,0.0,0.0,0.0,0.0,75871.0
northampton,29629.0,0.0,0.0,25628.0,37265.0
bradford,6789.0,0.0,0.0,0.0,15840.0
juniata,2376.0,0.0,0.0,0.0,6822.0
lackawanna,62820.0,0.0,0.0,16124.0,15351.0
lycoming,12733.0,0.0,0.0,0.0,33044.0
mifflin,4122.0,0.0,0.0,0.0,11668.0
monroe,31826.0,0.0,0.0,16203.0,9320.0
northumberland,11395.0,0.0,0.0,0.0,20738.0
perry,5411.0,0.0,0.0,0.0,13191.0
pike,10507.0,0.0,0.0,0.0,13075.0
snyder,3759.0,0.0,0.0,0.0,10608.0
sullivan,866.0,0.0,0.0,0.0,1997.0
susquehanna,5884.0,0.0,0.0,0.0,11697.0
tioga,4604.0,0.0,0.0,0.0,11827.0
union,5250.0,0.0,0.0,0.0,10522.0
wayne,7134.0,0.0,0.0,0.0,13754.0
bucks,137917.0,0.0,0.0,0.0,175918.0
cameron,651.0,0.0,0.0,0.0,1421.0
centre,30567.0,0.0,0.0,0.0,37012.0
clearfield,9617.0,0.0,0.0,0.0,21801.0
clinton,4727.0,0.0,0.0,0.0,8252.0
elk,4627.0,0.0,0.0,0.0,8416.0
forest,773.0,0.0,0.0,0.0,1483.0
jefferson,4484.0,0.0,0.0,0.0,13354.0
mckean,4334.0,0.0,0.0,0.0,10334.0
potter,1589.0,0.0,0.0,0.0,5505.0
venango,6896.0,0.0,0.0,0.0,14809.0
warren,5943.0,0.0,0.0,0.0,10711.0
carbon,11446.0,0.0,0.0,8279.0,4698.0
columbia,9532.0,0.0,0.0,0.0,15693.0
luzerne,61134.0,0.0,0.0,10676.0,49890.0
montour,2959.0,0.0,0.0,0.0,4610.0
wyoming,4441.0,0.0,0.0,0.0,7235.0
schuylkill,26571.0,0.0,0.0,29298.0,0.0
philadelphia,0.0,563238.0,4473.0,61856.0,0.0
