County,D0,D1,R0,R1
adams,0.0,0.0,0.0,38329.0
bedford,0.0,0.0,0.0,23102.0
blair,0.0,0.0,0.0,46944.0
cambria,13262.0,0.0,0.0,47467.0
cumberland,52471.0,0.0,0.0,81308.0
franklin,0.0,0.0,0.0,58229.0
fulton,0.0,0.0,0.0,6783.0
huntingdon,0.0,0.0,0.0,17154.0
somerset,0.0,0.0,0.0,31430.0
westmoreland,0.0,0.0,0.0,131949.0
allegheny,0.0,177474.0,118163.0,0.0
beaver,0.0,39498.0,0.0,0.0
butler,30348.0,5281.0,0.0,15652.0
armstrong,8629.0,0.0,0.0,26934.0
cameron,556.0,0.0,0.0,1861.0
centre,36988.0,0.0,0.0,22053.0
clarion,4251.0,0.0,0.0,15061.0
clearfield,8964.0,0.0,0.0,30031.0
elk,4155.0,0.0,0.0,12595.0
forest,684.0,0.0,0.0,1934.0
indiana,12446.0,0.0,0.0,28053.0
jefferson,4118.0,0.0,0.0,18492.0
mckean,4541.0,0.0,0.0,14695.0
venango,6974.0,0.0,0.0,19255.0
warren,5650.0,0.0,0.0,14625.0
berks,39029.0,0.0,47544.0,0.0
montgomery,24362.0,17508.0,177709.0,24573.0
chester,0.0,0.0,136936.0,0.0
carbon,10768.0,0.0,0.0,0.0
columbia,9861.0,0.0,0.0,0.0
lebanon,22606.0,0.0,0.0,0.0
luzerne,7234.0,59239.0,0.0,0.0
montour,3378.0,0.0,0.0,0.0
northumberland,11682.0,0.0,0.0,0.0
schuylkill,20960.0,0.0,0.0,0.0
bradford,7279.0,0.0,0.0,0.0
clinton,5296.0,0.0,0.0,0.0
juniata,2104.0,0.0,0.0,0.0
lycoming,15624.0,0.0,0.0,0.0
mifflin,4313.0,0.0,0.0,0.0
perry,5255.0,0.0,0.0,0.0
potter,1649.0,0.0,0.0,0.0
snyder,4134.0,0.0,0.0,0.0
sullivan,891.0,0.0,0.0,0.0
susquehanna,5849.0,0.0,0.0,0.0
tioga,4625.0,0.0,0.0,0.0
union,6699.0,0.0,0.0,0.0
wyoming,4272.0,0.0,0.0,0.0
bucks,167513.0,0.0,0.0,225231.0
crawford,12797.0,0.0,0.0,0.0
erie,68424.0,0.0,0.0,0.0
lawrence,16484.0,0.0,0.0,0.0
mercer,20804.0,0.0,0.0,0.0
delaware,0.0,201146.0,122176.0,0.0
philadelphia,0.0,576937.0,121332.0,0.0
dauphin,75460.0,0.0,0.0,69065.0
york,86525.0,0.0,0.0,149387.0
fayette,0.0,0.0,0.0,39730.0
greene,0.0,0.0,0.0,11925.0
washington,0.0,0.0,0.0,73826.0
lackawanna,0.0,66974.0,0.0,0.0
monroe,0.0,44122.0,12527.0,0.0
pike,0.0,13317.0,0.0,0.0
wayne,0.0,9879.0,0.0,0.0
lancaster,109807.0,0.0,0.0,167477.0
lehigh,0.0,96835.0,85219.0,0.0
northampton,0.0,83113.0,83661.0,0.0
