County,D0,D1,OTHER0,R0,R1
adams ,0.0,4639.0,0.0,0.0,0.0
ashland ,4795.0,0.0,0.0,0.0,3746.0
barron ,9119.0,0.0,0.0,0.0,15936.0
bayfield ,6107.0,0.0,0.0,0.0,4589.0
brown ,55344.0,0.0,0.0,0.0,87044.0
buffalo ,0.0,3457.0,0.0,0.0,0.0
burnett ,3499.0,0.0,0.0,0.0,6497.0
calumet ,10303.0,0.0,0.0,0.0,20138.0
chippewa ,4751.0,10332.0,0.0,0.0,9722.0
clark ,4672.0,0.0,0.0,0.0,9968.0
columbia ,15837.0,0.0,0.0,0.0,16971.0
crawford ,0.0,4551.0,0.0,0.0,0.0
dane ,0.0,253784.0,0.0,83066.0,0.0
dodge ,16019.0,0.0,0.0,15293.0,16175.0
door ,8778.0,0.0,0.0,0.0,11255.0
douglas ,13266.0,0.0,0.0,0.0,10962.0
dunn ,0.0,10667.0,0.0,0.0,0.0
eau claire ,0.0,33210.0,0.0,0.0,0.0
florence ,752.0,0.0,0.0,0.0,2149.0
fond du lac ,20191.0,0.0,0.0,0.0,36176.0
forest ,1777.0,0.0,0.0,0.0,3212.0
grant ,0.0,11967.0,0.0,0.0,0.0
green ,0.0,11060.0,0.0,9874.0,0.0
green lake ,3218.0,0.0,0.0,0.0,7313.0
iowa ,0.0,8063.0,0.0,5595.0,0.0
iron ,1542.0,0.0,0.0,0.0,2396.0
jackson ,326.0,4508.0,0.0,0.0,764.0
jefferson ,19282.0,0.0,0.0,27605.0,0.0
juneau ,1040.0,4063.0,0.0,0.0,2403.0
kenosha ,38337.0,0.0,0.0,0.0,48524.0
kewaunee ,3413.0,0.0,0.0,0.0,8614.0
la crosse ,0.0,40504.0,0.0,0.0,0.0
lafayette ,0.0,3836.0,0.0,4454.0,0.0
langlade ,3676.0,0.0,0.0,0.0,7413.0
lincoln ,6129.0,0.0,0.0,0.0,10123.0
manitowoc ,16164.0,0.0,0.0,0.0,27663.0
marathon ,29770.0,0.0,0.0,0.0,46096.0
marinette ,6275.0,0.0,0.0,0.0,16514.0
marquette ,3211.0,0.0,0.0,0.0,5692.0
menominee ,1110.0,0.0,0.0,0.0,411.0
milwaukee ,69656.0,232668.0,7911.0,105012.0,32659.0
monroe ,796.0,8684.0,0.0,0.0,1839.0
oconto ,5644.0,0.0,0.0,0.0,17375.0
oneida ,9979.0,0.0,0.0,0.0,13877.0
outagamie ,41690.0,0.0,0.0,0.0,64985.0
ozaukee ,24272.0,0.0,0.0,0.0,36259.0
pepin ,0.0,1682.0,0.0,0.0,0.0
pierce ,0.0,10208.0,0.0,0.0,0.0
polk ,9271.0,0.0,0.0,0.0,16701.0
portage ,0.0,21626.0,0.0,0.0,0.0
price ,3116.0,0.0,0.0,0.0,5327.0
racine ,45091.0,0.0,0.0,0.0,59331.0
richland ,0.0,4299.0,0.0,962.0,0.0
rock ,21871.0,22604.0,0.0,17296.0,20845.0
rusk ,2553.0,0.0,0.0,0.0,5172.0
sauk ,0.0,18390.0,0.0,17059.0,0.0
sawyer ,4448.0,0.0,0.0,0.0,5917.0
shawano ,6379.0,0.0,0.0,0.0,15970.0
sheboygan ,25993.0,0.0,0.0,0.0,38901.0
st. croix ,22354.0,0.0,0.0,0.0,33296.0
taylor ,2683.0,0.0,0.0,0.0,7843.0
trempealeau ,0.0,7154.0,0.0,0.0,0.0
vernon ,0.0,8557.0,0.0,0.0,0.0
vilas ,5761.0,0.0,0.0,0.0,9499.0
walworth ,20495.0,0.0,0.0,1750.0,34497.0
washburn ,3846.0,0.0,0.0,0.0,6385.0
washington ,24841.0,0.0,0.0,62039.0,0.0
waukesha ,93875.0,0.0,0.0,124504.0,43042.0
waupaca ,8459.0,0.0,0.0,0.0,20252.0
waushara ,4342.0,0.0,0.0,0.0,9033.0
winnebago ,42779.0,0.0,0.0,0.0,49679.0
wood ,6713.0,10548.0,0.0,0.0,10216.0
