County,D0,D1,OTHER0,R0,R1
adams ,0.0,4184.0,0.0,3731.0,0.0
ashland ,4143.0,0.0,86.0,0.0,2287.0
barron ,6504.0,0.0,245.0,0.0,9773.0
bayfield ,4775.0,0.0,107.0,0.0,3081.0
brown ,35823.0,0.0,0.0,0.0,61409.0
buffalo ,0.0,2988.0,0.0,2439.0,0.0
burnett ,2573.0,0.0,91.0,0.0,3778.0
calumet ,7040.0,0.0,0.0,0.0,14183.0
chippewa ,3277.0,8045.0,146.0,6151.0,6483.0
clark ,3480.0,0.0,190.0,0.0,7469.0
columbia ,11894.0,0.0,627.0,11253.0,0.0
crawford ,0.0,3651.0,0.0,2592.0,0.0
dane ,0.0,176552.0,0.0,68005.0,0.0
dodge ,12257.0,0.0,401.0,10963.0,0.0
door ,6010.0,0.0,0.0,0.0,8832.0
douglas ,8919.0,0.0,203.0,0.0,6459.0
dunn ,0.0,8263.0,0.0,6983.0,0.0
eau claire ,0.0,24075.0,0.0,17281.0,0.0
florence ,599.0,0.0,24.0,0.0,1306.0
fond du lac ,16024.0,0.0,912.0,24713.0,0.0
forest ,1361.0,0.0,57.0,0.0,2078.0
grant ,0.0,10568.0,0.0,7237.0,0.0
green ,0.0,8303.0,0.0,6549.0,0.0
green lake ,2629.0,0.0,164.0,4906.0,0.0
iowa ,0.0,6320.0,0.0,3858.0,0.0
iron ,1046.0,0.0,29.0,0.0,1738.0
jackson ,272.0,4044.0,16.0,2600.0,537.0
jefferson ,12631.0,0.0,0.0,0.0,0.0
juneau ,787.0,3710.0,53.0,3034.0,1269.0
kenosha ,25217.0,0.0,1.0,0.0,30470.0
kewaunee ,3055.0,0.0,0.0,0.0,5926.0
la crosse ,0.0,27955.0,0.0,19937.0,0.0
lafayette ,0.0,3179.0,0.0,2759.0,0.0
langlade ,2705.0,0.0,87.0,0.0,5532.0
lincoln ,4780.0,0.0,132.0,0.0,7077.0
manitowoc ,13698.0,0.0,887.0,18439.0,0.0
marathon ,19979.0,0.0,551.0,0.0,35227.0
marinette ,5231.0,0.0,0.0,0.0,10263.0
marquette ,2569.0,0.0,155.0,3442.0,0.0
menominee ,581.0,0.0,0.0,0.0,307.0
milwaukee ,40875.0,179045.0,7028.0,69065.0,27880.0
monroe ,560.0,6535.0,36.0,6666.0,1147.0
oconto ,5095.0,0.0,0.0,0.0,10712.0
oneida ,6817.0,0.0,240.0,0.0,9932.0
outagamie ,25465.0,0.0,0.0,0.0,47794.0
ozaukee ,14116.0,0.0,777.0,30889.0,0.0
pepin ,0.0,1741.0,0.0,1375.0,0.0
pierce ,0.0,7949.0,0.0,6496.0,0.0
polk ,6371.0,0.0,237.0,0.0,9275.0
portage ,0.0,16560.0,0.0,12613.0,0.0
price ,2645.0,0.0,67.0,0.0,3732.0
racine ,32040.0,0.0,12.0,0.0,46460.0
richland ,0.0,3640.0,0.0,2954.0,0.0
rock ,15078.0,16199.0,0.0,10797.0,15374.0
rusk ,2174.0,0.0,91.0,0.0,3523.0
sauk ,0.0,13675.0,0.0,11086.0,0.0
sawyer ,2860.0,0.0,94.0,0.0,3799.0
shawano ,4967.0,0.0,0.0,0.0,11340.0
sheboygan ,18906.0,0.0,1057.0,29161.0,0.0
st. croix ,12678.0,0.0,520.0,0.0,19972.0
taylor ,2097.0,0.0,73.0,0.0,5466.0
trempealeau ,0.0,6174.0,0.0,4475.0,0.0
vernon ,0.0,6722.0,0.0,4943.0,0.0
vilas ,4047.0,0.0,103.0,0.0,7052.0
walworth ,12295.0,0.0,3.0,0.0,25271.0
washburn ,2962.0,0.0,98.0,0.0,3960.0
washington ,14873.0,0.0,0.0,0.0,0.0
waukesha ,49666.0,0.0,4.0,0.0,36861.0
waupaca ,6506.0,0.0,0.0,0.0,13805.0
waushara ,3678.0,0.0,228.0,5659.0,0.0
winnebago ,32080.0,0.0,1640.0,29767.0,3982.0
wood ,4538.0,9256.0,145.0,8598.0,7939.0
