County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,3900.0,3924.0,0.0,13008.0,0.0,OH,-126.0,4050.0,-135.0,1460.0,-233.0,-548.0,-244.0,10872.0,-65.0,8012.0,-308.0,-1628.0,-56.0,-147.0,-52.0,-251.0,-40.0,2752.0,-46.0,2.0,-3157.0,2.0,722.0,11.0,1507.0,-233.0,-3023.0,49.0,611.0,-0.0001,-0.0001,-47.0,147683.0,-136.0,-72.0,-75.0,11.0,-48.0,-58.0,-70.0,-69.0,-139.0,-74.0,-1026.0,-18.0,392.0,44.0,7859.0,3.0,-18.0,-60.0,-25.0,9.0,-7.0,-1.0,-20.0,-101.0,-10.0,-83.0,-191.0,-101.0,-152.0,-95.0,-54.0,37.0,1423.0,-26.0,1588.0,-57.0,588.0,-58.0,-29.0
allen,14233.0,17456.0,1594.0,28817.0,31072.0,OH,178.0,21000.0,-133.0,6510.0,166.0,-430.0,-318.0,174783.0,269.0,65472.0,-976.0,-2956.0,16.0,12929.0,78.0,12303.0,-109.0,2254.0,40.0,41.0,36944.0,128.0,1224.0,270.0,13645.0,-767.0,-7037.0,346.0,7068.0,3.0,299.0,-644.0,1098379.0,-7045.0,-510.0,1330.0,-85.0,-506.0,-565.0,-723.0,-650.0,242.0,-594.0,-5740.0,-487.0,2535.0,391.0,157035.0,14.0,434.0,-229.0,-276.0,107.0,55.0,118.0,82.0,-454.0,-217.0,67.0,547.0,36.0,597.0,-42.0,-9.0,429.0,32925.0,228.0,33899.0,423.0,12401.0,-59.0,-285.0
ashland,7260.0,8006.0,0.0,14260.0,16015.0,OH,11.0,10260.0,-75.0,2170.0,87.0,-257.0,-110.0,82667.0,166.0,21415.0,-753.0,-2263.0,-162.0,1389.0,-126.0,808.0,-26.0,3960.0,-17.0,138.0,26829.0,39.0,-1271.0,129.0,6486.0,-442.0,-4855.0,244.0,2837.0,2.0,62.0,-403.0,505787.0,-2750.0,-349.0,76.0,-33.0,-30.0,-354.0,-712.0,-402.0,-702.0,-376.0,-3964.0,-235.0,1098.0,136.0,56302.0,-10.0,57.0,-185.0,-210.70300000000043,-3.0,-4.0,-58.0,-86.0,-223.0,-51.0,-16.0,156.0,-9.0,192.0,-98.0,20.0,251.0,10342.0,127.0,10670.0,134.0,4524.0,-60.0,-260.0
ashtabula,19169.0,21973.0,3533.0,35486.0,0.0,OH,-465.0,19690.0,-344.0,5880.0,-533.0,-1361.0,-465.0,46436.0,-227.0,9289.0,-1452.0,-2697.0,-188.0,5335.0,-138.0,5429.0,-243.0,728.0,-38.0,151.0,8701.0,54.0,1826.0,264.0,12519.0,-386.0,-6640.0,284.0,4491.0,-12.0,-206.0,-585.0,752568.0,-13770.0,-490.0,-4572.0,-78.0,12.0,-556.0,-1376.0,-569.0,-4788.0,-612.0,-5483.0,-323.0,-2819.0,-163.0,45715.0,-29.0,-347.0,-733.0,-759.4050000000007,-18.0,-3.0,-239.0,-261.0,-668.0,-134.0,-114.0,556.0,-65.0,585.0,-44.0,-19.0,19.0,9790.0,-100.0,10083.0,185.0,5399.0,-568.0,-838.0
athens,17639.0,17662.0,0.0,8066.0,8257.0,OH,-362.0,10300.0,-63.0,2210.0,-36.0,-492.0,-100.0,48952.0,-205.0,20509.0,-503.0,-1720.0,-14.0,2027.0,-40.0,1661.0,-23.0,3371.0,1.0,43.0,8858.0,-74.0,1105.0,66.0,7256.0,-110.0,-2207.0,121.0,2187.0,14.0,354.0,-386.0,461643.0,-2004.0,-101.0,-333.0,-26.0,-25.0,-118.0,-240.0,-378.0,-923.0,-129.0,-1883.0,-49.0,1162.0,-215.0,43239.0,-18.0,-40.0,-222.0,-98.0,12.0,9.0,-152.0,-166.0,-241.0,-83.0,-58.0,61.0,-15.0,61.0,-28.0,17.0,-150.0,8976.0,-191.0,9261.0,213.0,3075.0,-540.0,-156.0
auglaize,4298.0,5417.0,850.0,16481.0,17330.0,OH,211.0,9850.0,-46.0,1970.0,166.0,-101.0,-177.0,89413.0,170.0,37202.0,-420.0,-3614.0,97.0,13681.0,123.0,13480.0,-63.0,540.0,18.0,290.0,8389.0,55.0,2414.0,112.0,6330.0,-576.0,-3783.0,190.0,3857.0,4.0,313.0,-330.0,559098.0,-3798.0,-264.0,241.0,-44.0,-13.0,-318.0,-805.0,-321.0,119.0,-352.0,-3407.0,-211.0,2297.0,341.0,80131.0,17.0,105.0,-166.0,-276.53700000000026,39.0,22.0,-40.0,-57.0,-309.0,-99.0,-111.0,140.0,-108.0,194.0,-120.0,-61.0,525.0,15559.0,394.0,16337.0,362.0,4556.0,-108.0,-89.0
belmont,15637.0,15021.0,0.0,14370.0,15182.0,OH,103.0,14000.0,-32.0,3300.0,80.0,-18.0,-65.0,113083.0,72.0,54136.0,-882.0,-2014.0,-64.0,4899.0,37.0,4721.0,13.0,4220.0,8.0,58.0,7730.0,17.0,220.0,369.0,8582.0,-157.0,-3286.0,272.0,4995.0,-12.0,-142.0,-6.0,572513.0,2973.0,55.0,5609.0,-88.0,-587.0,-74.0,51.0,-14.0,5134.0,-132.0,-1864.0,-62.0,164.0,176.0,97942.0,44.0,318.0,-340.0,-388.0,32.0,13.0,-44.0,-23.0,-434.0,-207.0,-103.0,170.0,-140.0,130.0,-22.0,45.0,313.0,23743.0,296.0,24426.0,318.0,492.0,-156.0,769.0
brown,6612.0,6613.0,0.0,22133.0,0.0,OH,133.0,7520.0,-38.0,2390.0,-148.0,-122.0,-90.0,19928.0,202.0,17887.0,-530.0,-1382.0,28.0,2013.0,20.0,1909.0,-88.0,-5024.0,-10.0,27.0,-4330.0,27.0,-1358.0,75.0,2391.0,-284.0,-4582.0,72.0,2031.0,-2.0,51.0,-315.0,284557.0,-5373.0,-215.0,-664.0,-54.0,-14.0,-282.0,-287.0,-302.0,-1001.0,-320.0,-2860.0,-155.0,42.0,120.0,11549.0,-10.0,-12.0,-185.0,-156.0,-38.0,-16.0,-18.0,-71.0,-287.0,-152.0,41.0,267.0,20.0,236.0,-2.0,32.0,126.0,1372.0,70.0,1698.0,29.0,507.0,122.0,411.0
butler,0.0,61933.0,0.0,97228.0,121373.0,OH,5.0,72200.0,-463.0,23190.0,-1478.0,-3373.0,-2251.0,507716.0,668.0,233709.0,-4054.0,-11227.0,152.0,45185.0,456.0,42059.0,-37.0,21430.0,-19.0,1149.0,141272.0,256.0,8042.0,767.0,41040.0,-1697.0,-24907.0,943.0,21814.0,30.0,455.0,-2954.0,6156423.0,-52436.0,-2430.0,-1388.0,-165.0,-201.0,-2631.0,-4443.0,-2921.0,-5499.0,-2866.0,-43852.0,-1829.0,6816.0,565.0,468085.0,-118.0,1037.0,-1898.0,-1075.0,53.0,42.0,-772.0,-801.0,-1919.0,-525.0,42.0,2467.0,-16.0,2380.0,-475.0,-979.0,877.0,95348.0,627.0,97522.0,1587.0,21313.0,-1358.0,-4718.0
carroll,5815.0,5154.0,0.0,6727.0,6858.0,OH,-4.0,5180.0,-156.0,1170.0,-24.0,-520.0,-288.0,40151.0,56.0,13705.0,-280.0,-849.0,-77.0,2027.0,-27.0,1942.0,-16.0,2658.0,-26.0,127.0,11554.0,-13.0,1040.0,100.0,3474.0,-210.0,-3077.0,65.0,1284.0,4.0,-3.0,-101.0,273227.0,1502.0,-85.0,1895.0,-27.0,-190.0,-103.0,111.0,-103.0,1846.0,-150.0,-1048.0,-73.0,1247.0,-5.0,35530.0,17.0,72.0,-285.0,-366.0,7.0,-5.0,-85.0,-155.0,-200.0,-64.0,-13.0,-33.0,-29.0,-83.0,-70.0,-38.0,76.0,8831.0,94.0,9015.0,-90.0,980.0,60.0,-161.0
