County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,12105.0,0.0,680.0,27408.0,0.0,PA,95.0,22470.0,693.0,4610.0,-303.0,-99.0,456.0,436609.0,83.0,62167.0,-1638.0,-3578.0,119.0,8717.0,157.0,7830.0,-78.0,3651.0,8.0,291.0,23530.0,199.0,6139.0,654.0,18909.0,-695.0,-10913.0,474.0,9704.0,4.0,165.0,-384.0,1611496.0,-3770.0,-263.0,4471.0,-80.0,-360.0,-375.0,682.0,-382.0,4757.0,-356.0,-9256.0,-206.0,2812.0,133.0,134224.0,-11.0,-146.0,-471.0,-1206.0,6.0,-1.0,-147.0,-296.0,-598.0,-542.0,148.0,388.0,167.0,432.0,-60.0,-51.0,216.0,32422.0,151.0,33115.0,402.0,7183.0,-204.0,-1583.0
cumberland,37514.0,0.0,1189.0,37246.0,30432.0,PA,464.0,58190.0,356.0,9510.0,-435.0,1189.0,590.0,647243.0,600.0,236191.0,-3684.0,-6148.0,97.0,50319.0,405.0,49485.0,188.0,25765.0,-18.0,1336.0,225851.0,549.0,15320.0,1413.0,47783.0,-1177.0,-23051.0,944.0,25654.0,-4.0,-416.0,-797.0,5055651.0,7821.0,-395.0,10643.0,-202.0,-653.0,-605.0,1464.0,-780.0,13055.0,-868.0,-20034.0,-370.0,10366.0,577.0,584665.0,58.0,762.0,-1125.0,-544.0,51.0,102.0,-166.0,-276.0,-1953.0,-1322.0,154.0,1252.0,125.0,1201.0,58.0,75.0,758.0,122746.0,730.0,124957.0,1234.0,19102.0,-707.0,-4505.0
dauphin,48562.0,0.0,151.0,2790.0,54568.0,PA,-600.0,70160.0,-185.0,18830.0,-853.0,-919.0,-61.0,375046.0,-525.0,158135.0,-4899.0,-7152.0,-229.0,14698.0,-69.0,14366.0,-98.0,8542.0,17.0,611.0,140255.0,147.0,9222.0,945.0,40267.0,-2217.0,-27848.0,919.0,21955.0,1.0,-216.0,-1250.0,4568576.0,-15284.0,-1000.0,5757.0,7.0,-405.0,-1281.0,132.0,-1256.0,6331.0,-1391.0,-21744.0,-928.0,5555.0,-726.0,341505.0,-49.0,1118.0,-1977.0,-3520.0,-85.0,-40.0,-550.0,-1009.0,-1854.0,-1180.0,623.0,3816.0,524.0,3561.0,417.0,767.0,-360.0,76803.0,-199.0,73590.0,914.0,14392.0,-1383.0,-38503.0
york,59351.0,0.0,4190.0,114159.0,0.0,PA,-628.0,97920.0,-497.0,23510.0,-1597.0,-1953.0,-735.0,264000.0,-723.0,115649.0,-7570.0,-14017.0,42.0,27560.0,296.0,28751.0,11.0,11746.0,-25.0,1201.0,201159.0,760.0,14065.0,1499.0,49638.0,-3077.0,-43268.0,1367.0,33206.0,-18.0,-533.0,-2124.0,7637448.0,-12275.0,-1840.0,10045.0,-38.0,-430.0,-1973.0,-1990.0,-2110.0,8384.0,-2319.0,-47283.0,-1374.0,-39.0,-837.0,236124.0,-187.0,-467.0,-2583.0,-4437.0,-122.0,1.0,-695.0,-1321.0,-2928.0,-2098.0,472.0,2960.0,446.0,2827.0,64.0,158.0,-533.0,52755.0,-648.0,54491.0,1580.0,15589.0,-1855.0,-171505.0
allegheny,0.0,306895.0,0.0,149148.0,93880.0,PA,-2150.0,338410.0,-1079.0,62580.0,-1335.0,-8244.0,-3490.0,2812718.0,221.0,1217451.0,-24034.0,-20278.0,643.0,237573.0,1472.0,233347.0,-177.0,64271.0,-46.0,5405.0,908180.0,1117.0,83019.0,2032.0,143357.0,-6279.0,-99065.0,3923.0,103822.0,-10.0,977.0,-2310.0,26938194.0,81664.0,568.0,84453.0,-1513.0,-6354.0,-1345.0,28114.0,-2221.0,118206.0,-2629.0,-75549.0,-1247.0,35151.0,659.0,2481728.0,156.0,-575.0,-6560.0,-2422.0,321.0,223.0,-2193.0,-3619.0,-7796.0,-1822.0,-535.0,4301.0,-420.0,4413.0,-315.0,307.0,1692.0,508868.0,1154.0,514057.0,3454.0,78904.0,-4453.0,-2272.0
beaver,0.0,39809.0,0.0,38952.0,0.0,PA,259.0,41500.0,-207.0,8560.0,-18.0,-386.0,-339.0,203623.0,453.0,104008.0,-4055.0,-6910.0,-10.0,3724.0,-52.0,3864.0,-142.0,9628.0,-14.0,650.0,20595.0,260.0,6218.0,391.0,18187.0,-900.0,-14136.0,589.0,14635.0,14.0,308.0,-225.0,2060378.0,-988.0,-77.0,9217.0,-173.0,-559.0,-291.0,859.0,-230.0,10621.0,-443.0,-8363.0,-151.0,2256.0,404.0,172057.0,21.0,491.0,-1023.0,-972.0,54.0,48.0,-125.0,-333.0,-1365.0,-375.0,152.0,1034.0,116.0,1114.0,51.0,37.0,470.0,37731.0,336.0,38031.0,201.0,6312.0,112.0,1701.0
cambria,0.0,30597.0,4783.0,18336.0,6319.0,PA,-699.0,30600.0,-277.0,6050.0,-389.0,-1220.0,-368.0,109462.0,-526.0,19081.0,-2456.0,-5024.0,-144.0,5883.0,19.0,6578.0,-172.0,6567.0,-20.0,367.0,9047.0,138.0,3400.0,324.0,12972.0,-633.0,-7192.0,541.0,10275.0,10.0,-327.0,-489.0,1106527.0,-11154.0,-320.0,888.0,-91.0,8.0,-460.0,-627.0,-476.0,1082.0,-431.0,-4540.0,-364.0,-1435.0,-635.0,85468.0,-54.0,-51.0,-929.0,-627.0,-26.0,15.0,-232.0,-345.0,-1045.0,-170.0,47.0,909.0,73.0,839.0,-27.0,83.0,-526.0,17049.0,-591.0,19028.0,190.0,3459.0,-733.0,-610.0
lawrence,0.0,3594.0,1237.0,3526.0,16135.0,PA,-14.0,19780.0,-238.0,4220.0,6.0,-581.0,-333.0,119651.0,38.0,34366.0,-1862.0,-4782.0,-60.0,7496.0,-34.0,7181.0,-72.0,-622.0,-21.0,226.0,524.0,57.0,-407.0,11.0,6208.0,-558.0,-8621.0,482.0,9633.0,-17.0,-72.0,-236.0,916945.0,-4763.0,-101.0,-198.0,-77.0,-22.0,-213.0,-98.0,-224.0,-36.0,-254.0,-4367.0,-120.0,1824.0,205.0,112206.0,6.0,-497.0,-480.0,-1022.0,-28.0,-9.0,-213.0,-258.0,-443.0,-164.0,-147.0,131.0,-133.0,145.0,-101.0,-65.0,398.0,25633.0,229.0,25629.0,798.0,6149.0,-615.0,-533.0
somerset,0.0,11313.0,2013.0,13185.0,6808.0,PA,-280.0,16060.0,-89.0,2610.0,-112.0,-452.0,-123.0,-84397.0,-305.0,2345.0,-1090.0,-1974.0,-83.0,3800.0,-90.0,3851.0,-129.0,1674.0,8.0,229.0,-87741.0,81.0,3235.0,333.0,7533.0,-16.0,-5598.0,164.0,4406.0,11.0,-68.0,-207.0,639422.0,-4235.0,-170.0,266.0,-51.0,-98.0,-234.0,-13.0,-219.0,710.0,-225.0,-2712.0,-195.0,-2196.0,-372.0,-88863.0,24.0,158.0,-479.0,-834.3109999999997,-29.0,-12.0,-138.0,-180.0,-529.0,-200.0,-42.0,430.0,-25.0,410.0,-14.0,-14.0,-245.0,-14783.0,-236.0,-14980.0,58.0,4843.0,-317.0,-395.0
westmoreland,0.0,23313.0,2593.0,27907.0,75944.0,PA,96.0,88230.0,-401.0,14450.0,-610.0,-1901.0,-1387.0,622758.0,-52.0,220749.0,-6537.0,-18305.0,142.0,39342.0,324.0,39077.0,-385.0,7607.0,-11.0,1357.0,68726.0,747.0,20713.0,1448.0,51995.0,-2196.0,-33212.0,1538.0,38522.0,-53.0,-552.0,-814.0,5790086.0,17289.0,-445.0,13664.0,-186.0,-1330.0,-959.0,-552.0,-792.0,15638.0,-1143.0,-22754.0,-687.0,8226.0,306.0,542279.0,12.0,775.0,-2570.0,-9687.0,-29.0,19.0,-652.0,-1055.0,-3234.0,-834.0,-419.0,556.0,-351.0,597.0,-241.0,-59.0,738.0,106302.0,438.0,106608.0,708.0,15301.0,-830.0,1725.0
