County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,0.0,5183.0,0.0,3799.0,0.0,WI,115.0,4090.0,128.0,780.0,105.0,271.0,118.0,33430.0,63.0,6587.0,-263.0,-540.0,-3.0,588.0,0.0,705.0,215.0,3534.0,15.0,38.0,3107.0,-31.0,125.0,21.0,1832.0,-199.0,-1764.0,87.0,2017.0,-0.0001,-0.0001,-18.0,191623.0,2913.0,525.0,2405.0,204.0,130.0,244.0,962.0,-23.0,1737.0,485.0,2546.0,208.0,-29.0,153.0,31594.0,-5.0,122.0,-102.0,-71.0,-10.0,-8.0,-9.0,-26.0,-155.0,-42.0,17.0,58.0,9.0,38.0,15.0,48.0,65.0,2755.0,41.0,2866.0,26.0,1267.0,16.0,93.0
ashland,5051.0,0.0,0.0,0.0,3172.0,WI,53.0,3670.0,13.0,820.0,-11.0,97.0,17.0,6558.0,36.0,4426.0,-182.0,-468.0,-19.0,-98.0,4.0,-272.0,26.0,619.0,13.0,77.0,-1272.0,-12.0,11.0,29.0,1508.0,-223.0,-1303.0,80.0,965.0,5.0,-38.0,-40.0,131329.0,-283.0,-57.0,154.0,4.0,17.0,-36.0,-45.0,-44.0,289.0,-56.0,-721.0,-42.0,172.0,40.0,5220.0,-16.0,-2.0,-35.0,-82.0,-15.0,-5.0,-28.0,-72.0,-77.0,-27.0,29.0,134.0,47.0,122.0,34.0,58.0,26.0,1232.0,4.0,1374.0,13.0,86.0,44.0,410.0
barron,9708.0,0.0,17.0,0.0,11621.0,WI,164.0,10580.0,-105.0,1990.0,-41.0,-364.0,-326.0,84410.0,159.0,20001.0,-622.0,-2027.0,95.0,6695.0,71.0,6496.0,-57.0,2182.0,-22.0,225.0,13052.0,75.0,2013.0,245.0,2588.0,-527.0,-3351.0,220.0,4034.0,0.0,-41.0,-225.0,602127.0,318.0,-215.0,2438.0,-5.0,-175.0,-251.0,-797.0,-221.0,1552.0,-277.0,-3419.0,-114.0,1139.0,178.0,74541.0,10.0,531.0,-335.0,-717.0,2.0,-1.0,-111.0,-34.0,-250.0,-92.0,-94.0,4.0,-112.0,19.0,-163.0,-177.0,373.0,13374.0,299.0,13882.0,183.0,3531.0,-24.0,-494.0
bayfield,5573.0,0.0,0.0,0.0,4026.0,WI,0.0,3540.0,-31.0,610.0,9.0,-101.0,-86.0,19677.0,-14.0,10057.0,-206.0,-221.0,25.0,2570.0,3.0,2323.0,-58.0,2595.0,-22.0,87.0,6943.0,-7.0,94.0,70.0,2759.0,-66.0,-925.0,59.0,1594.0,-4.0,202.0,-59.0,211899.0,916.0,-77.0,629.0,-4.0,25.0,-93.0,-371.0,-49.0,427.0,-106.0,-1444.0,-40.0,476.0,-9.0,16783.0,14.0,111.0,-116.0,-208.0,-10.0,-1.0,-36.0,-50.0,-111.0,-31.0,-33.0,46.0,-38.0,65.0,1.0,-7.0,42.0,3524.0,31.0,3928.0,82.0,378.0,-66.0,854.0
brown,55730.0,0.0,0.0,0.0,67021.0,WI,494.0,60820.0,61.0,13290.0,-614.0,-4261.0,-4476.0,506751.0,344.0,151063.0,-1827.0,-7214.0,211.0,42307.0,326.0,40592.0,21.0,8926.0,-16.0,1295.0,106600.0,587.0,18762.0,474.0,18861.0,-2840.0,-17896.0,831.0,18550.0,36.0,988.0,-1581.0,5253767.0,-14956.0,-1492.0,8743.0,118.0,-746.0,-1474.0,-3881.0,-1580.0,4973.0,-1664.0,-27691.0,-1225.0,8965.0,783.0,465133.0,-56.0,-29.0,-1257.0,-4606.0,68.0,-7.0,-837.0,-890.0,-1213.0,-612.0,228.0,1745.0,211.0,1705.0,-868.0,-3392.0,1409.0,112567.0,1227.0,114207.0,860.0,28979.0,-268.0,-10099.0
buffalo,0.0,4290.0,0.0,2252.0,0.0,WI,-15.0,3020.0,-1.0,510.0,69.0,-5.0,47.0,31312.0,3.0,8208.0,-189.0,-697.0,-9.0,160.0,15.0,137.0,49.0,-20.0,32.0,71.0,12838.0,-13.0,740.0,32.0,836.0,-137.0,-1304.0,45.0,833.0,-6.0,-13.0,-33.0,149949.0,3156.0,-39.0,963.0,2.0,-27.0,-31.0,40.0,-29.0,974.0,-50.0,-621.0,-18.0,886.0,30.0,23120.0,5.0,-6.0,-94.0,-54.0,1.0,-1.0,-15.0,-13.0,-82.0,-32.0,-14.0,-17.0,-49.0,-18.0,-27.0,-22.0,128.0,4099.0,124.0,4518.0,121.0,1938.0,-95.0,-240.0
burnett,3587.0,0.0,0.0,0.0,4526.0,WI,4.0,3460.0,-56.0,700.0,33.0,-143.0,-75.0,10701.0,56.0,4075.0,-267.0,-741.0,-5.0,222.0,12.0,267.0,-44.0,-576.0,24.0,90.0,347.0,1.0,-337.0,59.0,1288.0,-229.0,-1863.0,104.0,1457.0,-4.0,42.0,-93.0,172408.0,-1579.0,-58.0,169.0,-30.0,-51.0,-101.0,-508.0,-90.0,-352.0,-104.0,-1388.0,-87.0,-176.0,52.0,6467.0,-7.0,-15.0,-132.0,-199.0,24.0,14.0,-17.0,-31.0,-125.0,-49.0,-15.0,62.0,-16.0,79.0,-19.0,14.0,61.0,1282.0,37.0,1215.0,36.0,448.0,21.0,-64.0
calumet,10245.0,0.0,0.0,0.0,15354.0,WI,137.0,10000.0,-86.0,1710.0,57.0,-163.0,-180.0,31762.0,123.0,23572.0,-711.0,-927.0,-40.0,4762.0,-12.0,4497.0,26.0,3642.0,-7.0,325.0,22383.0,139.0,1082.0,144.0,2145.0,-558.0,-3181.0,166.0,2564.0,-2.0,-9.0,-354.0,974371.0,-18692.0,-350.0,-353.0,31.0,-26.0,-346.0,-1438.0,-356.0,-1700.0,-406.0,-6272.0,-270.0,2697.0,310.0,36017.0,-8.0,154.0,-100.0,-129.0,4.0,2.0,-112.0,-238.0,-327.0,-52.0,52.0,113.0,23.0,81.0,-52.0,-28.0,242.0,9899.0,233.0,10282.0,314.0,7424.0,-107.0,-633.0
chippewa,5249.0,11053.0,0.0,6094.0,6966.0,WI,321.0,13700.0,39.0,2610.0,204.0,175.0,-189.0,110934.0,326.0,46074.0,-1213.0,-2661.0,60.0,4640.0,114.0,4523.0,8.0,6730.0,18.0,408.0,16141.0,134.0,2820.0,244.0,3982.0,-960.0,-6269.0,311.0,4914.0,10.0,288.0,-204.0,806084.0,1288.0,-206.0,2460.0,37.0,15.0,-188.0,165.0,-187.0,2792.0,-309.0,-5210.0,-87.0,709.0,472.0,80074.0,48.0,346.0,-290.0,-558.0,24.0,18.0,-13.0,18.0,-437.0,-125.0,-141.0,-120.0,-148.0,-127.0,-126.0,-142.0,552.0,16873.0,453.0,17400.0,154.0,6243.0,214.0,-937.0
clark,5702.0,0.0,0.0,0.0,7823.0,WI,-52.0,6320.0,-27.0,1360.0,-62.0,-242.0,-171.0,86864.0,-1.0,14017.0,-452.0,-947.0,-17.0,6176.0,-13.0,6029.0,-24.0,2538.0,-19.0,170.0,18128.0,94.0,1197.0,58.0,960.0,-367.0,-2973.0,109.0,1236.0,-3.0,60.0,-200.0,312554.0,1970.0,-143.0,653.0,-46.0,-30.0,-199.0,-437.0,-209.0,145.0,-163.0,-1438.0,-74.0,-861.0,113.0,55263.0,4.0,336.0,-142.0,-393.0,-16.0,-13.0,-31.0,-20.0,-117.0,-76.0,-46.0,22.0,-16.0,-5.0,-76.0,-199.0,186.0,12730.0,138.0,13090.0,54.0,6530.0,-116.0,-1484.0
