County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
cook,111158.0,1109781.0,113405.0,335037.0,106321.0,IL,2509880.0,1243880.0,726780.0,497810.0,1443480.0,4918520.0,1831960.0,169617799.0,2062130.0,115323922.0,745640.0,2225866.0,499740.0,6086506.0,459480.0,4795566.0,429250.0,5888982.0,1560.0,392200.0,14989526.0,207630.0,4281755.0,401790.0,9486272.0,203220.0,1453390.0,238730.0,2980962.0,18210.0,481440.0,828460.0,124806456.0,23715779.0,692500.0,5491818.0,113600.0,161428.0,716460.0,4528496.0,825580.0,10457516.0,609620.0,5698627.0,690000.0,3763524.0,1843730.0,122287394.0,90300.0,696513.0,739280.0,1104918.0,106570.0,61804.0,342810.0,381872.0,38630.0,13005.0,503440.0,1234322.0,438920.0,1044025.0,402980.0,556652.0,1612460.0,24592125.0,1816030.0,25625159.0,386530.0,1960952.0,1987820.0,6120285.0
will,90973.0,31472.0,3075.0,59899.0,72222.0,IL,317440.0,135420.0,134900.0,42260.0,180290.0,679410.0,257310.0,21266799.0,273160.0,16667295.0,106000.0,132261.0,71720.0,285225.0,66210.0,208115.0,42310.0,440852.0,970.0,53100.0,418965.0,30810.0,523424.0,62360.0,1490755.0,31380.0,230668.0,36210.0,456476.0,1460.0,28089.0,148760.0,16907366.0,3668075.0,128090.0,722974.0,17660.0,22998.0,138430.0,900516.0,148490.0,1675942.0,124610.0,1099199.0,126960.0,376971.0,248950.0,14485593.0,12730.0,62332.0,110110.0,142370.0,15130.0,8583.0,60840.0,81382.0,7990.0,2168.0,42420.0,97411.0,37440.0,84766.0,36580.0,51112.0,224070.0,2581100.0,238870.0,2674378.0,44670.0,213453.0,259140.0,809530.0
kankakee,0.0,0.0,5165.0,27370.0,0.0,IL,50580.0,22110.0,18580.0,9210.0,31340.0,102060.0,36610.0,2482870.0,42690.0,1817562.0,16500.0,16854.0,8490.0,33190.0,7880.0,25144.0,6440.0,49067.0,770.0,6060.0,54117.0,4750.0,59475.0,10840.0,226401.0,5390.0,36007.0,6750.0,75606.0,130.0,2482.0,15660.0,1469230.0,317621.0,13360.0,61007.0,2000.0,2118.0,14100.0,62073.0,15600.0,128047.0,12100.0,79498.0,12590.0,42560.0,37580.0,1597979.0,620.0,3173.0,15790.0,18185.0,2180.0,1133.0,9050.0,11412.0,940.0,247.0,10330.0,24966.0,9370.0,22406.0,7950.0,10859.0,33000.0,249758.0,35790.0,262720.0,6270.0,31282.0,41990.0,120620.0
dupage,168250.0,12602.0,1141.0,16130.0,191617.0,IL,464570.0,215570.0,194760.0,47430.0,256540.0,944440.0,330880.0,40109927.0,389850.0,28331441.0,192190.0,419597.0,143790.0,1202773.0,133540.0,894384.0,68130.0,1100077.0,600.0,116200.0,2867359.0,55960.0,1260721.0,84610.0,2063605.0,33200.0,247201.0,57290.0,827438.0,4820.0,116066.0,215530.0,33788753.0,6284077.0,181730.0,1451731.0,28760.0,35094.0,199050.0,1497526.0,215050.0,3053299.0,166380.0,1602425.0,187330.0,821316.0,367040.0,30125585.0,29620.0,201630.0,154850.0,207893.0,18830.0,10250.0,66530.0,84694.0,10870.0,3148.0,47230.0,96099.0,39140.0,80471.0,41860.0,62882.0,334800.0,6222114.0,356400.0,6430913.0,84420.0,534954.0,349020.0,1070778.0
kane,81574.0,0.0,0.0,0.0,94320.0,IL,235420.0,98020.0,96020.0,38120.0,136250.0,528470.0,216360.0,15733435.0,203480.0,11776337.0,78770.0,121289.0,53290.0,283377.0,49110.0,207768.0,30540.0,356720.0,680.0,42320.0,727949.0,24620.0,471622.0,41320.0,989228.0,22730.0,161103.0,26090.0,351493.0,1200.0,21230.0,100400.0,12310821.0,2588372.0,84820.0,514672.0,13320.0,16366.0,94060.0,664363.0,100210.0,1220622.0,82210.0,738702.0,85510.0,285423.0,177210.0,10700814.0,9900.0,56335.0,80730.0,97876.0,10730.0,6078.0,44580.0,54493.0,5020.0,1480.0,34330.0,81017.716,30790.0,72645.0,40160.0,64002.0,153690.0,1971321.0,164720.0,2040627.0,33100.0,185145.0,190890.0,586248.0
lake,133576.0,0.0,0.0,0.0,144084.0,IL,336940.0,145680.0,141480.0,44590.0,194460.0,719940.0,275490.0,34508688.0,282970.0,22400431.0,134780.0,504701.0,105620.0,1346317.0,98990.0,1044445.0,48540.0,955869.0,510.0,87370.0,3519650.0,38510.0,1132536.0,59160.0,1512900.0,27850.0,199431.0,39870.0,596619.0,3950.0,112861.0,154180.0,30349394.0,5482115.0,131180.0,1321034.0,19740.0,24075.0,143400.0,1307930.0,153840.0,2714049.0,120900.0,1230164.0,131530.0,864253.0,257610.0,26360802.0,27850.0,217731.0,116250.0,231960.0,17280.0,9369.0,51900.0,62717.0,7670.0,2377.0,41390.0,93146.0,36080.0,81263.0,42690.0,64499.0,229350.0,5817150.0,245580.0,5989405.0,60000.0,482711.0,251320.0,856816.0
mchenry,54907.0,0.0,0.0,0.0,73276.0,IL,150730.0,66130.0,66880.0,15540.0,82210.0,315610.0,112970.0,10243901.0,128630.0,7821946.0,55210.0,80123.0,37860.0,203640.0,34940.0,157897.0,20630.0,228970.0,810.0,29420.0,304441.0,17690.0,324765.0,28350.0,650151.0,14300.0,104616.0,18040.0,238717.0,690.0,11822.0,72230.0,8300623.0,1784077.0,60870.0,353076.0,9820.0,11959.0,68590.0,469160.0,72080.0,846936.0,60220.0,520179.0,60320.0,173657.0,117580.0,7090426.0,5690.0,31291.0,50740.0,67523.0,5960.0,3122.0,27430.0,37096.0,3540.0,803.0,15990.0,31863.0,13510.0,27464.0,14740.0,22482.0,107110.0,1268761.0,113530.0,1316433.0,23070.0,114852.0,119370.0,347068.0
kendall,20927.0,0.0,0.0,0.0,24758.0,IL,53450.0,21450.0,25000.0,6160.0,27860.0,118970.0,45250.0,3596210.0,47390.0,2903685.0,18170.0,16594.0,11100.0,35213.0,10240.0,25972.0,7220.0,72113.0,430.0,8150.0,73159.0,4850.0,78129.0,9800.0,215807.0,5360.0,38877.0,5300.0,68248.0,180.0,3069.0,27450.0,2862435.0,649985.0,24330.0,123132.0,2600.0,3260.0,25840.0,169672.0,27420.0,300961.0,23900.0,215010.0,22630.0,58485.0,43650.0,2395974.0,1680.0,7042.0,20690.0,28107.0,3270.0,1883.0,13040.0,18694.0,1140.0,320.0,6330.0,14049.0,5520.0,12213.0,5410.0,7349.0,39610.0,389131.0,41870.0,405796.0,7310.0,36452.0,44160.0,141688.0
alexander,1947.0,0.0,186.0,1179.0,0.0,IL,2770.0,1020.0,960.0,720.0,1760.0,5730.0,2090.0,93113.0,2230.0,67043.0,620.0,659.0,270.0,508.0,260.0,306.0,420.0,1993.0,120.0,180.0,216.0,220.0,2248.0,650.0,12886.0,320.0,1451.0,400.0,3332.0,0.0,0.0,290.0,21504.0,5262.0,230.0,884.0,30.0,30.0,210.0,352.0,290.0,1303.0,170.0,758.0,190.0,832.0,1800.0,52287.0,0.0,0.0,680.0,625.0,50.0,30.0,440.0,444.0,30.0,8.0,990.0,2528.0,920.0,2313.0,670.0,766.0,1530.0,7086.0,1750.0,7716.0,330.0,899.0,2340.0,6639.0
franklin,8176.0,0.0,1298.0,8066.0,0.0,IL,16960.0,6950.0,7290.0,2480.0,10520.0,33620.0,10310.0,717373.0,13790.0,514930.0,4540.0,7077.0,2600.0,9623.0,2380.0,7626.0,2450.0,26575.0,560.0,1790.0,8155.0,1550.0,17733.0,4320.0,82264.0,1880.0,10691.0,2380.0,22619.0,40.0,1347.0,2580.0,245253.0,50345.0,2160.0,10600.0,380.0,466.0,2240.0,5453.0,2570.0,16697.0,1730.0,8763.0,1750.0,9241.0,12200.0,446030.0,110.0,482.0,4780.0,5060.0,420.0,195.0,2910.0,3586.0,300.0,180.0,3920.0,9003.0,3490.0,8036.0,2390.0,2824.0,11000.0,64649.0,12040.0,69323.0,2240.0,7350.0,13830.0,35803.0
