County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
cook,111158.0,1109781.0,113405.0,335037.0,106321.0,IL,-31093.0,1243880.0,68.0,497810.0,-11253.0,-90660.0,-55356.0,15428734.0,-9385.0,4161873.0,-86485.0,-280410.0,111.0,1613276.0,3524.0,1637112.0,-3559.0,838462.0,-259.0,8764.0,4674026.0,1877.0,291651.0,7451.0,607450.0,-28582.0,-468498.0,8622.0,239896.0,412.0,8192.0,-17652.0,124806456.0,-138081.0,412.0,763088.0,-12189.0,-25271.0,-22163.0,9071.0,-17330.0,777227.0,-27259.0,-711560.0,-7720.0,555301.0,-8607.0,13398242.0,1803.0,91246.0,-51911.0,-74531.0,-687.0,-764.0,-6821.0,-7255.0,-25703.0,-7189.0,-14209.0,-2854.0,-14755.0,1251.0,-24807.0,-38384.0,20535.0,3112203.0,9863.0,3158285.0,26223.0,320441.0,-54438.0,-319878.0
will,90973.0,31472.0,3075.0,59899.0,72222.0,IL,1398.0,135420.0,-351.0,42260.0,-445.0,-5242.0,-4645.0,1105846.0,1978.0,528680.0,-10803.0,-23904.0,698.0,53124.0,1244.0,51738.0,-383.0,21817.0,-48.0,1422.0,151274.0,673.0,17729.0,1936.0,115299.0,-4290.0,-77164.0,2302.0,50178.0,57.0,739.0,-2409.0,16907366.0,-17397.0,-553.0,64939.0,-1260.0,-2624.0,-3452.0,-12874.0,-2408.0,51823.0,-4048.0,-116273.0,-1462.0,21618.0,2405.0,921137.0,-230.0,3784.0,-6053.0,-6797.0,-127.0,-52.0,-1489.0,-3049.0,-5067.0,-1072.0,262.0,1863.0,135.0,-1105.0,-2378.0,-4255.0,4844.0,198435.0,3733.0,200577.0,3596.0,23985.0,-1895.0,-30229.0
kankakee,0.0,0.0,5165.0,27370.0,0.0,IL,-364.0,22110.0,-245.0,9210.0,-919.0,-1464.0,-672.0,111264.0,-51.0,43294.0,-1578.0,-5511.0,-48.0,6885.0,21.0,7003.0,-137.0,2410.0,14.0,204.0,24997.0,64.0,1791.0,295.0,13854.0,-695.0,-12195.0,453.0,7888.0,10.0,554.0,-377.0,1469230.0,-1705.0,-92.0,5414.0,-220.0,-94.0,-480.0,-1242.0,-398.0,4975.0,-606.0,-8511.0,-267.0,1881.0,-167.0,107289.0,2.0,350.0,-978.0,-1260.0,-43.0,-28.0,-171.0,-449.0,-808.0,-183.0,-1.0,786.0,36.0,821.0,-180.0,-97.0,162.0,23617.0,-24.0,24244.0,308.0,8003.0,-506.0,-2297.0
dupage,168250.0,12602.0,1141.0,16130.0,191617.0,IL,407.0,215570.0,121.0,47430.0,1796.0,-7803.0,-7018.0,3251468.0,1807.0,1200053.0,-16616.0,-49408.0,978.0,238675.0,2075.0,228872.0,-105.0,46375.0,-8.0,3030.0,1525466.0,1482.0,86730.0,2130.0,160450.0,-5607.0,-81142.0,2513.0,77712.0,114.0,5629.0,-2926.0,33788753.0,-9662.0,455.0,178532.0,-2505.0,-2173.0,-4052.0,-9949.0,-2896.0,176853.0,-5097.0,-168445.0,-1164.0,50420.0,3969.0,3331168.0,348.0,19731.0,-5312.0,-11067.0,510.0,328.0,-2100.0,-2584.0,-4929.0,-1211.0,-92.0,2684.0,-323.0,2252.0,-2979.0,-6230.0,6410.0,698521.0,5351.0,707918.0,5989.0,80136.0,-4595.0,-48916.0
kane,81574.0,0.0,0.0,0.0,94320.0,IL,532.0,98020.0,8.0,38120.0,3753.0,-9202.0,-8653.0,1078472.0,1154.0,399726.0,-7112.0,-17959.0,538.0,54459.0,881.0,52917.0,292.0,18284.0,-26.0,1730.0,401908.0,622.0,32333.0,1402.0,68703.0,-3235.0,-50242.0,1473.0,34783.0,19.0,1137.0,-2338.0,12310821.0,-22412.0,-997.0,49988.0,-1037.0,-1701.0,-2706.0,-6937.0,-2326.0,45183.0,-3313.0,-86535.0,-1379.0,15193.0,1810.0,992937.0,89.0,6524.0,-3410.0,-1515.0,287.0,236.0,-1044.0,-1107.0,-2827.0,-458.0,643.0,3569.7160000000003,458.0,3481.0,-3351.0,-7195.0,4045.0,205452.0,3453.0,208658.0,2553.0,40972.0,-1860.0,-28679.0
lake,133576.0,0.0,0.0,0.0,144084.0,IL,-155.0,145680.0,-291.0,44590.0,-1367.0,-8424.0,-6832.0,4331712.0,1560.0,1465278.0,-10861.0,-61784.0,188.0,275568.0,543.0,272379.0,-435.0,92136.0,-30.0,2067.0,1795960.0,1273.0,124560.0,1696.0,133740.0,-3889.0,-60029.0,1950.0,51904.0,46.0,2249.0,-3611.0,30349394.0,189784.0,-435.0,183429.0,-2402.0,-5748.0,-4095.0,-18834.0,-3530.0,166473.0,-4850.0,-144695.0,-1879.0,209784.0,3460.0,3760247.0,260.0,18898.0,-4219.0,7536.0,242.0,220.0,-1601.0,-2379.0,-4216.0,-845.0,-338.0,2850.0,-456.0,2762.0,-2480.0,-5471.0,5133.0,842301.0,3979.0,849132.0,4831.0,113318.0,-4269.0,-25965.0
mchenry,54907.0,0.0,0.0,0.0,73276.0,IL,-1337.0,66130.0,-412.0,15540.0,-78.0,-12186.0,-9812.0,474592.0,-439.0,286350.0,-5231.0,-11526.0,185.0,54510.0,391.0,53188.0,74.0,22419.0,1.0,961.0,20274.0,360.0,11766.0,930.0,42529.0,-2402.0,-36078.0,1133.0,25951.0,-18.0,-321.0,-1885.0,8300623.0,-11049.0,-969.0,32654.0,-753.0,-442.0,-2064.0,-2463.0,-1903.0,29861.0,-2698.0,-63144.0,-1004.0,9783.0,-79.0,484046.0,-123.0,2572.0,-3548.0,-14248.0,-52.0,14.0,-2304.0,-1980.0,-2296.0,-460.0,-382.0,1213.0,-378.0,1175.0,-1374.0,-4823.0,1584.0,122703.0,1513.0,125156.0,1766.0,16055.0,-2912.0,-15916.0
kendall,20927.0,0.0,0.0,0.0,24758.0,IL,896.0,21450.0,62.0,6160.0,494.0,865.0,371.0,184795.0,846.0,105266.0,-1816.0,-2253.0,185.0,7272.0,264.0,6949.0,93.0,6521.0,2.0,400.0,31171.0,44.0,3198.0,361.0,19331.0,-667.0,-12533.0,377.0,7561.0,19.0,363.0,-300.0,2862435.0,-10223.0,39.0,11287.0,-288.0,-267.0,-478.0,1711.0,-287.0,13454.0,-647.0,-24535.0,-27.0,2102.0,618.0,167275.0,18.0,992.0,-451.0,-1060.0,41.0,74.0,-119.0,-338.0,-803.0,-84.0,216.0,1043.0,168.0,972.0,-184.0,-287.0,840.0,33661.0,773.0,34611.0,586.0,4906.0,245.0,-956.0
alexander,1947.0,0.0,186.0,1179.0,0.0,IL,-114.0,1020.0,-47.0,720.0,-94.0,-276.0,-125.0,-3742.0,-112.0,-2968.0,-94.0,-307.0,-39.0,-158.0,-16.0,-118.0,-11.0,-27.0,-2.0,-25.0,-1269.0,16.0,70.0,-11.0,-267.0,-95.0,-727.0,13.0,122.0,-0.0001,-0.0001,-32.0,21504.0,-734.0,-40.0,-60.0,-19.0,-19.0,-58.0,-81.0,-30.0,-151.0,-34.0,-269.0,-29.0,-113.0,-83.0,-2416.0,-0.0001,-0.0001,-30.0,-75.0,-1.0,4.0,-14.0,-19.0,-26.0,-11.0,12.0,-48.0,22.0,-57.0,-18.0,-39.0,-72.0,-289.0,-95.0,-320.0,3.0,-60.0,-85.0,-454.0
franklin,8176.0,0.0,1298.0,8066.0,0.0,IL,-110.0,6950.0,-142.0,2480.0,-231.0,-386.0,-123.0,22649.0,41.0,12002.0,-500.0,-1538.0,-27.0,2787.0,-27.0,2754.0,-57.0,1782.0,11.0,61.0,1396.0,6.0,-692.0,72.0,4220.0,-33.0,-1176.0,126.0,2477.0,0.0,-94.0,58.0,245253.0,2329.0,73.0,1559.0,-4.0,20.0,26.0,290.0,60.0,1882.0,-16.0,-335.0,6.0,538.0,-8.0,14358.0,-1.0,99.0,-117.0,-340.0,-20.0,-5.0,-14.0,-43.0,-179.0,-55.0,-104.0,64.0,-88.0,41.0,-91.0,-71.0,86.0,1938.0,41.0,2047.0,28.0,672.0,-131.0,322.0
