County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
cook,165600.0,1216305.0,15230.0,297539.0,18608.0,IL,2529070.0,1325700.0,718000.0,435940.0,2214030.0,187480.0,1403610.0,1618980.0,4618000.0,1535860.0,42130.0,23480.0,18650.0,7560.0,340690.0,547760.0,214621440.0,2521400.0,217244367.0,2106550.0,142516253.0,656090.0,3797043.0,500270.0,8211597.0,469750.0,5871708.0,325320.0,523665.0,464420.0,6027073.0,432410.0,24712463.0,484480.0,16406730.0,1280.0,74380.0,444852.0,277170.0,4200917.0,168890.0,9174988.0,659900.0,2622927.0,56480.0,14320.0,19310.0,622668.0,56290.0,507945.0,39880.0,204952.0,223300.0,255623.0,2171830.0,34855247.0,2171830.0,34283618.0,304520.0,571629.0,328960.0,12880600.0,94773918.0,76950.0,1293080.0,273430.0,4056455.0,48570.0,84600.0,291290.0,2561542.0,34840.0,45116.0,306720.0,2582313.0,327560.0,3084286.0,258230.0,2982967.0,4870.0,41350.0,7800.0,7049.0,20050.0,672150.0,278130.0,4432238.0,18390.0,340618.0,306150.0,2180203.0,2006940.0,170629458.0,1995580.0,34125202.0,5280.0,102428.0,35380.0,47659.0,931430.0,2296728.0,171650.0,668726.0,107420.0,64045.0,157400.0,168453.0,129630.0,24239.0,614120.0,1160548.0,10940.0,23671.0,361210.0,1169220.0,59100.0,369508.0,67680.0,412802.0,60810.0,48275.0,2398020.0,39891765.0,441520.0,1136199.0,383170.0,955570.0,340840.0,599688.0,136770.0,125893.0,25390.0,23244.0,1706990.0,31828477.0,1897370.0,34192702.0,94680.0,238181.0,99350.0,793480.0,513210.0,2780308.0,1946730.0,8397263.0,1889950.0,5787185.0,70620.0,2610078.0
lake,35351.0,119048.0,0.0,63364.0,33806.0,IL,343530.0,157120.0,140000.0,40630.0,302160.0,26030.0,194440.0,198100.0,681550.0,232810.0,5800.0,1520.0,4270.0,380.0,30480.0,84810.0,43153017.0,342640.0,43711643.0,288010.0,26064898.0,126540.0,565950.0,102380.0,1688355.0,97130.0,1280973.0,63450.0,129242.0,51130.0,1021969.0,88670.0,4998553.0,80240.0,3134760.0,400.0,12550.0,79628.0,48240.0,875808.0,33500.0,5459194.0,83640.0,558626.0,9100.0,2344.0,3970.0,141366.0,12200.0,135776.0,6790.0,39043.0,24470.0,27591.0,281520.0,4726809.0,281520.0,4640512.0,44170.0,86299.0,57840.0,2330795.0,22588163.0,13950.0,257804.0,47440.0,932997.0,9240.0,14531.0,53190.0,614154.0,5910.0,6850.0,54740.0,496795.0,57670.0,631393.0,46600.0,584805.0,890.0,7802.0,1650.0,1053.0,5010.0,102949.0,50220.0,719967.0,2880.0,49204.0,50970.0,767631.0,278240.0,36457754.0,274930.0,8049886.0,1170.0,21439.0,5400.0,10450.0,147400.0,467257.0,36600.0,160617.0,18000.0,10417.0,20630.0,23277.0,17170.0,3330.0,98190.0,219945.0,860.0,1542.0,42070.0,184641.0,9090.0,76513.0,10430.0,86236.0,6510.0,5484.0,325310.0,8964181.0,38110.0,90619.0,33170.0,78373.0,34260.0,61994.0,17030.0,15741.0,3910.0,4297.0,242580.0,7582630.0,258790.0,8011173.0,23390.0,64058.0,25670.0,155365.0,80480.0,647691.0,251720.0,1586023.0,238710.0,797583.0,15940.0,788442.0
dupage,96167.0,115468.0,4.0,73981.0,77938.0,IL,469520.0,224010.0,194440.0,42880.0,413040.0,32650.0,257290.0,270970.0,904690.0,285880.0,7640.0,2770.0,4870.0,790.0,33390.0,123770.0,48974671.0,468060.0,49630251.0,389070.0,33267815.0,173730.0,518263.0,142010.0,1483803.0,133810.0,1074712.0,91400.0,110752.0,74730.0,1245567.0,123900.0,3759172.0,113790.0,4187509.0,450.0,13730.0,87149.0,69920.0,1231824.0,46670.0,3884436.0,123920.0,655580.0,12640.0,3216.0,4940.0,144905.0,14790.0,153314.0,10520.0,60531.0,41220.0,47589.0,383620.0,6461994.0,383620.0,6329267.0,67530.0,132726.0,80330.0,2786992.0,21078164.0,19020.0,325941.0,65920.0,866060.0,12890.0,18083.0,72850.0,706539.0,8100.0,7785.0,76320.0,678662.0,80070.0,756162.0,64580.0,784970.0,1080.0,8815.0,2500.0,1764.0,4680.0,76817.0,69900.0,745396.0,3390.0,77909.0,73580.0,659312.0,385210.0,40120421.0,381280.0,7942265.0,1210.0,15421.0,8230.0,14399.0,189680.0,492930.0,49080.0,97867.0,20590.0,11805.0,30020.0,35008.0,19800.0,3859.0,124180.0,296182.0,1200.0,2684.0,61190.0,232143.0,13970.0,108253.0,16010.0,121413.0,9160.0,8040.0,443200.0,8622511.0,42220.0,91087.0,34620.0,73584.0,33720.0,60273.0,23430.0,22032.0,6070.0,6286.0,347130.0,7449334.0,369790.0,7886839.0,27610.0,60425.0,28600.0,111852.0,115030.0,730076.0,338740.0,1453663.0,324190.0,995071.0,18630.0,458594.0
kane,64523.0,32047.0,0.0,13019.0,60243.0,IL,250080.0,114410.0,96770.0,34980.0,223490.0,15580.0,140860.0,162200.0,502640.0,178920.0,3650.0,1690.0,1950.0,480.0,28000.0,57390.0,19335540.0,249500.0,19548571.0,214620.0,14007917.0,74300.0,135854.0,53760.0,390997.0,50440.0,294701.0,45630.0,39149.0,33620.0,413337.0,46250.0,816380.0,56550.0,1977537.0,630.0,10120.0,63855.0,33940.0,559124.0,16440.0,1133395.0,55410.0,213031.0,6760.0,1757.0,1290.0,27528.0,5730.0,55159.0,4030.0,21425.0,20010.0,22041.0,213740.0,3630919.0,213740.0,3566641.0,32410.0,64277.0,34090.0,1011260.0,6062449.0,9150.0,146693.0,27510.0,247432.0,5880.0,8424.0,31520.0,276006.0,4090.0,3733.0,32250.0,282058.0,33980.0,304640.0,28180.0,283466.0,510.0,2917.0,1070.0,1018.0,1110.0,10718.0,29000.0,234079.0,1290.0,24752.0,29770.0,245367.0,202580.0,14771769.0,201240.0,2569610.0,340.0,3623.0,3560.0,6005.0,104230.0,226078.0,16840.0,11577.0,11390.0,6748.0,16440.0,17971.0,14100.0,2604.0,75780.0,170615.0,560.0,1000.0,25870.0,74805.0,5930.0,43831.0,6780.0,49370.0,5400.0,4223.0,239540.0,2886727.0,32060.0,79311.0,28570.0,70067.0,30640.0,56148.0,13660.0,12143.0,2460.0,2573.0,172540.0,2343535.0,184050.0,2465898.0,7930.0,11570.0,8030.0,20517.0,49940.0,247827.0,193660.0,663631.0,188950.0,552545.0,6140.0,111089.0
kendall,16451.0,8033.0,0.0,4746.0,15615.0,IL,60540.0,26070.0,26010.0,7310.0,55260.0,3100.0,30540.0,41350.0,126350.0,46290.0,660.0,300.0,360.0,60.0,6820.0,11330.0,4529136.0,60420.0,4573683.0,53160.0,3646589.0,17950.0,18248.0,11270.0,40368.0,10550.0,28228.0,14030.0,8923.0,8750.0,80875.0,9600.0,85736.0,13360.0,406352.0,390.0,2570.0,15765.0,7100.0,110480.0,3640.0,140753.0,15790.0,44547.0,2530.0,667.0,190.0,2743.0,1170.0,10194.0,900.0,4383.0,6990.0,7583.0,51450.0,895403.0,51450.0,882363.0,6650.0,13042.0,8550.0,223423.0,1103689.0,1990.0,29920.0,7210.0,45167.0,1200.0,1834.0,8020.0,64043.0,1130.0,986.0,8120.0,72017.0,8530.0,76653.0,7480.0,70381.0,130.0,623.0,260.0,322.0,130.0,755.0,7000.0,39807.0,270.0,4336.0,7140.0,40455.0,49550.0,3455118.0,49340.0,543957.0,40.0,244.0,840.0,1454.0,26710.0,68569.0,2870.0,524.0,3710.0,2259.0,4820.0,5401.0,2870.0,518.0,21180.0,57140.0,200.0,464.0,6370.0,15898.0,1430.0,10636.0,1640.0,11798.0,1060.0,869.0,58400.0,601039.0,6470.0,15438.0,5690.0,13175.0,5740.0,10111.0,3840.0,3526.0,600.0,707.0,43920.0,474839.0,46700.0,499105.0,1350.0,1218.0,1260.0,1901.0,11780.0,47343.0,47490.0,148427.0,46670.0,136621.0,1100.0,11697.0
will,26993.0,111140.0,4532.0,56234.0,24452.0,IL,337760.0,154890.0,134510.0,42460.0,299470.0,23630.0,183580.0,222820.0,668680.0,230850.0,3620.0,1220.0,2410.0,320.0,36730.0,75920.0,26220176.0,336940.0,26487100.0,287540.0,19786072.0,96620.0,152809.0,72000.0,379723.0,67610.0,276947.0,69050.0,50880.0,47810.0,511441.0,60270.0,836144.0,80480.0,2729468.0,850.0,13650.0,86423.0,46260.0,720427.0,22460.0,1192112.0,79670.0,266924.0,10840.0,2857.0,1420.0,34464.0,6590.0,63851.0,5400.0,29457.0,31460.0,35733.0,287200.0,4883332.0,287200.0,4796437.0,44160.0,86896.0,47550.0,1332309.0,7491148.0,11220.0,168382.0,39000.0,300987.0,7540.0,11758.0,43860.0,364851.0,5540.0,5873.0,44710.0,391313.0,47380.0,421966.0,40480.0,402768.0,690.0,3989.0,1520.0,1348.0,1190.0,8585.0,40560.0,262636.0,2230.0,57663.0,38510.0,268439.0,272120.0,20195569.0,270340.0,3413831.0,470.0,2854.0,4770.0,8159.0,137000.0,320430.0,20280.0,15274.0,15350.0,9165.0,24000.0,27946.0,15760.0,2887.0,101940.0,245375.0,2360.0,3757.0,34700.0,95978.0,7920.0,60381.0,9070.0,67723.0,6350.0,5169.0,323630.0,3786421.0,40110.0,97717.0,35190.0,83902.0,32760.0,58097.0,20370.0,18917.0,3330.0,3510.0,240270.0,3093409.0,256030.0,3243457.0,10460.0,13595.0,10050.0,19856.0,66760.0,317043.0,262490.0,853154.0,257010.0,751318.0,7200.0,101836.0
alexander,1099.0,0.0,51.0,0.0,1084.0,IL,2280.0,950.0,760.0,520.0,2100.0,80.0,1350.0,1600.0,4430.0,1500.0,0.0,0.0,0.0,0.0,480.0,730.0,90248.0,2280.0,91263.0,1840.0,61766.0,520.0,421.0,200.0,578.0,200.0,416.0,100.0,57.0,260.0,1921.0,170.0,1034.0,660.0,17756.0,100.0,130.0,560.0,420.0,4511.0,30.0,134.0,370.0,1015.0,30.0,8.0,0.0,0.0,30.0,165.0,20.0,65.0,90.0,86.0,2190.0,38033.0,2190.0,37108.0,490.0,925.0,50.0,1325.0,4275.0,30.0,348.0,30.0,120.0,0.0,0.0,30.0,31.0,0.0,0.0,50.0,146.0,50.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,433.0,0.0,0.0,150.0,592.0,1630.0,54261.0,1620.0,7030.0,0.0,0.0,0.0,0.0,740.0,1024.0,50.0,4.0,0.0,0.0,70.0,64.0,160.0,25.0,580.0,874.0,0.0,0.0,230.0,535.0,50.0,505.0,50.0,552.0,70.0,57.0,2190.0,11423.0,690.0,1855.0,640.0,1726.0,490.0,805.0,60.0,45.0,0.0,0.0,1280.0,6006.0,1450.0,6700.0,0.0,0.0,0.0,0.0,290.0,930.0,1930.0,5608.0,1920.0,5500.0,20.0,40.0
franklin,5131.0,0.0,366.0,0.0,9958.0,IL,16240.0,6900.0,6700.0,2340.0,15020.0,710.0,9320.0,11410.0,31600.0,9610.0,70.0,0.0,70.0,0.0,3160.0,4660.0,779909.0,16200.0,787814.0,13180.0,555448.0,3930.0,5000.0,2280.0,8796.0,2140.0,6537.0,860.0,491.0,2180.0,18721.0,1890.0,17473.0,4620.0,126123.0,490.0,720.0,3733.0,2750.0,31710.0,560.0,11608.0,3090.0,7905.0,380.0,101.0,30.0,665.0,290.0,2004.0,170.0,771.0,880.0,847.0,15550.0,277590.0,15550.0,271157.0,3290.0,6434.0,460.0,14189.0,60220.0,190.0,4104.0,370.0,2120.0,100.0,101.0,390.0,1391.0,40.0,15.0,420.0,2710.0,450.0,2911.0,240.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,3996.0,0.0,0.0,1500.0,6334.0,11900.0,514622.0,11850.0,70624.0,0.0,0.0,230.0,376.0,5400.0,9625.0,550.0,54.0,420.0,221.0,710.0,661.0,1240.0,241.0,4040.0,8193.0,0.0,0.0,1700.0,4144.0,510.0,6011.0,550.0,6455.0,350.0,252.0,15470.0,98114.0,3560.0,8893.0,3240.0,7973.0,2560.0,4246.0,560.0,448.0,160.0,149.0,10070.0,60985.0,11110.0,66395.0,60.0,73.0,90.0,173.0,2240.0,6827.0,13520.0,38092.0,13250.0,36468.0,350.0,1457.0
jackson,10148.0,0.0,551.0,0.0,9879.0,IL,21840.0,10990.0,7410.0,3030.0,19530.0,1070.0,10410.0,14900.0,39460.0,11540.0,170.0,130.0,40.0,30.0,3620.0,6110.0,1180274.0,21750.0,1194891.0,17630.0,732710.0,7060.0,9032.0,4200.0,25798.0,3970.0,18691.0,1420.0,1041.0,3280.0,44997.0,3600.0,46069.0,5950.0,242942.0,610.0,600.0,3097.0,3620.0,44069.0,870.0,37430.0,4820.0,14617.0,470.0,117.0,90.0,1908.0,540.0,3609.0,340.0,1568.0,1710.0,1847.0,20550.0,345623.0,20550.0,337681.0,4070.0,7941.0,1010.0,31912.0,191682.0,330.0,6435.0,740.0,7459.0,250.0,332.0,880.0,5002.0,90.0,58.0,940.0,6877.0,1000.0,7334.0,590.0,4718.0,0.0,0.0,0.0,0.0,40.0,166.0,860.0,11570.0,30.0,413.0,2490.0,11452.0,16210.0,832528.0,16100.0,131471.0,0.0,0.0,300.0,520.0,7260.0,11290.0,1300.0,420.0,680.0,330.0,1290.0,1035.0,1290.0,239.0,4510.0,8570.0,60.0,226.0,2570.0,7320.0,680.0,6993.0,720.0,7474.0,440.0,315.0,20860.0,169559.0,4670.0,11264.0,4200.0,10185.0,3150.0,5330.0,1070.0,888.0,240.0,220.0,13660.0,120181.0,14920.0,130059.0,230.0,457.0,360.0,1169.0,3440.0,13465.0,17760.0,50543.0,17240.0,45534.0,710.0,5277.0
jefferson,4554.0,0.0,360.0,0.0,9088.0,IL,16330.0,7140.0,6690.0,2240.0,15350.0,430.0,9190.0,11100.0,31560.0,9520.0,570.0,0.0,570.0,0.0,2440.0,4790.0,852106.0,16300.0,863617.0,13280.0,593483.0,4540.0,5834.0,2580.0,13633.0,2420.0,10679.0,1140.0,913.0,2310.0,24079.0,2220.0,24894.0,4550.0,121009.0,860.0,660.0,3123.0,2850.0,36571.0,700.0,24699.0,3320.0,11511.0,340.0,90.0,60.0,1256.0,490.0,3557.0,290.0,1506.0,940.0,889.0,15460.0,273675.0,15460.0,267168.0,3270.0,6507.0,660.0,20993.0,112751.0,260.0,5428.0,530.0,4760.0,120.0,156.0,570.0,2814.0,50.0,30.0,620.0,4296.0,660.0,4688.0,400.0,2703.0,0.0,0.0,0.0,0.0,30.0,37.0,540.0,6991.0,30.0,354.0,1870.0,8277.0,12200.0,582680.0,12140.0,86064.0,0.0,0.0,230.0,365.0,5550.0,9794.0,660.0,98.0,510.0,265.0,700.0,676.0,1270.0,245.0,3970.0,8128.0,20.0,56.0,1810.0,4966.0,500.0,5983.0,540.0,6321.0,390.0,273.0,15360.0,113764.0,3350.0,8299.0,3050.0,7635.0,2480.0,4186.0,560.0,431.0,160.0,171.0,10300.0,76271.0,11200.0,83011.0,140.0,266.0,190.0,494.0,2500.0,8893.0,13200.0,37534.0,12890.0,34983.0,480.0,2442.0
