County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,3900.0,3924.0,0.0,13008.0,0.0,OH,11060.0,4050.0,4890.0,1460.0,7550.0,23340.0,7940.0,416868.0,8760.0,304036.0,3160.0,3672.0,1150.0,3755.0,1040.0,2828.0,2120.0,21784.0,1180.0,1310.0,6825.0,720.0,8740.0,2360.0,48390.0,1340.0,8111.0,1180.0,10011.0,0.0,0.0,1880.0,147683.0,34723.0,1540.0,5908.0,290.0,301.0,1520.0,2517.0,1850.0,8886.0,1330.0,7520.0,1130.0,4701.0,7710.0,240917.0,70.0,262.0,2970.0,3412.0,200.0,82.0,1950.0,2432.0,220.0,136.0,2940.0,7056.0,2570.0,6086.0,1930.0,2462.0,6730.0,32540.0,7770.0,35947.0,1290.0,3779.0,9250.0,25728.0
allen,14233.0,17456.0,1594.0,28817.0,31072.0,OH,47820.0,21000.0,17080.0,6510.0,25580.0,90790.0,29570.0,2285063.0,40560.0,1586910.0,13630.0,16522.0,9210.0,45313.0,8440.0,37116.0,5690.0,66329.0,870.0,6310.0,65426.0,5210.0,69362.0,11070.0,214536.0,3260.0,17306.0,6530.0,67071.0,180.0,2837.0,9760.0,1098379.0,188102.0,8470.0,49331.0,1100.0,1166.0,8570.0,21966.0,9710.0,73407.0,7350.0,43495.0,7480.0,37464.0,35670.0,1515182.0,630.0,4087.0,14700.0,16947.0,1330.0,648.0,7890.0,10351.0,990.0,483.0,9820.0,22481.0,8830.0,20648.0,6390.0,7906.0,31820.0,246179.0,34110.0,259089.0,6670.0,33018.0,39260.0,100692.0
ashland,7260.0,8006.0,0.0,14260.0,16015.0,OH,24290.0,10260.0,9850.0,2170.0,12960.0,46080.0,13670.0,1086315.0,20090.0,758757.0,7400.0,7234.0,4500.0,15578.0,4120.0,11071.0,3330.0,32142.0,930.0,3280.0,40680.0,2770.0,31404.0,5810.0,112233.0,1870.0,9634.0,3240.0,30737.0,80.0,1039.0,5590.0,505787.0,103122.0,4880.0,23059.0,590.0,545.0,5010.0,10923.0,5570.0,34855.0,4340.0,26149.0,4020.0,18385.0,18670.0,692044.0,200.0,995.0,7330.0,8174.297,460.0,216.0,4030.0,5330.0,480.0,188.0,4000.0,8434.0,3470.0,7515.0,2530.0,3325.0,16870.0,102753.0,18000.0,109401.0,3550.0,14853.0,19430.0,45037.0
ashtabula,19169.0,21973.0,3533.0,35486.0,0.0,OH,44960.0,19690.0,16730.0,5880.0,23350.0,86610.0,27760.0,1813062.0,36690.0,1315633.0,12090.0,13656.0,6970.0,27391.0,6380.0,21596.0,6140.0,52824.0,980.0,4600.0,28429.0,4420.0,52435.0,10410.0,194818.0,4000.0,21589.0,5470.0,50929.0,80.0,1171.0,9090.0,752568.0,157215.0,7740.0,33218.0,1120.0,1156.0,8140.0,19582.0,9060.0,55743.0,7130.0,41829.0,6370.0,22926.0,32610.0,1118297.0,290.0,1509.0,12550.0,13162.595,830.0,367.0,6850.0,8566.0,740.0,253.0,9480.0,21266.0,8390.0,19177.0,5950.0,7616.0,29040.0,162592.0,31450.0,171646.0,5730.0,18210.0,36910.0,90020.0
athens,17639.0,17662.0,0.0,8066.0,8257.0,OH,21670.0,10300.0,7770.0,2210.0,11270.0,39240.0,11280.0,961296.0,17780.0,662230.0,5760.0,7905.0,3520.0,15733.0,3190.0,11710.0,3310.0,37025.0,530.0,2690.0,28090.0,1630.0,20644.0,4860.0,139421.0,1280.0,7047.0,2290.0,19850.0,90.0,1860.0,4360.0,461643.0,85961.0,3970.0,23598.0,290.0,333.0,3830.0,11147.0,4350.0,35592.0,3220.0,20109.0,3140.0,12102.0,15970.0,628992.0,310.0,1742.0,6220.0,6389.0,550.0,287.0,2930.0,3636.0,300.0,207.0,4390.0,8681.0,3810.0,7692.0,2420.0,2929.0,14370.0,99427.0,15550.0,105462.0,2960.0,11463.0,17740.0,41462.0
auglaize,4298.0,5417.0,850.0,16481.0,17330.0,OH,23320.0,9850.0,9160.0,1970.0,14980.0,43760.0,13540.0,1176460.0,19560.0,825799.0,8780.0,9819.0,5500.0,44491.0,5110.0,40331.0,2720.0,26473.0,990.0,3860.0,23680.0,2530.0,29298.0,5300.0,98154.0,1220.0,5995.0,3070.0,31224.0,120.0,1803.0,5370.0,559098.0,104608.0,4770.0,31031.0,510.0,515.0,4630.0,10515.0,5350.0,43102.0,3990.0,23163.0,3860.0,19180.0,18400.0,788435.0,260.0,2134.0,7930.0,9866.463,660.0,300.0,4230.0,6058.0,540.0,394.0,3150.0,6703.0,2740.0,6125.0,2110.0,2741.0,16810.0,121899.0,17640.0,128895.0,3680.0,16851.0,18470.0,44007.0
belmont,15637.0,15021.0,0.0,14370.0,15182.0,OH,31330.0,14000.0,12400.0,3300.0,16380.0,58170.0,16510.0,1541015.0,26130.0,1058061.0,9880.0,12680.0,5110.0,22562.0,4590.0,18082.0,3500.0,45044.0,720.0,3270.0,22029.0,3000.0,33597.0,7650.0,131475.0,2600.0,13939.0,4260.0,41470.0,90.0,1574.0,4450.0,572513.0,89609.0,3880.0,26836.0,450.0,586.0,3760.0,7789.0,4420.0,35576.0,3150.0,19783.0,3010.0,10736.0,23800.0,1054046.0,400.0,1824.0,8390.0,9184.0,500.0,208.0,4710.0,6021.0,620.0,214.0,5760.0,12222.0,5030.0,11140.0,3260.0,3726.0,21920.0,180876.0,23110.0,188501.0,4320.0,21274.0,25780.0,63139.0
brown,6612.0,6613.0,0.0,22133.0,0.0,OH,19310.0,7520.0,7980.0,2390.0,11580.0,38800.0,12670.0,779510.0,15980.0,587249.0,4840.0,5386.0,2380.0,8950.0,2170.0,7185.0,2990.0,26412.0,1320.0,2120.0,10314.0,1600.0,19251.0,4290.0,82374.0,1850.0,10695.0,2400.0,23050.0,20.0,347.0,3670.0,284557.0,60791.0,3170.0,11648.0,430.0,440.0,3270.0,6307.0,3670.0,18634.0,3010.0,19772.0,2290.0,7892.0,14370.0,476759.0,100.0,421.0,5510.0,6594.0,340.0,169.0,3560.0,4553.0,250.0,134.0,4160.0,9677.0,3620.0,8355.0,2750.0,3460.0,12800.0,64013.0,14200.0,70006.0,2650.0,8033.0,15890.0,41482.0
butler,0.0,61933.0,0.0,97228.0,121373.0,OH,170940.0,72200.0,63450.0,23190.0,84150.0,337330.0,116800.0,9487841.0,145880.0,7098534.0,49670.0,54866.0,36820.0,193472.0,34150.0,153416.0,21690.0,296734.0,960.0,25110.0,285609.0,16570.0,269018.0,36130.0,759077.0,11120.0,70508.0,20690.0,238562.0,830.0,13334.0,56950.0,6156423.0,1140699.0,51970.0,293296.0,3920.0,4222.0,51680.0,168789.0,56800.0,473040.0,47610.0,344337.0,44400.0,164576.0,132900.0,6446263.0,3840.0,19351.0,54890.0,65693.0,6140.0,3188.0,30850.0,40256.0,3290.0,1244.0,27840.0,63851.0,24560.0,56682.0,21170.0,29331.0,119490.0,1064743.0,127270.0,1115017.0,26820.0,106195.0,137150.0,355773.0
carroll,5815.0,5154.0,0.0,6727.0,6858.0,OH,12830.0,5180.0,5480.0,1170.0,7580.0,24920.0,7430.0,631097.0,10360.0,390991.0,3690.0,3822.0,1950.0,7864.0,1800.0,6015.0,1970.0,24147.0,650.0,1510.0,19607.0,1250.0,14001.0,3040.0,56026.0,1020.0,4765.0,1770.0,17366.0,40.0,495.0,2590.0,273227.0,48755.0,2250.0,12389.0,280.0,314.0,2250.0,4831.0,2580.0,17677.0,1970.0,12630.0,1770.0,8347.0,9840.0,420972.0,180.0,733.0,3540.0,3946.0,200.0,69.0,2050.0,2717.0,260.0,115.0,2180.0,4571.0,1880.0,3998.0,1310.0,1689.0,8950.0,69998.0,9590.0,73398.0,2180.0,14961.0,9950.0,23718.0
