County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,2175.0,0.0,0.0,0.0,8500.0,OH,10970,4320,4620,1350,6900,22520,7480,50,20,30,0,510,1760,2730,461952,10950,467515,8860,343555,2720,2654,1070,3239,1000,2556,1000,962,1890,19932,950,6980,760,9501,2350,55131,1100,700,3415,1330,12538,330,9751,2500,5563,240,61,0,0,220,1194,170,870,700,663,60,128,50,347,1560,29552,137211,370,3423,1280,4654,260,386,1250,2301,110,51,1560,7914,1040,5340,30,83,30,4,130,133,20,76,950,4885,610,7516,0,0,7890,279604,7870,43742,40,106,160,110,3100,3545,120,9,160,84,450,519,760,157,1940,2514,260,215,1450,3062,280,1363,300,1417,480,305,10440,66721,2720,6759,2330,5838,1730,2265,420,372,130,98,7030,40168,7890,44079,20,26,40,64,1550,4283,8990,25923
allen,12439.0,0.0,0.0,0.0,31752.0,OH,47640,21650,16380,6600,24020,88290,28030,1930,610,1320,160,1080,6490,12830,2434145,47550,2464885,39860,1730384,11160,11821,8670,38778,8150,31203,5530,6119,5400,63501,6620,59494,5440,82223,10990,236049,850,1590,5790,7220,85122,2010,123393,10140,30740,890,225,160,2774,870,5861,650,3070,4100,4563,280,726,410,3091,8220,167576,1007279,1910,22483,7060,41069,1010,1180,7130,20744,470,197,8180,63901,5820,30004,150,351,160,78,880,833,140,259,6310,37469,1640,11838,180,2728,36500,1647692,36310,291221,440,1896,410,356,14690,16589,2360,809,1350,696,2420,2893,3680,609,7730,10291,930,461,4480,11812,680,2531,780,2752,1290,841,45810,376846,9190,22423,8090,20336,5830,7431,2500,2313,300,225,33050,274907,35050,291770,440,781,530,2054,7070,25976,38660,101720
ashland,4094.0,0.0,0.0,0.0,15617.0,OH,24710,10930,9700,2160,12620,45780,13130,840,0,840,0,290,2500,6930,1164441,24650,1180271,20110,839050,6260,5766,4140,14504,3840,10913,3290,2844,3430,35705,3520,28253,3000,35914,6020,129072,960,960,4080,3740,39137,1140,47919,5520,15830,520,134,90,1008,510,3165,390,1751,2160,2318,170,404,190,1966,4750,90592,465565,1140,12021,4110,20262,550,615,4110,9931,200,105,4730,31086,3450,17925,100,291,90,43,550,594,40,62,3400,17937,1290,10688,100,574,19250,760709,19160,124353,160,639,360,319,7390,7985,960,83,450,218,1190,1380,2140,394,3910,5283,470,223,2630,6243,570,1781,670,1999,800,540,23350,161077,3840,8484,3250,7377,2350,3099,1070,971,270,175,17570,116200,18740,124524,110,197,190,411,3920,13698,19470,46892
ashtabula,15619.0,0.0,0.0,0.0,23821.0,OH,44230,19910,15890,5950,21230,83420,25870,1430,20,1410,0,1050,5960,12280,1904518,44080,1927131,35750,1387962,9530,9747,6160,23383,5760,19022,4830,3672,5940,62036,4690,33199,4780,63662,10200,212059,900,1950,9181,6300,65777,1770,59852,9180,22613,770,199,70,837,700,3913,640,2976,3570,3903,320,772,220,2267,7380,132967,670603,1970,18516,6180,26158,1020,1161,6520,18287,470,203,7350,46120,5460,27767,130,408,100,54,910,937,90,171,5270,21344,1970,14819,300,3900,32690,1201270,32570,190397,220,726,710,609,12410,12389,1310,202,810,374,2040,2383,3730,687,6500,8106,760,285,4040,7945,1170,4370,1330,4802,1340,928,41650,266523,9130,21657,7940,19207,5580,7359,1930,1815,490,377,29440,178097,31710,189336,130,209,200,703,6200,16919,35820,89617
athens,15267.0,0.0,0.0,0.0,11371.0,OH,22050,10860,7580,2190,10810,38690,10600,170,0,170,0,350,2430,5620,1049006,21990,1062513,18130,715866,5360,5955,3270,16474,3080,13110,2710,2403,3250,35280,2840,32095,1800,24911,5020,164129,490,690,3464,2770,27307,840,29022,5550,13507,610,160,60,1748,290,1694,260,1106,2190,2514,340,911,30,486,3880,81181,441846,720,7542,3520,21648,280,343,3360,11678,310,179,3870,34155,2750,15161,50,244,60,39,290,294,50,138,2760,13856,1080,9817,50,431,16770,696584,16670,116543,270,1112,330,268,6260,6565,940,149,510,281,1440,1343,1240,234,3010,3663,400,323,2640,6278,650,3563,730,3737,590,372,21250,153534,4200,8806,3580,7661,2240,2710,1350,1196,270,233,15170,109979,16300,118268,190,190,230,788,3290,12239,17910,43326
auglaize,3916.0,0.0,0.0,0.0,19114.0,OH,23520,10150,9260,2060,14780,43540,13070,290,70,210,0,320,2020,6370,1312769,23490,1331419,19590,931237,7930,7698,5370,25849,5120,21904,3190,3746,2650,28314,4260,38180,2830,36424,5360,112589,940,520,1983,3600,41676,1200,63351,5550,18650,510,131,90,1401,550,3783,380,1958,2190,2486,190,413,390,2598,4600,92192,555481,970,11924,4030,25768,520,658,3990,9519,270,64,4580,36202,3320,17477,90,230,70,17,520,490,70,1085,3360,17095,730,5117,110,984,19050,910925,18880,154843,210,786,240,222,8010,10178,1590,833,690,348,1270,1675,1860,337,4230,6044,500,500,2410,6341,450,2656,490,2795,560,347,22330,185994,2960,6405,2500,5686,1870,2389,1130,1113,220,190,17560,145260,18380,153891,150,276,230,895,4060,14720,18320,46717
belmont,9809.0,0.0,0.0,0.0,20453.0,OH,30390,13880,11780,3260,15480,55940,15570,1370,530,870,110,840,4220,8910,1577238,30330,1594451,25340,1063821,7990,9330,4730,22374,4410,18309,2560,4181,3260,42863,3630,43519,3180,42852,7830,154491,730,2080,11734,4950,54504,960,28311,5890,17213,650,167,110,1969,470,3493,500,2399,2520,2737,190,462,30,175,4020,83726,538884,890,10487,3450,20649,490,637,3390,9524,300,161,4010,31302,2710,16222,50,161,40,23,360,425,60,170,2690,11058,1290,12517,170,3040,23490,1081197,23400,189632,310,1287,470,615,8260,8491,940,109,470,220,1340,1538,1870,335,4590,5740,550,291,2370,6554,760,3630,850,4162,1010,707,29190,241908,5430,11786,4680,10714,3020,3553,1160,1033,280,233,21700,181604,22800,192116,190,426,390,2371,4510,20883,24620,63930
brown,4140.0,0.0,0.0,0.0,14741.0,OH,19270,7890,7620,2410,10730,37600,11860,170,20,150,0,690,2990,4640,859839,19220,869342,16020,658922,4120,3705,2210,8568,2080,7180,1940,1341,2810,29421,1750,12292,1620,20414,4190,93400,1160,760,3425,2680,28284,570,15400,4360,9503,340,85,20,356,290,1682,240,1095,1490,1535,100,220,60,317,2890,51236,257398,620,6285,2420,9480,400,480,2510,5092,200,94,2890,15290,2230,13093,80,206,50,7,390,454,30,26,1940,8625,760,6492,60,626,14790,545810,14770,82609,90,254,230,191,5630,6345,360,30,380,192,870,995,1400,253,3540,4533,360,193,2400,5584,390,1649,440,1764,640,432,18430,117059,3900,9368,3320,8023,2530,3312,790,716,170,144,13350,76222,14570,83181,70,50,80,108,2930,8897,15700,41347
butler,48176.0,0.0,6850.0,108635.0,0.0,OH,175200,77150,63730,23040,81720,335920,111630,3460,840,2620,260,2400,23980,40900,10652991,174760,10788993,148720,8026466,41130,41748,34860,187978,33040,154190,34760,30376,22600,316986,25890,249910,17630,306724,36190,854422,830,4270,19012,23630,306525,7090,414250,41120,136002,3940,978,850,16395,3190,22622,2410,11908,16220,18174,1570,3772,440,10952,51750,1062514,6321636,8080,86015,46930,273447,3950,4699,46400,176876,4110,1998,51600,459698,41700,262016,950,3094,1300,603,6470,8031,830,2057,40320,180230,8910,60672,1300,17712,139920,7475901,139230,1353600,3690,13031,1820,1606,56050,66220,8580,4435,6120,3431,10380,12457,10750,1787,29960,38395,3700,1636,18290,51358,2870,8807,3440,9968,4400,3121,168550,1621683,27140,65581,23560,57129,19060,25713,9480,8994,1230,987,127660,1287746,135260,1359245,3300,3837,3230,6188,31260,133143,137240,360033
carroll,3377.0,0.0,0.0,0.0,9019.0,OH,12580,5290,5380,1140,7170,24150,6940,130,90,40,0,150,1410,3740,599219,12550,607954,9920,403595,3210,3199,1840,6523,1720,5107,1430,1379,1900,23857,1580,19520,1310,17559,3050,62790,660,820,3933,1970,21066,570,25891,2640,8735,200,51,30,417,270,1710,230,1150,900,1043,70,172,40,783,2050,37956,198931,530,5049,1700,7141,330,360,1800,4603,110,47,2050,12223,1470,8076,40,95,30,7,200,238,30,21,1450,7264,580,4847,40,347,9710,392853,9690,63437,90,342,170,158,3470,3758,350,38,140,61,520,621,830,153,1980,2654,270,135,1260,3207,290,1133,320,1255,430,290,11760,83672,2010,4417,1700,3860,1180,1554,510,455,130,102,8920,59678,9470,64073,40,24,120,360,2060,8277,9720,24399
