County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
adams,1817.0,0.0,106.0,0.0,6810.0,OH,10950.0,4470.0,4520.0,1320.0,10220.0,350.0,6820.0,7480.0,22200.0,7300.0,50.0,30.0,20.0,0.0,1810.0,2840.0,500269.0,10930.0,505225.0,8830.0,365776.0,2780.0,3177.0,1040.0,3810.0,970.0,3050.0,790.0,701.0,1840.0,21975.0,990.0,11297.0,2670.0,70508.0,1030.0,620.0,3307.0,1470.0,14362.0,330.0,9424.0,2390.0,4956.0,210.0,52.0,0.0,0.0,220.0,1104.0,120.0,590.0,750.0,716.0,10550.0,185673.0,10550.0,182023.0,1890.0,3649.0,250.0,7316.0,29070.0,100.0,1907.0,180.0,1013.0,60.0,54.0,190.0,507.0,0.0,0.0,220.0,1154.0,240.0,1324.0,160.0,1141.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1892.0,0.0,0.0,1080.0,4557.0,8090.0,320404.0,8060.0,43687.0,0.0,0.0,120.0,95.0,3660.0,7107.0,140.0,54.0,130.0,72.0,430.0,435.0,800.0,153.0,2920.0,6050.0,50.0,142.0,1400.0,3156.0,230.0,1686.0,250.0,1770.0,270.0,218.0,10420.0,62362.0,2520.0,6486.0,2240.0,5618.0,1910.0,3384.0,360.0,302.0,90.0,81.0,6640.0,36573.0,7530.0,40713.0,30.0,19.0,50.0,122.0,1440.0,4400.0,9160.0,26954.0,9050.0,26077.0,160.0,770.0
allen,11609.0,0.0,0.0,0.0,24551.0,OH,47650.0,21910.0,16040.0,6630.0,43970.0,1800.0,23900.0,33120.0,87520.0,27470.0,1450.0,60.0,1390.0,0.0,6880.0,13320.0,2624722.0,47560.0,2653839.0,39810.0,1822713.0,11850.0,14487.0,8460.0,47720.0,7960.0,37930.0,4470.0,4798.0,5430.0,70124.0,6880.0,71853.0,12950.0,347597.0,810.0,1210.0,4441.0,7820.0,99615.0,2050.0,137419.0,9770.0,29117.0,840.0,217.0,180.0,3167.0,840.0,5685.0,580.0,2688.0,4110.0,4709.0,45480.0,760380.0,45480.0,743129.0,8880.0,17251.0,1810.0,59407.0,375703.0,660.0,15368.0,1450.0,14079.0,310.0,381.0,1430.0,5463.0,130.0,43.0,1700.0,10548.0,1800.0,11452.0,1140.0,9071.0,0.0,0.0,30.0,6.0,60.0,184.0,1470.0,20359.0,90.0,1713.0,4950.0,34190.0,36900.0,1833066.0,36670.0,284343.0,0.0,0.0,350.0,458.0,16920.0,31779.0,2490.0,721.0,1290.0,698.0,2220.0,2572.0,3860.0,686.0,11780.0,25396.0,80.0,226.0,4460.0,12749.0,580.0,3533.0,680.0,4000.0,1000.0,755.0,45780.0,359750.0,8520.0,21410.0,7800.0,19757.0,6650.0,11611.0,1990.0,1854.0,230.0,193.0,31400.0,252560.0,33500.0,270843.0,480.0,805.0,650.0,2320.0,7160.0,25691.0,39380.0,114166.0,38630.0,102984.0,1040.0,10376.0
ashland,5968.0,0.0,0.0,0.0,12673.0,OH,24890.0,11140.0,9700.0,2200.0,22720.0,1200.0,12620.0,16120.0,45610.0,12820.0,920.0,50.0,860.0,0.0,2680.0,7320.0,1287696.0,24820.0,1302373.0,20170.0,909153.0,6800.0,7097.0,4220.0,18939.0,3930.0,13976.0,2630.0,2018.0,3460.0,38759.0,3660.0,38489.0,7050.0,174673.0,950.0,740.0,3520.0,4050.0,46509.0,1140.0,56553.0,5440.0,14677.0,490.0,128.0,70.0,1194.0,480.0,3356.0,360.0,1556.0,2150.0,2386.0,23630.0,405231.0,23630.0,395720.0,4860.0,9512.0,950.0,31226.0,161492.0,380.0,8654.0,750.0,6056.0,150.0,204.0,770.0,2443.0,60.0,31.0,880.0,5534.0,930.0,5753.0,580.0,4193.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,11491.0,30.0,381.0,2790.0,17180.0,19380.0,877846.0,19280.0,126148.0,0.0,0.0,310.0,377.0,8350.0,15766.0,1030.0,140.0,410.0,206.0,1080.0,1234.0,2180.0,398.0,5730.0,12772.0,50.0,182.0,2640.0,6955.0,510.0,2726.0,550.0,3022.0,600.0,443.0,23440.0,162640.0,3540.0,7787.0,3120.0,6914.0,2740.0,4968.0,880.0,791.0,210.0,216.0,16820.0,110109.0,18060.0,119277.0,140.0,244.0,240.0,506.0,3890.0,11466.0,20050.0,52991.0,19620.0,48523.0,620.0,4450.0
ashtabula,13427.0,0.0,0.0,0.0,18730.0,OH,44400.0,20270.0,15700.0,5940.0,40600.0,1780.0,20920.0,30020.0,82690.0,25240.0,1290.0,20.0,1270.0,0.0,6390.0,12790.0,2081241.0,44250.0,2100616.0,35700.0,1482896.0,9890.0,11024.0,6050.0,35723.0,5680.0,29130.0,3790.0,2992.0,5920.0,68434.0,4810.0,48499.0,11820.0,297192.0,920.0,1470.0,6713.0,6820.0,77821.0,1770.0,71819.0,8690.0,19375.0,670.0,177.0,60.0,825.0,700.0,4253.0,570.0,2626.0,3460.0,3810.0,42590.0,724163.0,42590.0,707900.0,8510.0,16262.0,1270.0,37896.0,178057.0,550.0,10329.0,960.0,6308.0,250.0,299.0,1060.0,3723.0,110.0,49.0,1160.0,6934.0,1250.0,7378.0,810.0,5955.0,0.0,0.0,0.0,0.0,30.0,70.0,930.0,10571.0,110.0,2121.0,4030.0,21835.0,33360.0,1374438.0,33230.0,195085.0,0.0,0.0,560.0,577.0,14420.0,23981.0,1370.0,256.0,860.0,423.0,1690.0,1859.0,3910.0,740.0,10260.0,19960.0,80.0,144.0,4030.0,8518.0,930.0,4940.0,1040.0,5345.0,1010.0,722.0,41650.0,263800.0,8720.0,20820.0,7760.0,18758.0,6280.0,11217.0,1420.0,1304.0,400.0,342.0,28130.0,171102.0,30470.0,183239.0,160.0,184.0,290.0,1208.0,6350.0,16431.0,36260.0,96464.0,35700.0,89712.0,750.0,6553.0
athens,13685.0,0.0,533.0,0.0,8199.0,OH,22280.0,11090.0,7480.0,2250.0,20510.0,750.0,10770.0,15180.0,38720.0,10550.0,310.0,20.0,290.0,0.0,2590.0,5960.0,1132910.0,22230.0,1144981.0,18140.0,766775.0,5840.0,7257.0,3340.0,19936.0,3140.0,15285.0,2410.0,2140.0,3300.0,38863.0,2920.0,39057.0,5660.0,199307.0,480.0,590.0,2811.0,2920.0,31404.0,840.0,32389.0,5200.0,12071.0,470.0,121.0,60.0,1020.0,250.0,2043.0,240.0,984.0,2210.0,2531.0,21190.0,349547.0,21190.0,342083.0,3940.0,7464.0,880.0,27726.0,151082.0,270.0,6326.0,780.0,6671.0,80.0,74.0,740.0,3216.0,60.0,44.0,790.0,5687.0,870.0,6193.0,560.0,4597.0,0.0,0.0,0.0,0.0,30.0,91.0,700.0,8981.0,30.0,257.0,2430.0,10840.0,16900.0,779782.0,16800.0,116590.0,0.0,0.0,250.0,370.0,7320.0,12094.0,1080.0,238.0,540.0,283.0,1490.0,1300.0,1300.0,230.0,4700.0,9164.0,70.0,267.0,2620.0,6576.0,590.0,4653.0,640.0,4972.0,410.0,274.0,21420.0,149419.0,4070.0,8603.0,3570.0,7651.0,2600.0,4305.0,1190.0,1020.0,240.0,155.0,14510.0,104448.0,15720.0,113122.0,230.0,277.0,290.0,965.0,3410.0,12440.0,18330.0,48499.0,17950.0,42966.0,530.0,5532.0
auglaize,3825.0,0.0,0.0,0.0,15487.0,OH,23650.0,10330.0,9220.0,2070.0,21960.0,1010.0,14930.0,14540.0,43480.0,12940.0,210.0,0.0,210.0,0.0,2140.0,6770.0,1428664.0,23600.0,1445849.0,19620.0,990674.0,8560.0,14004.0,5490.0,30221.0,5210.0,24225.0,2700.0,2531.0,2660.0,33020.0,4540.0,48785.0,6630.0,167720.0,930.0,360.0,1336.0,3980.0,50210.0,1280.0,87983.0,5360.0,17185.0,470.0,120.0,80.0,1599.0,530.0,3772.0,360.0,1771.0,2190.0,2492.0,22610.0,384318.0,22610.0,375462.0,4490.0,8855.0,800.0,29365.0,184269.0,310.0,8819.0,610.0,12562.0,170.0,193.0,600.0,2522.0,30.0,10.0,760.0,4663.0,790.0,5455.0,440.0,3247.0,0.0,0.0,0.0,0.0,40.0,1267.0,620.0,8849.0,40.0,402.0,3040.0,21040.0,19100.0,1016977.0,18870.0,154090.0,0.0,0.0,200.0,342.0,8830.0,18934.0,1720.0,387.0,650.0,366.0,1220.0,1511.0,1780.0,318.0,6070.0,15112.0,40.0,146.0,2390.0,6949.0,430.0,3701.0,470.0,4020.0,460.0,337.0,22500.0,189078.0,2560.0,5651.0,2270.0,5159.0,2260.0,4062.0,980.0,922.0,160.0,156.0,16830.0,135157.0,17720.0,145151.0,190.0,297.0,310.0,1583.0,4090.0,14720.0,18810.0,58344.0,18390.0,46170.0,560.0,8651.0
belmont,8164.0,0.0,0.0,0.0,16662.0,OH,30380.0,14060.0,11560.0,3270.0,27810.0,1360.0,15760.0,19550.0,55200.0,15040.0,1340.0,530.0,810.0,100.0,4400.0,9380.0,1900928.0,30330.0,1917453.0,24720.0,1183741.0,8350.0,10061.0,4660.0,31507.0,4350.0,26031.0,2110.0,2821.0,3310.0,41459.0,3620.0,62563.0,8860.0,210537.0,760.0,1450.0,6304.0,5550.0,69052.0,1000.0,54262.0,5620.0,16525.0,600.0,160.0,100.0,1986.0,470.0,3659.0,450.0,2270.0,2360.0,2628.0,29170.0,502221.0,29170.0,489934.0,6350.0,12287.0,970.0,31243.0,251370.0,310.0,7364.0,770.0,8284.0,170.0,255.0,760.0,2655.0,80.0,44.0,900.0,5739.0,950.0,6219.0,610.0,5539.0,0.0,0.0,0.0,0.0,30.0,148.0,700.0,7912.0,90.0,3140.0,2710.0,15743.0,23960.0,1393287.0,23870.0,235303.0,30.0,154.0,340.0,707.0,9630.0,18041.0,1050.0,309.0,410.0,194.0,1180.0,1318.0,1860.0,322.0,7080.0,15170.0,50.0,125.0,2430.0,7156.0,530.0,4798.0,630.0,5510.0,790.0,628.0,29080.0,275638.0,4660.0,10435.0,4190.0,9615.0,3210.0,5126.0,930.0,827.0,190.0,184.0,21340.0,216920.0,22430.0,232371.0,220.0,418.0,670.0,5673.0,4810.0,32869.0,24810.0,75749.0,24120.0,65588.0,900.0,10072.0
brown,3324.0,0.0,196.0,0.0,11409.0,OH,19180.0,8020.0,7440.0,2400.0,17950.0,650.0,10380.0,13400.0,37020.0,11550.0,210.0,40.0,170.0,0.0,2990.0,4880.0,928433.0,19140.0,937033.0,15960.0,700943.0,4040.0,3926.0,2120.0,8713.0,1990.0,6821.0,1550.0,1048.0,2680.0,29938.0,1820.0,17340.0,4800.0,124679.0,1130.0,640.0,3169.0,2890.0,33274.0,560.0,16028.0,4130.0,8600.0,310.0,81.0,0.0,0.0,260.0,1609.0,190.0,815.0,1500.0,1570.0,18440.0,319696.0,18440.0,313517.0,3200.0,6177.0,510.0,14071.0,63203.0,170.0,3321.0,410.0,2208.0,80.0,90.0,430.0,1171.0,40.0,10.0,480.0,2824.0,500.0,2916.0,360.0,2952.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,3808.0,20.0,433.0,1950.0,7265.0,14980.0,617898.0,14940.0,82736.0,0.0,0.0,210.0,266.0,6710.0,12295.0,440.0,54.0,320.0,183.0,780.0,892.0,1560.0,283.0,5080.0,10651.0,30.0,60.0,2250.0,5574.0,380.0,2494.0,410.0,2750.0,460.0,337.0,18350.0,113149.0,3650.0,8880.0,3220.0,7789.0,2870.0,5076.0,670.0,591.0,150.0,129.0,12600.0,70425.0,13810.0,77628.0,80.0,60.0,110.0,158.0,2810.0,7679.0,15880.0,43977.0,15690.0,42609.0,240.0,1102.0
butler,50247.0,0.0,0.0,0.0,84891.0,OH,177860.0,79540.0,63990.0,23170.0,161350.0,8970.0,81370.0,115040.0,336190.0,109430.0,3960.0,970.0,2980.0,250.0,25000.0,43730.0,11667096.0,177410.0,11792569.0,150260.0,8527545.0,44620.0,60242.0,34880.0,224831.0,33040.0,176902.0,28960.0,24586.0,24000.0,343955.0,26800.0,440389.0,43220.0,1284099.0,820.0,3790.0,17601.0,25430.0,360452.0,6990.0,452801.0,40210.0,125473.0,3430.0,866.0,780.0,15573.0,2980.0,22854.0,2100.0,10623.0,16150.0,18144.0,163960.0,2753617.0,163960.0,2699502.0,27710.0,54115.0,12600.0,387239.0,2241151.0,3220.0,66617.0,11080.0,88368.0,1340.0,1854.0,10940.0,54526.0,1310.0,777.0,11810.0,90209.0,12500.0,94637.0,9650.0,85286.0,170.0,874.0,310.0,288.0,360.0,3659.0,10360.0,115661.0,700.0,18505.0,19780.0,127706.0,142430.0,8602568.0,141640.0,1375964.0,110.0,1075.0,1700.0,2403.0,67940.0,139906.0,9980.0,5519.0,6180.0,3596.0,9750.0,11211.0,11700.0,2044.0,49320.0,110727.0,320.0,788.0,19110.0,56044.0,2680.0,14402.0,3140.0,16443.0,3500.0,2784.0,170680.0,1591394.0,26430.0,65191.0,23670.0,57644.0,21700.0,38626.0,8100.0,7487.0,1100.0,1048.0,123450.0,1236057.0,131930.0,1315260.0,3700.0,4413.0,3960.0,9293.0,33220.0,134310.0,140320.0,407801.0,137640.0,365290.0,3610.0,42513.0
carroll,2851.0,0.0,0.0,0.0,7363.0,OH,12510.0,5360.0,5240.0,1170.0,11440.0,650.0,7070.0,8090.0,23700.0,6740.0,160.0,120.0,30.0,0.0,1420.0,3850.0,663763.0,12490.0,670852.0,9820.0,446940.0,3430.0,4056.0,1790.0,7209.0,1700.0,5399.0,1150.0,1048.0,1920.0,25509.0,1550.0,15372.0,3500.0,85500.0,650.0,480.0,2372.0,2150.0,25282.0,610.0,28361.0,2540.0,7089.0,190.0,49.0,30.0,416.0,230.0,1790.0,170.0,985.0,890.0,1009.0,11930.0,209354.0,11930.0,204383.0,2520.0,4970.0,450.0,13442.0,67283.0,180.0,3864.0,340.0,2139.0,90.0,86.0,360.0,1395.0,0.0,0.0,420.0,2597.0,450.0,2743.0,290.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,4049.0,0.0,0.0,1500.0,9827.0,9780.0,451097.0,9760.0,65316.0,0.0,0.0,170.0,213.0,3950.0,7557.0,390.0,56.0,160.0,72.0,450.0,517.0,830.0,157.0,2930.0,6506.0,30.0,82.0,1290.0,3295.0,280.0,1599.0,320.0,1786.0,350.0,259.0,11720.0,83617.0,1810.0,4093.0,1580.0,3660.0,1370.0,2395.0,420.0,360.0,120.0,86.0,8550.0,57419.0,9140.0,61896.0,50.0,42.0,120.0,409.0,2050.0,7106.0,10010.0,28727.0,9660.0,24557.0,420.0,4082.0
