County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,12105.0,0.0,680.0,27408.0,0.0,PA,50180.0,22470.0,22200.0,4610.0,26230.0,95950.0,27780.0,2637518.0,41530.0,1892538.0,17430.0,25431.0,10560.0,45999.0,9530.0,34051.0,6500.0,77894.0,890.0,6930.0,62040.0,6100.0,77206.0,11990.0,257464.0,5720.0,31298.0,7490.0,88512.0,220.0,3406.0,16470.0,1611496.0,338864.0,14220.0,67374.0,1840.0,1591.0,15340.0,55306.0,16420.0,126446.0,13690.0,111497.0,12420.0,42251.0,38630.0,1759406.0,550.0,3150.0,15030.0,17607.0,1600.0,827.0,8190.0,10676.0,1010.0,765.0,6590.0,12934.0,5640.0,11548.0,4810.0,6420.0,35060.0,280644.0,37030.0,295515.0,6940.0,26411.0,40260.0,99950.0
cumberland,37514.0,0.0,1189.0,37246.0,30432.0,PA,120740.0,58190.0,50900.0,9510.0,57030.0,222220.0,60680.0,7621747.0,97390.0,5208346.0,53090.0,77780.0,31950.0,192617.0,29090.0,150982.0,14940.0,236571.0,990.0,23330.0,356507.0,16160.0,219835.0,32050.0,744423.0,10600.0,70032.0,19260.0,249453.0,840.0,16790.0,42000.0,5055651.0,902151.0,36280.0,206663.0,4600.0,4128.0,38830.0,132344.0,41820.0,351302.0,33960.0,262530.0,33790.0,138564.0,96670.0,5494892.0,2750.0,14474.0,38190.0,45077.0,5080.0,2718.0,18070.0,24109.0,2750.0,1505.0,13180.0,24822.0,11200.0,22057.0,8190.0,10141.0,89450.0,959382.0,93190.0,999854.0,19070.0,86531.0,93800.0,225964.0
dauphin,48562.0,0.0,151.0,2790.0,54568.0,PA,139100.0,70160.0,47250.0,18830.0,64320.0,251460.0,76010.0,7472706.0,115560.0,5511361.0,47870.0,56510.0,29140.0,117013.0,26370.0,85783.0,15300.0,194096.0,640.0,19840.0,244621.0,14570.0,198506.0,32480.0,691277.0,13720.0,90163.0,18710.0,227296.0,690.0,12544.0,41720.0,4568576.0,856952.0,36090.0,190134.0,4410.0,3712.0,38250.0,149355.0,41530.0,353503.0,33720.0,238058.0,33180.0,129654.0,106280.0,5160983.0,2760.0,15373.0,40500.0,44145.0,5510.0,3005.0,20090.0,24039.0,2840.0,1436.0,23400.0,50671.0,20770.0,46459.0,15610.0,19426.0,95960.0,879991.0,100960.0,911314.0,19070.0,75712.0,112950.0,286590.0
york,59351.0,0.0,4190.0,114159.0,0.0,PA,216320.0,97920.0,90790.0,23510.0,107720.0,413340.0,122540.0,11870715.0,180890.0,8842217.0,78620.0,116255.0,48620.0,215427.0,44220.0,161217.0,25540.0,308905.0,1620.0,33000.0,399102.0,26870.0,345255.0,49420.0,858157.0,25470.0,162478.0,28920.0,345438.0,930.0,14944.0,75070.0,7637448.0,1605030.0,65810.0,309655.0,7420.0,6584.0,70780.0,311445.0,74850.0,638350.0,62940.0,485186.0,57050.0,201110.0,167130.0,7990502.0,3380.0,17973.0,67870.0,80791.0,8340.0,4575.0,36350.0,47276.0,4660.0,2536.0,31540.0,65242.0,27630.0,59099.0,20920.0,25444.0,152010.0,1282832.0,159680.0,1342451.0,28530.0,115603.0,175230.0,452198.0
allegheny,0.0,306895.0,0.0,149148.0,93880.0,PA,628190.0,338410.0,216030.0,62580.0,282460.0,1092050.0,299390.0,40949163.0,517200.0,28749602.0,228950.0,385221.0,160500.0,1226157.0,146000.0,981071.0,73550.0,1277854.0,390.0,114400.0,2314957.0,75930.0,1250501.0,135530.0,2532231.0,56990.0,391791.0,87220.0,1113832.0,4660.0,99773.0,182560.0,26938194.0,4754282.0,159140.0,1135066.0,18590.0,19103.0,166050.0,831682.0,181830.0,2028301.0,140170.0,911163.0,153170.0,682514.0,493080.0,30146068.0,19890.0,136946.0,183370.0,219674.0,18650.0,9517.0,76870.0,98009.0,13280.0,3536.0,81970.0,160952.0,71160.0,145642.0,46230.0,54430.0,456200.0,5749111.0,475660.0,5947675.0,96710.0,505062.0,493130.0,1197311.0
beaver,0.0,39809.0,0.0,38952.0,0.0,PA,86280.0,41500.0,34710.0,8560.0,45820.0,156830.0,42700.0,4274509.0,70820.0,3180536.0,30000.0,27730.0,17510.0,49367.0,15680.0,34617.0,8910.0,117392.0,400.0,11290.0,51459.0,10660.0,123537.0,22550.0,358588.0,9630.0,61281.0,12880.0,148713.0,300.0,4403.0,19880.0,2060378.0,367456.0,17430.0,83186.0,1970.0,1807.0,18370.0,63255.0,19790.0,151676.0,15990.0,98696.0,15930.0,52767.0,65900.0,2897549.0,960.0,4379.0,24360.0,27498.0,2000.0,958.0,12480.0,16219.0,1990.0,610.0,12410.0,24637.0,10760.0,22453.0,7170.0,8592.0,60660.0,459442.0,63430.0,478286.0,10980.0,42973.0,70720.0,168050.0
cambria,0.0,30597.0,4783.0,18336.0,6319.0,PA,64920.0,30600.0,27230.0,6050.0,34410.0,120420.0,33200.0,2952066.0,51810.0,2130222.0,26190.0,34694.0,13670.0,42245.0,12280.0,30347.0,6640.0,96604.0,390.0,7990.0,54916.0,7530.0,79251.0,18160.0,285337.0,8880.0,52170.0,9330.0,96033.0,260.0,4263.0,9500.0,1106527.0,189743.0,8270.0,42251.0,1010.0,1025.0,8530.0,25529.0,9450.0,70854.0,6970.0,42089.0,7310.0,27955.0,47810.0,1953294.0,610.0,3500.0,18590.0,21425.0,1820.0,796.0,9340.0,12681.0,1510.0,633.0,10340.0,20756.0,9020.0,19023.0,5840.0,7062.0,43600.0,302124.0,45820.0,318399.0,7000.0,23534.0,53800.0,128613.0
lawrence,0.0,3594.0,1237.0,3526.0,16135.0,PA,42010.0,19780.0,17250.0,4220.0,24600.0,78440.0,22400.0,2041078.0,33990.0,1396499.0,14570.0,16394.0,8890.0,43680.0,8060.0,36057.0,5080.0,56051.0,560.0,5480.0,26586.0,5040.0,52124.0,10500.0,172231.0,4890.0,29237.0,6310.0,70996.0,120.0,1854.0,8130.0,916945.0,156887.0,7110.0,36576.0,810.0,734.0,7390.0,22995.0,8100.0,61656.0,6310.0,37523.0,6280.0,24658.0,31160.0,1388133.0,460.0,2312.0,11800.0,13314.0,750.0,351.0,6040.0,7946.0,950.0,329.0,6770.0,13879.0,5900.0,12616.0,3960.0,4772.0,28480.0,227089.0,30080.0,236897.0,6050.0,32082.0,33520.0,80971.0
somerset,0.0,11313.0,2013.0,13185.0,6808.0,PA,35420.0,16060.0,16180.0,2610.0,21070.0,66490.0,17530.0,1618023.0,28100.0,1095071.0,13760.0,17791.0,7000.0,37211.0,6290.0,29960.0,4880.0,66893.0,920.0,4600.0,80523.0,4380.0,45838.0,8570.0,135708.0,5840.0,33224.0,4800.0,50283.0,140.0,2011.0,5630.0,639422.0,119453.0,4820.0,25853.0,650.0,521.0,4940.0,13470.0,5600.0,41034.0,4020.0,23907.0,4160.0,23727.0,26050.0,1061493.0,300.0,2411.0,10080.0,11470.689,910.0,377.0,5190.0,6857.0,830.0,405.0,5420.0,10496.0,4570.0,9409.0,3090.0,3801.0,23690.0,161214.0,25290.0,171539.0,4210.0,20307.0,28450.0,69114.0
westmoreland,0.0,23313.0,2593.0,27907.0,75944.0,PA,184020.0,88230.0,78390.0,14450.0,92400.0,334290.0,88090.0,10428016.0,147570.0,7224522.0,70250.0,98993.0,45240.0,211445.0,40810.0,164758.0,21440.0,336385.0,930.0,29560.0,316053.0,24700.0,319535.0,47220.0,839040.0,21170.0,133011.0,29000.0,351517.0,850.0,15027.0,45670.0,5790086.0,964250.0,39740.0,220845.0,4760.0,4653.0,42320.0,154870.0,45540.0,391337.0,36420.0,245538.0,37790.0,134316.0,141260.0,7345177.0,3200.0,18414.0,52540.0,61963.0,4670.0,2268.0,25170.0,33703.0,4350.0,1397.0,22350.0,41989.0,18960.0,37248.0,12300.0,14556.0,131400.0,1245154.0,137400.0,1297709.0,25500.0,109891.0,145830.0,348759.0
greene,0.0,0.0,3459.0,0.0,7546.0,PA,16180.0,7240.0,7040.0,1620.0,8700.0,30940.0,8750.0,891698.0,13290.0,610325.0,5680.0,7466.0,2600.0,7648.0,2350.0,5974.0,1650.0,21073.0,520.0,1700.0,22030.0,1420.0,19741.0,4000.0,69214.0,1890.0,11689.0,2330.0,26612.0,50.0,927.0,2780.0,361901.0,55398.0,2470.0,15148.0,220.0,205.0,2460.0,7597.0,2780.0,24412.0,2050.0,11813.0,1960.0,8702.0,12360.0,627789.0,210.0,948.0,4300.0,5397.0,280.0,128.0,2640.0,3519.0,310.0,110.0,2610.0,5193.0,2300.0,4761.0,1470.0,1669.0,11420.0,107497.0,11920.0,111166.0,2080.0,11406.0,13250.0,35068.0
washington,0.0,0.0,10397.0,0.0,51369.0,PA,103600.0,49320.0,43730.0,8800.0,56010.0,191440.0,52790.0,6633977.0,84010.0,4538821.0,40970.0,50327.0,25080.0,121054.0,22910.0,95275.0,12190.0,223258.0,1150.0,17210.0,204973.0,12870.0,183887.0,26320.0,479733.0,10860.0,70128.0,16340.0,202383.0,650.0,11608.0,27720.0,3980352.0,639437.0,24500.0,158178.0,2620.0,2730.0,25610.0,99213.0,27630.0,265430.0,22650.0,173150.0,22530.0,88113.0,80870.0,4808297.0,2820.0,14256.0,29710.0,36613.0,2850.0,1485.0,14820.0,19888.0,2340.0,696.0,12670.0,23607.0,10810.0,21244.0,7030.0,8154.0,75250.0,896101.0,78290.0,930228.0,15520.0,102235.0,81430.0,205682.0
armstrong,0.0,0.0,1329.0,0.0,18939.0,PA,32450.0,14680.0,14380.0,2870.0,17480.0,61490.0,16940.0,1515833.0,26080.0,1067884.0,11750.0,15841.0,6530.0,31828.0,5920.0,26808.0,3770.0,38175.0,560.0,3730.0,79148.0,3580.0,36717.0,8470.0,141485.0,4560.0,27430.0,4580.0,47583.0,80.0,1071.0,5400.0,591341.0,100995.0,4690.0,23415.0,560.0,500.0,4880.0,15569.0,5380.0,40201.0,4010.0,22798.0,3920.0,14591.0,24410.0,1004333.0,220.0,1233.0,9310.0,10809.0,670.0,311.0,5150.0,6854.0,700.0,201.0,5050.0,10002.0,4350.0,9051.0,2950.0,3492.0,22220.0,148959.0,23380.0,155866.0,3470.0,10906.0,26950.0,70698.0
butler,0.0,0.0,2892.0,0.0,59742.0,PA,92470.0,42950.0,41770.0,6480.0,47800.0,175250.0,50380.0,6218362.0,75890.0,4411199.0,37990.0,44277.0,25050.0,191407.0,22820.0,155294.0,11630.0,180828.0,820.0,17750.0,192065.0,11690.0,160851.0,21590.0,400911.0,9290.0,59254.0,13690.0,170065.0,550.0,9522.0,28700.0,4019303.0,645035.0,25430.0,159374.0,2610.0,2667.0,26460.0,100216.0,28570.0,268232.0,23350.0,183890.0,23540.0,95356.0,72980.0,4536748.0,2850.0,13691.0,28860.0,37938.0,2810.0,1437.0,13890.0,19224.0,2260.0,795.0,9740.0,17994.0,8220.0,15961.0,5540.0,6557.0,68110.0,827818.0,70820.0,857244.0,14780.0,101389.0,71830.0,180115.0
clarion,3157.0,0.0,227.0,0.0,11092.0,PA,17270.0,7970.0,7700.0,1330.0,10330.0,32520.0,8800.0,766440.0,13690.0,520476.0,6230.0,8734.0,3890.0,14069.0,3590.0,11062.0,2470.0,29437.0,470.0,2440.0,13788.0,2160.0,21381.0,4210.0,74596.0,2680.0,15706.0,2450.0,26712.0,70.0,997.0,2510.0,269534.0,49862.0,2150.0,10135.0,300.0,271.0,2200.0,5319.0,2500.0,16066.0,1750.0,10135.0,1870.0,8683.0,12880.0,498584.0,150.0,719.0,5090.0,5776.0,430.0,195.0,2640.0,3461.0,320.0,85.0,2810.0,5421.0,2370.0,4881.0,1650.0,1942.0,11540.0,75236.0,12300.0,79987.0,2090.0,7802.0,13940.0,32437.0
crawford,769.0,0.0,1792.0,0.0,20183.0,PA,39110.0,17920.0,16960.0,3500.0,22280.0,75210.0,21910.0,1689410.0,31030.0,1174427.0,12780.0,15017.0,7520.0,25610.0,6730.0,18795.0,5760.0,82992.0,940.0,5410.0,31546.0,4610.0,53737.0,8950.0,149393.0,4690.0,25188.0,5650.0,61007.0,180.0,2785.0,6290.0,641668.0,118599.0,5370.0,24770.0,780.0,688.0,5660.0,18591.0,6270.0,44627.0,4710.0,27626.0,4440.0,18134.0,28270.0,1085764.0,370.0,1820.0,11180.0,12446.0,920.0,428.0,5820.0,7620.0,760.0,197.0,6880.0,13876.0,5970.0,12492.0,4010.0,5052.0,25360.0,164980.0,27140.0,176107.0,5150.0,19561.0,30980.0,72457.0
erie,22562.0,0.0,3560.0,0.0,51012.0,PA,130650.0,64100.0,48100.0,16340.0,65990.0,241190.0,73800.0,6507124.0,108890.0,4490996.0,45500.0,56181.0,27430.0,187280.0,24760.0,158953.0,14550.0,201436.0,890.0,17950.0,273501.0,14290.0,170563.0,28510.0,498734.0,14800.0,87531.0,16650.0,192737.0,600.0,11170.0,27360.0,3347747.0,550132.0,23720.0,124806.0,2970.0,2785.0,25180.0,97638.0,27250.0,230905.0,21820.0,133920.0,21040.0,80547.0,95230.0,4441262.0,1860.0,11332.0,38410.0,43992.0,3820.0,1730.0,19000.0,24317.0,2660.0,768.0,25010.0,54929.0,22300.0,50877.0,15410.0,18712.0,85270.0,729917.0,90330.0,762415.0,16190.0,81681.0,106790.0,268278.0
mercer,0.0,0.0,1718.0,0.0,23869.0,PA,53980.0,25270.0,22330.0,5410.0,27740.0,100940.0,28930.0,2578745.0,42270.0,1686839.0,19780.0,26478.0,11500.0,44236.0,10480.0,32692.0,6690.0,82368.0,1020.0,7590.0,52811.0,7070.0,75510.0,14240.0,233845.0,5770.0,32752.0,8600.0,96452.0,210.0,3311.0,9800.0,1119451.0,200039.0,8330.0,45571.0,1180.0,1150.0,8840.0,24312.0,9750.0,72412.0,7330.0,44712.0,7490.0,35110.0,39300.0,1731170.0,720.0,3933.0,15350.0,16860.0,1110.0,482.0,7600.0,9942.0,1240.0,401.0,8660.0,17748.0,7560.0,16263.0,5170.0,6163.0,35590.0,284930.0,37560.0,297451.0,8000.0,42117.0,41790.0,96380.0
bedford,0.0,0.0,5726.0,0.0,15752.0,PA,23010.0,9800.0,11070.0,1790.0,13910.0,44850.0,12410.0,958051.0,18410.0,685927.0,7720.0,9562.0,4000.0,12851.0,3570.0,9477.0,3360.0,41191.0,870.0,2750.0,20484.0,2630.0,25542.0,5170.0,91027.0,3700.0,20515.0,3160.0,31642.0,70.0,1369.0,3840.0,344344.0,71949.0,3320.0,14135.0,430.0,380.0,3430.0,6262.0,3840.0,21238.0,2870.0,19447.0,2830.0,12557.0,17130.0,597200.0,160.0,698.0,6760.0,7616.0,500.0,212.0,3710.0,4862.0,490.0,250.0,3940.0,7950.0,3290.0,6959.0,2350.0,2990.0,15430.0,83703.0,16690.0,90934.0,2910.0,9429.0,18620.0,45217.0
blair,0.0,0.0,17094.0,0.0,32662.0,PA,59630.0,28560.0,24050.0,6000.0,33000.0,110170.0,31060.0,2796318.0,48540.0,1914141.0,18840.0,26240.0,11910.0,69602.0,10590.0,55537.0,6170.0,92831.0,430.0,7860.0,91049.0,6490.0,73961.0,14540.0,249492.0,7230.0,39866.0,8400.0,87291.0,230.0,4360.0,9750.0,1209728.0,200812.0,8350.0,45551.0,1160.0,1010.0,8780.0,22601.0,9680.0,70357.0,7460.0,48861.0,7560.0,35775.0,44150.0,1863259.0,620.0,3290.0,17300.0,19433.0,1860.0,917.0,8740.0,11333.0,1270.0,670.0,10570.0,21410.0,9240.0,19631.0,6210.0,7542.0,39810.0,302596.0,42060.0,317020.0,6780.0,30413.0,49350.0,118966.0
fayette,0.0,0.0,23200.0,0.0,23542.0,PA,62160.0,29170.0,24780.0,7120.0,35910.0,115150.0,32320.0,2748276.0,50630.0,1934136.0,18350.0,25675.0,10530.0,39094.0,9140.0,25676.0,6460.0,83849.0,580.0,6170.0,103343.0,5810.0,62211.0,15370.0,260538.0,8870.0,54079.0,8490.0,90766.0,130.0,1929.0,8900.0,994131.0,175598.0,7740.0,36119.0,910.0,835.0,7730.0,19235.0,8850.0,58078.0,6630.0,40982.0,6700.0,23564.0,45550.0,1808652.0,420.0,2083.0,16450.0,18033.0,1090.0,477.0,8890.0,11263.0,1200.0,418.0,11900.0,24304.0,10470.0,22242.0,6640.0,7668.0,41350.0,276903.0,43850.0,291081.0,6990.0,27261.0,51890.0,128183.0
franklin,0.0,0.0,19187.0,0.0,42564.0,PA,74320.0,32570.0,33020.0,7420.0,40700.0,144790.0,42560.0,3696063.0,59480.0,2621683.0,27010.0,38913.0,14720.0,55320.0,13340.0,40347.0,9260.0,107167.0,1470.0,10710.0,88167.0,8780.0,98045.0,19540.0,413695.0,8110.0,43952.0,11400.0,128500.0,260.0,4132.0,20760.0,1953509.0,411458.0,17720.0,78979.0,2570.0,2111.0,19030.0,56323.0,20690.0,140382.0,16470.0,129090.0,15000.0,69698.0,57740.0,2427826.0,730.0,3927.0,22710.0,26387.0,2810.0,1453.0,12820.0,16698.0,1370.0,748.0,10830.0,22356.0,9400.0,20087.0,7710.0,10327.0,52060.0,367477.0,55070.0,388401.0,10060.0,38107.0,59530.0,150734.0
fulton,0.0,0.0,1695.0,0.0,4397.0,PA,7030.0,3030.0,3230.0,620.0,4230.0,13520.0,3710.0,301067.0,5590.0,222377.0,2510.0,3418.0,1220.0,4153.0,1080.0,2979.0,1010.0,10428.0,420.0,890.0,5753.0,860.0,9242.0,1750.0,31281.0,1070.0,6149.0,1040.0,10578.0,20.0,512.0,1470.0,120603.0,26725.0,1280.0,4682.0,150.0,113.0,1370.0,3810.0,1470.0,8727.0,1150.0,8480.0,940.0,3857.0,5280.0,189223.0,30.0,181.0,2000.0,2214.0,140.0,69.0,1200.0,1543.0,90.0,30.0,1150.0,2211.0,970.0,1889.0,720.0,895.0,4770.0,25884.0,5140.0,27874.0,890.0,2293.0,5720.0,14283.0
huntingdon,3803.0,0.0,1464.0,0.0,11929.0,PA,19140.0,8410.0,8770.0,1660.0,13540.0,36980.0,10370.0,836896.0,15280.0,581258.0,6790.0,7163.0,3290.0,11355.0,2940.0,7717.0,2570.0,27686.0,540.0,2300.0,20150.0,2260.0,24161.0,5070.0,93683.0,3700.0,22368.0,2880.0,30287.0,50.0,723.0,3490.0,321435.0,65516.0,2980.0,12582.0,420.0,334.0,3080.0,6578.0,3480.0,19822.0,2640.0,17317.0,2540.0,11120.0,14300.0,531419.0,130.0,579.0,5710.0,6329.0,400.0,184.0,3170.0,4148.0,460.0,221.0,3220.0,6394.0,2750.0,5705.0,1950.0,2453.0,12860.0,75391.0,13780.0,80331.0,2290.0,8066.0,15700.0,39285.0
indiana,0.0,0.0,13517.0,0.0,21954.0,PA,37130.0,17190.0,16530.0,2820.0,20830.0,70100.0,19330.0,1788162.0,29010.0,1229979.0,13710.0,18396.0,8010.0,27702.0,7310.0,21206.0,5100.0,72574.0,770.0,4880.0,64357.0,4210.0,43634.0,9730.0,169728.0,5140.0,33618.0,5280.0,60386.0,160.0,3064.0,6820.0,779752.0,140200.0,5830.0,30975.0,780.0,748.0,6170.0,20715.0,6800.0,53377.0,4910.0,28375.0,5280.0,24489.0,27360.0,1198618.0,430.0,2391.0,10180.0,11539.0,810.0,366.0,5140.0,6957.0,770.0,240.0,5390.0,10367.0,4660.0,9393.0,3070.0,3717.0,24980.0,190308.0,26290.0,200959.0,4490.0,18513.0,29580.0,73884.0
berks,62810.0,0.0,1766.0,0.0,89175.0,PA,199590.0,94760.0,76790.0,24910.0,113360.0,380590.0,120270.0,10954196.0,164470.0,7910968.0,70820.0,112505.0,45700.0,238152.0,41500.0,181362.0,24310.0,339044.0,1540.0,32430.0,264574.0,24190.0,317420.0,43630.0,726542.0,22390.0,147416.0,26100.0,323237.0,870.0,14037.0,64440.0,7067600.0,1361981.0,56360.0,271187.0,6620.0,5581.0,59770.0,298968.0,64240.0,586739.0,52100.0,379456.0,50220.0,167537.0,150330.0,7452782.0,3480.0,19612.0,62440.0,75474.0,7750.0,4268.0,32880.0,41190.0,4170.0,2075.0,33230.0,74334.0,29370.0,67058.0,23500.0,29747.0,134070.0,1245113.0,142720.0,1301585.0,25760.0,100670.0,161230.0,429168.0
chester,107220.0,0.0,2166.0,0.0,137863.0,PA,249530.0,116090.0,110880.0,18530.0,131540.0,500130.0,165710.0,25464889.0,206420.0,17375363.0,116850.0,236111.0,88140.0,942729.0,81580.0,756377.0,38030.0,884240.0,1350.0,70420.0,2187330.0,33180.0,717532.0,49590.0,1125416.0,18540.0,146695.0,35730.0,567337.0,3680.0,83555.0,118640.0,21707977.0,3650696.0,104880.0,897062.0,11220.0,10220.0,110140.0,695726.0,118270.0,1622389.0,95170.0,1015679.0,101990.0,514761.0,201000.0,19602515.0,19810.0,127179.0,83420.0,122893.0,12700.0,6671.0,33410.0,43732.0,6210.0,4267.0,19310.0,35611.0,16070.0,31017.0,15540.0,21824.0,186410.0,4124884.0,194610.0,4265310.0,52180.0,403954.0,177500.0,539915.0
