County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,0.0,0.0,12814.0,0.0,33788.0,PA,51650,23730,22310,4600,26160,96570,26770,1550,580,960,180,380,4800,15530,3081533,51500,3129194,42190,2087953,15990,19906,10400,53459,9630,40707,5210,3495,6750,83099,7870,193785,7040,99933,12610,309296,860,2890,10141,8980,121925,2300,119299,12100,47661,1100,273,210,3785,1440,9443,1040,4642,4750,5183,500,1077,330,11116,16060,346952,1844871,3490,36822,13750,77971,1890,1780,14800,61264,1380,706,16000,143015,12950,91119,380,1335,750,378,2060,2805,250,1314,11880,56828,3000,19482,300,2212,40490,2134824,40350,370192,630,2933,1010,1161,15330,17711,2280,280,1640,901,2880,3521,3470,605,7880,10441,1060,834,5270,15017,1780,8638,2020,9384,1590,1066,48960,450773,6500,13421,5390,11722,4290,5704,2510,2405,820,752,37330,355647,39360,375744,420,470,580,4512,8010,48089,40640,103062
cumberland,0.0,0.0,23397.0,0.0,78381.0,PA,125280,61030,51690,10080,57770,228750,61790,3200,1340,1860,390,750,11490,36680,8482716,124890,8601729,100460,5852252,45740,71093,31070,159409,28900,121425,11630,8026,15940,251932,25010,328530,17920,276297,32790,862804,1000,5310,24611,22080,327366,6300,429182,31330,119013,2770,680,860,19004,3440,25352,2500,11185,13280,14895,1330,3397,570,6282,41070,902997,5301715,7450,96144,35520,228707,4540,4313,37600,150113,4830,1566,40940,388018,32210,221009,830,2738,2010,950,4820,6168,870,3846,32440,148444,7480,49911,860,7074,101510,6172991,100870,1151314,2970,12493,1900,1876,39210,44184,8850,2449,5560,3137,7340,9023,7220,1242,17720,23319,2760,1728,12470,43257,3180,11773,3740,12789,2850,1856,119080,1342884,13680,27853,11400,24462,8160,10670,6150,5846,1550,1346,94710,1109167,98690,1170338,2430,3986,2730,8802,21940,106602,95890,246613
dauphin,0.0,0.0,15028.0,0.0,66093.0,PA,141800,72160,46740,19690,61660,253570,75290,4310,1760,2550,580,1860,19220,36490,8055282,141320,8155776,117740,5934893,40380,43100,27040,129383,25100,98936,11390,5556,16520,221653,20600,221543,15720,233518,32990,783951,670,6770,30610,21030,295662,5180,284336,31990,100494,2440,597,670,13722,2840,19976,2220,9345,14290,16440,1510,4000,370,4808,38510,814329,4629199,6320,71786,33190,198660,4180,3858,34970,153080,4440,2136,38360,363914,30040,187440,710,2667,1670,896,5340,6160,680,2328,30240,135191,7600,47091,1050,11310,109190,5679305,108640,1036048,2770,11196,1910,1794,41230,46794,6930,4366,5730,3285,8130,9970,8920,1444,19540,23348,2710,1584,12620,36277,3250,11024,3770,12115,3750,2380,135810,1268255,25160,58444,22220,52881,16020,20464,7210,6837,1550,1217,99300,989329,104990,1041966,2360,3631,2470,5386,21500,94524,113650,294371
york,0.0,0.0,62969.0,0.0,141076.0,PA,223680,103880,89870,25220,106510,418160,121440,7570,4220,3360,1340,2000,25920,59090,13210311,222980,13381751,186960,9901618,68330,91755,45990,215370,42620,167098,22620,13625,26510,336050,34800,353543,29320,419367,50230,988459,1600,13090,54984,33380,452253,9360,550709,51900,171440,5090,1268,900,14706,5120,36559,3820,17416,22670,24758,2150,5242,970,20292,72420,1559544,8148770,12780,133408,63550,334432,7180,6716,67530,341852,6130,3293,72220,691374,58760,387509,1610,5218,3510,1540,10680,14233,1100,5098,54320,231479,13810,91097,1310,17354,175060,9125899,174390,1616626,3670,15880,3990,4425,68920,78069,10480,2904,9060,5146,12770,15793,14910,2501,35070,44885,4450,2297,20390,59845,6780,31992,7800,35016,6350,4095,212860,2013809,32960,73499,28330,65484,20770,26336,11300,10852,3080,2715,160890,1536386,169150,1621337,2700,3643,2970,9400,32630,147972,179160,490958
allegheny,60479.0,0.0,0.0,0.0,84879.0,PA,624460,336850,211970,62260,269010,1074340,285820,17450,9330,8120,3120,4130,67320,174140,43462529,622440,44078515,513340,31152372,198310,285307,152750,1157075,142450,927053,56920,44965,80920,1331676,123120,1962679,80210,1388820,134370,2810763,370,33930,180871,97780,1418796,31430,2177409,169990,615986,13560,3419,4660,106790,17170,111669,12630,57624,82460,99334,7330,18975,2000,42761,176480,4328880,27595176,27820,315270,154460,1228530,17690,18982,159070,912758,14830,6715,175820,2187585,131050,778343,2580,9461,5100,2807,17520,19156,4550,31202,145870,731352,39300,317263,6280,116855,497000,32453716,493240,6583918,20430,110955,9570,6613,180080,210680,45810,38380,20150,10656,35860,44244,33650,5934,70900,88317,12770,4363,64990,205823,15210,35935,18580,39558,14460,8889,594190,7724190,80730,167408,68450,148157,43590,53474,28860,27628,7330,5090,464120,6388515,485430,6714645,17130,35159,17970,63176,104760,564086,483700,1333450
beaver,34109.0,0.0,0.0,0.0,48729.0,PA,85040,41500,33360,8530,43830,152300,40150,2010,270,1750,70,980,9050,26060,4529437,84760,4581855,69230,3360603,25880,23564,16400,53982,15090,41758,6460,2542,9080,113352,12100,81771,11480,152513,22550,414987,400,6550,36180,14430,189762,3120,104055,19780,52418,1910,491,270,4681,1620,9734,1560,6852,9940,11362,770,1733,140,1995,18500,364234,2059617,3080,31078,16040,80250,1990,1829,17130,67895,1650,591,18420,152194,14550,79755,270,717,450,271,2260,2992,190,511,14680,64893,4350,26723,690,8660,65300,3101452,65140,518152,910,3123,1350,980,23480,25251,3250,798,2100,1088,4680,5895,5320,944,11580,15028,2030,655,6900,18370,2160,6008,2610,6481,2290,1378,80920,666361,12080,24990,10340,22330,6660,8164,4110,3976,1000,742,60820,492899,63660,519066,710,792,840,2022,11590,38953,69190,173686
cambria,17669.0,0.0,3874.0,0.0,32492.0,PA,62990,30200,25620,6030,33400,114590,30680,1400,1320,70,180,700,5650,20190,2989267,62810,3028949,49900,2165545,21910,26150,12340,39892,11280,29934,3360,1864,6420,81569,8260,42788,8590,103703,18600,326545,400,5400,26245,10810,126337,2330,80648,14680,39682,1530,388,200,4275,1370,8430,1470,6259,7110,7761,610,1286,130,1104,8180,172785,1002977,1480,19221,7020,39543,950,869,7340,25062,630,224,8120,66462,5790,31522,130,247,130,30,690,677,160,535,6240,25806,2270,18630,360,5298,46340,2003803,46300,335811,560,2132,1250,873,17390,19304,2170,372,1730,819,3540,4497,4870,936,8360,11156,1310,710,5110,13800,2040,6371,2310,6874,1780,1112,59550,452479,10130,21765,8730,19655,5580,7062,3090,3020,920,610,43030,316590,45350,335709,470,699,530,1091,7710,24672,51630,127621
lawrence,2809.0,0.0,0.0,0.0,4822.0,PA,41280,19500,16490,4440,23480,75950,21280,730,650,70,200,690,4450,12520,2017822,41170,2045119,33430,1457205,11680,11398,7980,28446,7430,22426,2680,1792,5060,57325,6000,30591,5410,67589,10360,190115,560,3510,18634,6860,84342,1710,89684,9540,27297,1100,289,110,1521,950,6318,710,3453,4160,4626,290,758,150,2338,7060,140194,803717,1230,14093,6160,34232,770,665,6420,23573,490,230,7040,59579,5260,27841,140,341,80,43,770,808,100,281,5490,22927,1740,12014,320,4764,30570,1355151,30480,229070,370,1612,750,546,11450,12811,1580,323,740,346,2220,2902,2880,523,5680,7387,840,330,3770,9339,1260,3731,1430,4085,1250,783,39020,303483,7080,15352,6120,13663,3870,4816,2090,2055,570,409,28210,216293,29990,229156,260,388,370,787,5500,18378,33580,83737
somerset,6112.0,0.0,1954.0,0.0,19746.0,PA,34440,15710,15540,2590,20060,63890,16340,940,590,360,180,430,2890,10870,1587821,34350,1612744,27150,1130525,11640,13543,6600,26366,6090,19685,2140,1104,4760,56983,4850,43032,4890,57723,8870,156320,890,3800,19158,5650,65937,1610,40535,8070,24923,690,173,120,1899,960,5964,790,3695,3150,3471,280,610,230,1924,4920,105024,539073,1000,12733,4250,21769,580,500,4350,14291,320,149,4900,37117,3410,18471,80,214,70,18,390,374,90,279,3690,21493,1550,13785,150,1424,25270,1034768,25170,164482,250,1328,790,519,9430,10197,1120,219,880,376,1640,1989,2900,552,4620,6098,680,420,3620,9528,1410,4602,1590,4807,1150,708,32020,226562,5310,10954,4420,9603,2920,3707,1410,1328,680,498,23400,154286,25000,167203,150,234,250,870,4450,14712,27430,67640
westmoreland,16175.0,0.0,2080.0,0.0,31183.0,PA,181760,88300,75640,14430,89290,324910,82690,5450,1100,4350,380,1810,16250,58580,10780033,181210,10929028,144500,7590004,60260,76757,42450,197706,39310,156987,14550,8740,21980,329463,31530,280376,27240,384201,47610,958760,900,14310,74150,33490,464116,8620,470510,44060,148995,4480,1161,800,14895,5280,33168,4020,19007,19770,22211,1820,4206,570,14254,41960,892682,5499914,7250,78322,36370,219593,4540,4471,38860,160620,3420,1506,41810,389901,32470,195592,580,1873,1030,582,4380,5208,740,4071,34320,145442,9630,69948,1620,22974,140890,7668302,140190,1388205,2970,13600,3100,2372,51050,58657,9650,5218,4820,2500,10440,13280,10580,1999,22990,30248,4240,1465,17020,50647,5040,13834,5940,15005,4130,2653,171310,1695724,21820,42886,18160,37399,11360,14083,8980,8658,2410,1815,132320,1330787,138390,1403408,2410,3449,2870,8839,27550,118815,142650,360593
