County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
adams,13291.0,0.0,0.0,25596.0,0.0,PA,52350.0,24310.0,22400.0,4580.0,46300.0,3240.0,26030.0,31920.0,96580.0,25890.0,1740.0,720.0,1020.0,180.0,4950.0,16540.0,3314660.0,52190.0,3350620.0,42310.0,2231644.0,16910.0,24903.0,10510.0,54830.0,9730.0,39828.0,4320.0,3476.0,6750.0,83954.0,8190.0,147271.0,15740.0,461799.0,870.0,2420.0,8893.0,9930.0,146376.0,2320.0,110064.0,11790.0,35960.0,1010.0,256.0,210.0,3893.0,1290.0,9070.0,970.0,4296.0,4740.0,5331.0,47610.0,836044.0,47610.0,814190.0,10950.0,21855.0,4090.0,124555.0,669828.0,1250.0,26015.0,3330.0,25028.0,630.0,560.0,3690.0,18798.0,390.0,313.0,3870.0,28990.0,4050.0,30497.0,3170.0,31189.0,90.0,454.0,200.0,96.0,110.0,913.0,3140.0,32457.0,120.0,1449.0,5630.0,35495.0,41070.0,2409711.0,40800.0,371604.0,30.0,173.0,830.0,1907.0,17500.0,35001.0,2730.0,718.0,1580.0,935.0,2650.0,3084.0,3600.0,661.0,11980.0,27436.0,140.0,429.0,5340.0,15921.0,1750.0,25476.0,1950.0,27442.0,1190.0,922.0,49500.0,446523.0,6110.0,12843.0,5290.0,11528.0,4850.0,8618.0,2130.0,1950.0,660.0,754.0,36400.0,336603.0,38540.0,359363.0,470.0,624.0,740.0,2129.0,8880.0,38597.0,41450.0,125064.0,40360.0,102502.0,1490.0,22547.0
bedford,3489.0,0.0,0.0,15311.0,0.0,PA,23060.0,10330.0,10460.0,1840.0,20730.0,1300.0,13430.0,14390.0,43030.0,11140.0,120.0,30.0,100.0,0.0,2300.0,7180.0,1145696.0,22990.0,1160795.0,18100.0,796281.0,6940.0,7814.0,3780.0,13122.0,3470.0,8913.0,1030.0,762.0,3260.0,44063.0,3210.0,32505.0,6610.0,156417.0,870.0,1670.0,7439.0,4000.0,48962.0,1170.0,52982.0,5230.0,15099.0,430.0,110.0,60.0,1101.0,640.0,4187.0,400.0,1714.0,1850.0,1962.0,22010.0,393789.0,22010.0,384036.0,4910.0,9753.0,690.0,21377.0,116548.0,230.0,5289.0,550.0,4453.0,130.0,96.0,570.0,1906.0,40.0,17.0,650.0,4074.0,680.0,4242.0,440.0,4162.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,6511.0,0.0,0.0,2610.0,15911.0,17230.0,760880.0,17200.0,107195.0,0.0,0.0,470.0,602.0,7260.0,13354.0,670.0,111.0,430.0,217.0,1020.0,1201.0,2150.0,423.0,5030.0,10625.0,40.0,131.0,2620.0,7588.0,800.0,5048.0,880.0,5464.0,660.0,474.0,21560.0,144960.0,3540.0,7400.0,3020.0,6535.0,2420.0,4250.0,850.0,785.0,350.0,361.0,14990.0,93300.0,16300.0,102920.0,100.0,126.0,170.0,437.0,3130.0,9740.0,18920.0,50484.0,18430.0,46252.0,680.0,4145.0
blair,12497.0,0.0,0.0,30851.0,0.0,PA,59290.0,29150.0,22670.0,6110.0,54410.0,2340.0,31220.0,39190.0,106880.0,29390.0,1790.0,1760.0,30.0,190.0,6990.0,17960.0,3320277.0,59080.0,3358802.0,47830.0,2194954.0,16540.0,23787.0,10840.0,75898.0,9990.0,59057.0,2460.0,2570.0,6320.0,91452.0,8400.0,151926.0,17350.0,408246.0,410.0,3250.0,13304.0,10370.0,135036.0,2720.0,194032.0,12970.0,38525.0,1180.0,307.0,190.0,3862.0,1360.0,9700.0,860.0,3768.0,6360.0,7330.0,56760.0,969218.0,56760.0,944840.0,12430.0,24377.0,1970.0,85613.0,563363.0,600.0,19373.0,1590.0,17320.0,320.0,295.0,1630.0,7487.0,120.0,68.0,1850.0,12864.0,1940.0,13997.0,1210.0,10759.0,40.0,359.0,30.0,7.0,140.0,2069.0,1600.0,23707.0,180.0,6582.0,5470.0,47495.0,44130.0,2318369.0,43890.0,370857.0,20.0,146.0,900.0,941.0,18880.0,35539.0,2370.0,1097.0,1850.0,1032.0,2780.0,3409.0,4800.0,879.0,12870.0,27293.0,70.0,144.0,5030.0,14088.0,1560.0,9005.0,1700.0,9661.0,1170.0,807.0,56230.0,476375.0,9800.0,21535.0,8740.0,19929.0,6670.0,11358.0,2300.0,2245.0,680.0,600.0,38360.0,335316.0,40690.0,357412.0,570.0,1006.0,830.0,3907.0,7080.0,36159.0,49940.0,154655.0,48840.0,129265.0,1590.0,25365.0
cambria,18579.0,0.0,0.0,9172.0,21683.0,PA,62430.0,30460.0,24700.0,6060.0,56110.0,3270.0,32700.0,40200.0,112310.0,29680.0,1560.0,1480.0,90.0,210.0,6260.0,20900.0,3250303.0,62220.0,3285611.0,49170.0,2277681.0,21700.0,28670.0,11940.0,51179.0,10970.0,37622.0,2480.0,1603.0,6150.0,88431.0,8370.0,74414.0,20680.0,464722.0,390.0,4060.0,17283.0,11780.0,148696.0,2220.0,92784.0,13590.0,35308.0,1380.0,356.0,180.0,3225.0,1180.0,8066.0,1320.0,5750.0,6750.0,7465.0,60400.0,1044473.0,60400.0,1015826.0,14570.0,28648.0,1450.0,49781.0,322556.0,510.0,12343.0,1100.0,10296.0,270.0,280.0,1210.0,5939.0,110.0,110.0,1380.0,9241.0,1420.0,9709.0,830.0,7243.0,0.0,0.0,20.0,3.0,80.0,1151.0,1150.0,12417.0,130.0,4361.0,4850.0,26096.0,45760.0,2229402.0,45580.0,330034.0,0.0,0.0,1180.0,1346.0,19020.0,36162.0,2160.0,603.0,1630.0,804.0,3420.0,4247.0,4810.0,914.0,12960.0,28128.0,70.0,159.0,4910.0,13755.0,2090.0,15922.0,2270.0,17004.0,1240.0,809.0,58970.0,438517.0,9690.0,21245.0,8690.0,19624.0,6360.0,10686.0,2770.0,2671.0,890.0,753.0,40420.0,293874.0,42760.0,314165.0,490.0,764.0,640.0,2536.0,7180.0,22750.0,52550.0,146770.0,51590.0,130576.0,1360.0,16148.0
cumberland,46726.0,0.0,0.0,10977.0,46840.0,PA,128470.0,62690.0,52450.0,10630.0,114580.0,7010.0,58380.0,77490.0,233650.0,62910.0,3950.0,1750.0,2220.0,330.0,12640.0,38700.0,9507047.0,128020.0,9615817.0,102470.0,6363056.0,47450.0,84606.0,31690.0,193720.0,29380.0,142220.0,9520.0,7295.0,16330.0,271702.0,26030.0,418668.0,39380.0,1272151.0,1030.0,4430.0,20882.0,23760.0,384214.0,6270.0,414895.0,29970.0,108770.0,2570.0,643.0,810.0,18367.0,3100.0,25525.0,2220.0,10263.0,13130.0,15047.0,115860.0,1992136.0,115860.0,1940895.0,25800.0,51240.0,11300.0,349652.0,2328386.0,3040.0,72750.0,9400.0,88644.0,1560.0,1564.0,10050.0,54074.0,1260.0,632.0,10720.0,82038.0,11170.0,85742.0,8460.0,85646.0,170.0,977.0,540.0,311.0,460.0,3464.0,9270.0,91150.0,470.0,7202.0,15470.0,101207.0,103800.0,7244733.0,103070.0,1203055.0,90.0,915.0,1930.0,3594.0,45680.0,93285.0,9850.0,3993.0,5700.0,3277.0,6970.0,8206.0,7660.0,1347.0,29780.0,69850.0,320.0,950.0,12490.0,45100.0,3600.0,36514.0,4020.0,39836.0,2420.0,1790.0,121920.0,1367219.0,13390.0,28405.0,11710.0,25351.0,10160.0,18099.0,5330.0,4998.0,1410.0,1419.0,93520.0,1109771.0,97870.0,1181648.0,2850.0,4787.0,3470.0,9810.0,24030.0,109782.0,99630.0,293367.0,96670.0,246700.0,3940.0,46321.0
franklin,15634.0,0.0,0.0,39116.0,0.0,PA,77830.0,35930.0,32330.0,7990.0,69950.0,3790.0,39530.0,48830.0,146030.0,41430.0,3130.0,180.0,2950.0,0.0,9250.0,23290.0,4469732.0,77610.0,4518787.0,61950.0,3089457.0,26250.0,35164.0,14710.0,73078.0,13580.0,52485.0,5450.0,3837.0,9440.0,118756.0,12110.0,156440.0,22980.0,634479.0,1470.0,3300.0,13254.0,13820.0,189699.0,3390.0,189737.0,15940.0,49055.0,1460.0,376.0,230.0,3728.0,1540.0,11510.0,1160.0,4889.0,6210.0,6671.0,72150.0,1262740.0,72150.0,1230531.0,16030.0,32208.0,4860.0,152395.0,746816.0,1600.0,35388.0,3930.0,29262.0,800.0,730.0,4220.0,19540.0,410.0,234.0,4640.0,32686.0,4810.0,34160.0,3390.0,31676.0,90.0,384.0,230.0,109.0,180.0,1128.0,3810.0,45298.0,180.0,2883.0,8140.0,53038.0,60800.0,3133583.0,60370.0,460996.0,30.0,280.0,930.0,1924.0,26540.0,50193.0,3580.0,710.0,2610.0,1483.0,3730.0,4258.0,5850.0,1047.0,18500.0,41077.0,150.0,436.0,7200.0,21686.0,2250.0,33342.0,2450.0,35220.0,1890.0,1437.0,73370.0,572485.0,10770.0,24210.0,9640.0,21936.0,8760.0,16094.0,2950.0,2760.0,800.0,977.0,52530.0,410227.0,55970.0,439471.0,610.0,829.0,960.0,2635.0,11730.0,42410.0,62870.0,174353.0,61270.0,160013.0,2170.0,14339.0
fulton,888.0,0.0,0.0,4387.0,0.0,PA,7200.0,3290.0,3110.0,650.0,6370.0,520.0,3990.0,4480.0,13300.0,3520.0,220.0,0.0,220.0,0.0,790.0,2220.0,381228.0,7180.0,385401.0,5740.0,271997.0,2210.0,2470.0,1200.0,4774.0,1120.0,3486.0,360.0,241.0,910.0,11225.0,1020.0,12069.0,2170.0,51567.0,360.0,430.0,2012.0,1270.0,16535.0,290.0,10220.0,1470.0,4173.0,110.0,29.0,0.0,0.0,120.0,718.0,100.0,538.0,500.0,513.0,6810.0,120087.0,6810.0,117088.0,1510.0,3001.0,270.0,7583.0,36607.0,90.0,1269.0,240.0,1438.0,30.0,39.0,250.0,1052.0,30.0,8.0,260.0,1839.0,270.0,1964.0,190.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1990.0,0.0,0.0,670.0,3635.0,5500.0,263557.0,5460.0,36786.0,0.0,0.0,100.0,151.0,2280.0,4307.0,260.0,33.0,110.0,66.0,290.0,351.0,610.0,121.0,1610.0,3645.0,0.0,0.0,760.0,2109.0,210.0,3125.0,230.0,3298.0,190.0,134.0,6770.0,46369.0,960.0,2060.0,830.0,1813.0,750.0,1328.0,240.0,217.0,60.0,59.0,4830.0,32458.0,5180.0,34631.0,30.0,23.0,60.0,73.0,1000.0,3633.0,5880.0,15768.0,5760.0,14966.0,190.0,791.0
huntingdon,4246.0,0.0,0.0,11570.0,0.0,PA,19210.0,8740.0,8370.0,1680.0,18060.0,570.0,13030.0,12870.0,35860.0,9640.0,260.0,50.0,210.0,0.0,1630.0,6110.0,984934.0,19150.0,995315.0,15260.0,685390.0,5680.0,6691.0,3230.0,13054.0,2980.0,8826.0,1140.0,554.0,2370.0,27210.0,2450.0,28326.0,6110.0,146207.0,530.0,1810.0,7936.0,3650.0,47498.0,770.0,29259.0,4200.0,10381.0,350.0,89.0,50.0,607.0,360.0,2240.0,320.0,1416.0,1830.0,2083.0,18350.0,324595.0,18350.0,316127.0,4250.0,8463.0,620.0,20125.0,100547.0,210.0,5458.0,470.0,3314.0,130.0,131.0,500.0,1855.0,30.0,11.0,610.0,3854.0,620.0,3970.0,390.0,3218.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,6646.0,20.0,231.0,1820.0,9335.0,14400.0,665680.0,14360.0,91971.0,0.0,0.0,300.0,348.0,6170.0,11540.0,650.0,111.0,370.0,189.0,880.0,1060.0,1630.0,313.0,4350.0,9425.0,20.0,37.0,1820.0,4595.0,590.0,4786.0,640.0,4953.0,510.0,350.0,18150.0,123965.0,2840.0,6305.0,2490.0,5619.0,2100.0,3732.0,740.0,688.0,290.0,290.0,12570.0,80370.0,13560.0,86488.0,80.0,66.0,150.0,384.0,2400.0,7041.0,16060.0,44348.0,15730.0,41575.0,470.0,2252.0
somerset,6963.0,0.0,0.0,21572.0,0.0,PA,34210.0,15820.0,15110.0,2670.0,30790.0,2030.0,19750.0,21140.0,62790.0,15860.0,880.0,620.0,260.0,170.0,3190.0,11250.0,1751352.0,34110.0,1773136.0,26860.0,1222282.0,11840.0,15118.0,6560.0,33403.0,6050.0,23944.0,1710.0,1090.0,4630.0,58941.0,5120.0,60244.0,10460.0,231871.0,880.0,2720.0,12392.0,6120.0,78167.0,1560.0,52364.0,7530.0,21784.0,610.0,154.0,120.0,2048.0,880.0,5534.0,720.0,3540.0,3060.0,3324.0,32760.0,581085.0,32760.0,565802.0,7720.0,15284.0,960.0,33633.0,171352.0,330.0,8448.0,740.0,5975.0,180.0,168.0,800.0,3931.0,60.0,27.0,900.0,5914.0,950.0,6281.0,570.0,4609.0,0.0,0.0,20.0,15.0,50.0,606.0,750.0,11937.0,60.0,1116.0,3220.0,18349.0,25270.0,1198139.0,25140.0,172601.0,0.0,0.0,740.0,971.0,10300.0,19240.0,1220.0,495.0,880.0,417.0,1520.0,1793.0,2680.0,505.0,6990.0,15043.0,50.0,154.0,3450.0,9508.0,1370.0,11263.0,1500.0,11908.0,760.0,507.0,31790.0,226604.0,4900.0,10308.0,4250.0,9234.0,3300.0,5618.0,1190.0,1133.0,630.0,608.0,22350.0,153361.0,23940.0,166628.0,190.0,268.0,360.0,1372.0,4370.0,15960.0,28040.0,75624.0,27340.0,68729.0,1020.0,6895.0
westmoreland,59841.0,0.0,0.0,85605.0,0.0,PA,181380.0,88560.0,74500.0,14630.0,157800.0,12900.0,88850.0,107890.0,321850.0,80550.0,5510.0,1040.0,4480.0,330.0,17330.0,61390.0,11978831.0,180750.0,12109267.0,142930.0,8104578.0,63500.0,93549.0,42160.0,243544.0,39090.0,186005.0,11430.0,7963.0,21740.0,339864.0,32520.0,573113.0,57640.0,1500921.0,860.0,10830.0,50705.0,36500.0,548376.0,8500.0,503654.0,41800.0,130436.0,4090.0,1073.0,720.0,14223.0,4840.0,34769.0,3470.0,16737.0,19210.0,21868.0,170210.0,2945911.0,170210.0,2862360.0,42220.0,83553.0,9290.0,304814.0,2070915.0,2530.0,53940.0,7610.0,70922.0,1410.0,1490.0,8250.0,47728.0,790.0,486.0,8730.0,66385.0,9180.0,71167.0,6690.0,64114.0,120.0,776.0,240.0,196.0,390.0,6816.0,7690.0,76534.0,750.0,28169.0,18810.0,142886.0,140420.0,8875285.0,139540.0,1432663.0,120.0,2318.0,3280.0,4269.0,57600.0,116710.0,10330.0,5883.0,4890.0,2606.0,9410.0,11630.0,10830.0,2019.0,38500.0,87508.0,240.0,610.0,16800.0,52978.0,5370.0,32938.0,6110.0,36291.0,3200.0,2284.0,170660.0,1690789.0,20160.0,40778.0,17520.0,36416.0,13170.0,22166.0,7470.0,7170.0,2340.0,2232.0,127790.0,1315954.0,134030.0,1399424.0,2790.0,4157.0,3730.0,15202.0,28550.0,131706.0,144810.0,420648.0,141000.0,359920.0,5240.0,60729.0
