County,D0,D1,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N02910,A02910,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N11450,A11450,N10970,A10970,N10971,A10971,N10973,A10973,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
adams,0.0,0.0,0.0,38329.0,PA,54200.0,26130.0,22420.0,4500.0,49700.0,1920.0,27630.0,36620.0,440.0,97560.0,1090.0,490.0,600.0,110.0,5210.0,17710.0,3512383.0,53500.0,3551263.0,42620.0,2336308.0,17080.0,27476.0,10850.0,57051.0,10070.0,43202.0,680.0,365.0,6680.0,85150.0,9020.0,135672.0,6830.0,111976.0,13890.0,380681.0,815.0,11260.0,127300.0,10640.0,167011.0,2320.0,97840.0,22090.0,38880.0,1000.0,262.0,230.0,4381.0,1260.0,8920.0,960.0,4417.0,3920.0,3422.0,15270.0,3934.0,49360.0,897958.0,49360.0,873564.0,12090.0,24394.0,3610.0,112228.0,621893.0,1000.0,22236.0,2950.0,25611.0,580.0,514.0,3240.0,16747.0,410.0,247.0,3580.0,27038.0,3600.0,27222.0,2790.0,27317.0,70.0,337.0,200.0,149.0,520.0,926.0,90.0,410.0,2650.0,30281.0,110.0,1584.0,6930.0,38048.0,42510.0,2576152.0,42220.0,398636.0,30.0,180.0,470.0,452.0,17440.0,34076.0,2590.0,602.0,1300.0,729.0,2260.0,2640.0,3480.0,612.0,11830.0,27818.0,650.0,699.0,5120.0,15970.0,1250.0,13451.0,1290.0,13432.0,51290.0,480777.0,5790.0,11461.0,5040.0,10276.0,4340.0,7780.0,1880.0,1725.0,660.0,705.0,110.0,153.0,8210.0,11114.0,44490.0,85163.0,41260.0,45187.0,38050.0,363992.0,39830.0,386650.0,650.0,722.0,870.0,2638.0,8560.0,40482.0,43400.0,129602.0,42250.0,114840.0,1610.0,14761.0
bedford,0.0,0.0,0.0,23102.0,PA,23890.0,11060.0,10470.0,1870.0,22020.0,730.0,14060.0,16290.0,110.0,43920.0,100.0,30.0,70.0,0.0,2410.0,7840.0,1243754.0,23470.0,1259749.0,18080.0,813811.0,7170.0,8274.0,3940.0,14105.0,3610.0,9895.0,150.0,71.0,3180.0,42031.0,3390.0,31947.0,2890.0,40294.0,5870.0,127791.0,896.0,6180.0,71576.0,4350.0,56253.0,1180.0,54090.0,10090.0,15995.0,420.0,112.0,60.0,1054.0,640.0,4236.0,340.0,1574.0,1550.0,1297.0,7360.0,2041.0,22560.0,417726.0,22560.0,407030.0,5280.0,10696.0,600.0,19956.0,102139.0,170.0,4941.0,460.0,3804.0,120.0,118.0,480.0,1748.0,40.0,18.0,600.0,3723.0,600.0,3771.0,380.0,3788.0,0.0,0.0,0.0,0.0,40.0,49.0,0.0,0.0,470.0,5955.0,0.0,0.0,2790.0,17158.0,17960.0,839891.0,17870.0,119647.0,0.0,0.0,270.0,256.0,7370.0,13632.0,600.0,79.0,380.0,169.0,890.0,1066.0,2070.0,414.0,5010.0,11184.0,330.0,366.0,2430.0,7552.0,550.0,3323.0,600.0,3360.0,22360.0,156798.0,3240.0,6581.0,2800.0,5875.0,2230.0,3887.0,740.0,697.0,310.0,299.0,190.0,211.0,3400.0,4546.0,20520.0,40499.0,19310.0,21743.0,15660.0,105153.0,16690.0,114003.0,130.0,151.0,210.0,560.0,3110.0,11457.0,19610.0,56569.0,19110.0,51491.0,690.0,5060.0
blair,0.0,0.0,0.0,46944.0,PA,61100.0,31120.0,22430.0,6080.0,57500.0,1320.0,33160.0,43700.0,480.0,108070.0,830.0,830.0,0.0,70.0,7600.0,19040.0,3587854.0,59920.0,3625232.0,47340.0,2242937.0,16920.0,22897.0,10950.0,63896.0,10070.0,48926.0,310.0,151.0,6090.0,82921.0,8840.0,173002.0,6970.0,99937.0,15110.0,317989.0,408.0,15670.0,182720.0,11040.0,150592.0,2690.0,233908.0,24220.0,37378.0,1180.0,306.0,170.0,3692.0,1230.0,9432.0,810.0,3783.0,5220.0,4648.0,17130.0,4588.0,57950.0,1025345.0,57950.0,998607.0,13440.0,26740.0,1540.0,66696.0,563591.0,450.0,15958.0,1230.0,18418.0,250.0,255.0,1220.0,5640.0,130.0,73.0,1510.0,10530.0,1530.0,10669.0,940.0,8757.0,30.0,176.0,30.0,6.0,80.0,107.0,110.0,1767.0,1200.0,24420.0,140.0,2976.0,6390.0,60369.0,45970.0,2546744.0,45710.0,416497.0,0.0,0.0,550.0,544.0,19220.0,35579.0,2250.0,500.0,1530.0,768.0,2560.0,3164.0,4470.0,809.0,13060.0,28175.0,790.0,400.0,4730.0,13420.0,1090.0,5976.0,1170.0,6118.0,57790.0,531916.0,8800.0,18668.0,7880.0,17428.0,6030.0,10052.0,2190.0,2069.0,570.0,540.0,280.0,394.0,8690.0,11706.0,51770.0,97409.0,48430.0,52416.0,40160.0,380918.0,42040.0,403213.0,650.0,1124.0,880.0,6272.0,7180.0,37238.0,51230.0,165777.0,50220.0,138425.0,1550.0,27255.0
cambria,13262.0,0.0,0.0,47467.0,PA,65200.0,33050.0,24370.0,6260.0,60180.0,1940.0,34330.0,46270.0,470.0,114660.0,1200.0,1180.0,20.0,90.0,6920.0,22400.0,3414249.0,63890.0,3451047.0,48940.0,2321497.0,22380.0,27295.0,12070.0,42914.0,11170.0,31899.0,250.0,104.0,6000.0,80543.0,8670.0,79183.0,8390.0,110836.0,18410.0,360367.0,376.0,15580.0,186347.0,12660.0,169351.0,2170.0,107224.0,26120.0,36798.0,1370.0,351.0,150.0,3074.0,1020.0,7401.0,1140.0,5501.0,5570.0,4761.0,18770.0,5004.0,62170.0,1108687.0,62170.0,1076562.0,16130.0,32126.0,1180.0,50970.0,263683.0,400.0,11351.0,900.0,8165.0,240.0,196.0,940.0,4664.0,100.0,46.0,1150.0,7558.0,1170.0,7611.0,670.0,5890.0,0.0,0.0,20.0,10.0,70.0,102.0,50.0,393.0,910.0,10725.0,130.0,14093.0,5720.0,31443.0,47640.0,2355593.0,47470.0,350240.0,0.0,0.0,660.0,590.0,19270.0,35550.0,1920.0,150.0,1330.0,597.0,3040.0,3730.0,4510.0,875.0,13120.0,28873.0,850.0,544.0,4620.0,12903.0,1490.0,11694.0,1560.0,11707.0,61230.0,466803.0,8970.0,18966.0,8080.0,17763.0,5870.0,9960.0,2530.0,2387.0,790.0,727.0,70.0,90.0,9490.0,12819.0,55730.0,104743.0,52030.0,55729.0,42020.0,314688.0,43890.0,331740.0,550.0,857.0,710.0,1802.0,6910.0,27765.0,54860.0,162698.0,53990.0,150862.0,1320.0,9507.0
cumberland,52471.0,0.0,0.0,81308.0,PA,134960.0,67740.0,52880.0,11120.0,123670.0,3960.0,62270.0,89930.0,1580.0,242250.0,2060.0,650.0,1410.0,130.0,13470.0,41330.0,10611297.0,132860.0,10728065.0,104750.0,6783311.0,48790.0,88612.0,33150.0,192900.0,30830.0,145824.0,1380.0,598.0,16840.0,271814.0,28680.0,436071.0,16840.0,314597.0,34360.0,984555.0,1022.0,24360.0,301331.0,25000.0,429013.0,6120.0,588998.0,60970.0,116768.0,2470.0,622.0,830.0,20070.0,2860.0,23135.0,2190.0,10879.0,11100.0,9705.0,43290.0,11204.0,121800.0,2172212.0,121800.0,2115779.0,28060.0,56433.0,9920.0,328787.0,2530085.0,2600.0,72375.0,8250.0,83143.0,1400.0,1455.0,8620.0,49408.0,1220.0,654.0,9760.0,74802.0,9820.0,77210.0,7300.0,73911.0,140.0,894.0,540.0,483.0,910.0,1446.0,310.0,2839.0,7720.0,88947.0,390.0,10322.0,19850.0,114971.0,109120.0,8230927.0,108320.0,1446429.0,60.0,614.0,920.0,1211.0,47110.0,93832.0,9750.0,2893.0,4400.0,2311.0,6270.0,7539.0,7600.0,1332.0,30810.0,73736.0,1870.0,1858.0,12600.0,47757.0,2460.0,20869.0,2580.0,21035.0,127940.0,1623757.0,13060.0,26365.0,11490.0,23771.0,9770.0,17259.0,4970.0,4633.0,1340.0,1512.0,380.0,812.0,21750.0,29227.0,107980.0,200792.0,99160.0,106323.0,98490.0,1352588.0,102650.0,1429144.0,3230.0,5270.0,3880.0,11319.0,23460.0,152859.0,106020.0,346664.0,102870.0,288407.0,4380.0,50906.0
franklin,0.0,0.0,0.0,58229.0,PA,81080.0,38960.0,32050.0,8160.0,74940.0,2200.0,41720.0,55240.0,700.0,148070.0,2140.0,60.0,2080.0,0.0,9660.0,24750.0,4866033.0,80020.0,4914902.0,62930.0,3270047.0,25470.0,35868.0,15000.0,72335.0,13940.0,53010.0,1010.0,526.0,9530.0,117558.0,12800.0,200052.0,9170.0,136196.0,20520.0,523267.0,1451.0,15780.0,177345.0,14670.0,212501.0,3280.0,211863.0,30150.0,48869.0,1500.0,391.0,250.0,4136.0,1480.0,11100.0,1030.0,5097.0,5110.0,4125.0,20520.0,5405.0,74970.0,1353872.0,74970.0,1318885.0,17280.0,34988.0,4300.0,147725.0,735219.0,1290.0,30309.0,3510.0,28298.0,660.0,656.0,3690.0,18082.0,430.0,215.0,4220.0,30385.0,4250.0,30690.0,2890.0,26408.0,60.0,282.0,210.0,192.0,510.0,782.0,110.0,776.0,3230.0,52279.0,150.0,4617.0,9900.0,64800.0,63470.0,3464098.0,63040.0,516508.0,20.0,117.0,580.0,796.0,26600.0,51671.0,3400.0,717.0,2060.0,1100.0,3180.0,3681.0,5540.0,1008.0,18600.0,43052.0,910.0,849.0,7120.0,22377.0,1460.0,12851.0,1530.0,13073.0,76400.0,630945.0,10230.0,21439.0,9140.0,19627.0,8020.0,14314.0,2600.0,2347.0,810.0,807.0,220.0,321.0,12270.0,16602.0,67190.0,128949.0,62480.0,69645.0,55430.0,464836.0,58330.0,493787.0,770.0,1043.0,1120.0,3364.0,12040.0,53209.0,65490.0,190164.0,63870.0,174263.0,2280.0,15514.0
fulton,0.0,0.0,0.0,6783.0,PA,7360.0,3410.0,3080.0,660.0,6690.0,320.0,4030.0,5000.0,40.0,13450.0,190.0,0.0,190.0,0.0,870.0,2340.0,399378.0,7230.0,403460.0,5650.0,270457.0,2190.0,2392.0,1250.0,4663.0,1160.0,3518.0,50.0,30.0,900.0,10683.0,1070.0,10289.0,900.0,13377.0,1950.0,44964.0,335.0,2050.0,26082.0,1350.0,18470.0,290.0,13026.0,2670.0,4082.0,110.0,29.0,0.0,0.0,110.0,625.0,110.0,544.0,420.0,320.0,1800.0,488.0,6880.0,126673.0,6880.0,123407.0,1620.0,3261.0,250.0,6916.0,33742.0,70.0,1446.0,190.0,1315.0,30.0,19.0,200.0,799.0,20.0,7.0,240.0,1580.0,240.0,1585.0,150.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1766.0,0.0,0.0,780.0,4019.0,5610.0,277603.0,5560.0,39071.0,0.0,0.0,70.0,68.0,2320.0,4216.0,250.0,17.0,90.0,45.0,250.0,283.0,630.0,117.0,1570.0,3632.0,50.0,22.0,750.0,2123.0,170.0,1795.0,180.0,1862.0,6920.0,50585.0,910.0,2032.0,800.0,1828.0,710.0,1259.0,200.0,175.0,90.0,83.0,0.0,0.0,1060.0,1445.0,6370.0,12403.0,5930.0,6668.0,4920.0,34850.0,5240.0,37410.0,40.0,42.0,70.0,174.0,980.0,4251.0,6040.0,17372.0,5900.0,16562.0,210.0,803.0
huntingdon,0.0,0.0,0.0,17154.0,PA,21170.0,10590.0,8290.0,1730.0,19180.0,360.0,13370.0,14360.0,130.0,37560.0,260.0,50.0,210.0,0.0,1880.0,6630.0,1056125.0,19840.0,1067021.0,15370.0,697901.0,6040.0,6847.0,3310.0,13860.0,3070.0,9638.0,130.0,47.0,2360.0,27019.0,2640.0,34815.0,2340.0,33112.0,5380.0,123773.0,527.0,5710.0,67986.0,3840.0,54012.0,820.0,29453.0,7850.0,10896.0,380.0,100.0,40.0,503.0,350.0,2288.0,340.0,1601.0,1510.0,1295.0,5490.0,1487.0,19100.0,347253.0,19100.0,338071.0,4560.0,9179.0,490.0,19938.0,83997.0,170.0,5307.0,370.0,3100.0,100.0,86.0,380.0,1517.0,30.0,5.0,480.0,3035.0,480.0,3071.0,290.0,2608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,8135.0,0.0,0.0,2090.0,11074.0,15110.0,722914.0,15040.0,100586.0,0.0,0.0,160.0,132.0,6190.0,11685.0,580.0,75.0,290.0,140.0,820.0,1000.0,1540.0,300.0,4300.0,9659.0,210.0,123.0,1790.0,4728.0,410.0,3158.0,420.0,3166.0,19960.0,137007.0,2670.0,5572.0,2320.0,5075.0,1910.0,3382.0,730.0,710.0,240.0,246.0,90.0,157.0,3850.0,5677.0,17190.0,33510.0,16220.0,18112.0,13180.0,88857.0,14000.0,94798.0,100.0,102.0,160.0,626.0,2490.0,8343.0,17770.0,50505.0,17480.0,47461.0,480.0,2717.0
somerset,0.0,0.0,0.0,31430.0,PA,36660.0,18220.0,14950.0,2710.0,32520.0,1240.0,20330.0,24210.0,210.0,65070.0,740.0,740.0,0.0,140.0,3410.0,12180.0,1843131.0,34740.0,1866550.0,26480.0,1240640.0,12760.0,15221.0,6590.0,32055.0,6080.0,23576.0,190.0,152.0,4510.0,55398.0,5190.0,80161.0,4710.0,61439.0,8900.0,175792.0,879.0,8920.0,105699.0,6630.0,88873.0,1560.0,46630.0,14530.0,23419.0,610.0,157.0,110.0,2086.0,810.0,5625.0,620.0,3109.0,2470.0,2052.0,10590.0,2893.0,33420.0,612242.0,33420.0,595503.0,8360.0,16739.0,820.0,31644.0,187953.0,260.0,7900.0,630.0,6279.0,150.0,146.0,650.0,3365.0,80.0,51.0,790.0,5390.0,790.0,5499.0,450.0,3862.0,0.0,0.0,0.0,0.0,20.0,22.0,30.0,182.0,650.0,11822.0,50.0,1894.0,3800.0,19064.0,25920.0,1273764.0,25790.0,183244.0,0.0,0.0,430.0,438.0,10300.0,18896.0,1110.0,338.0,730.0,312.0,1350.0,1571.0,2550.0,503.0,6910.0,15481.0,510.0,317.0,3230.0,9571.0,1030.0,8199.0,1060.0,8242.0,33930.0,242707.0,4470.0,9295.0,3890.0,8446.0,3060.0,5294.0,1110.0,1031.0,560.0,546.0,80.0,87.0,6280.0,8606.0,30250.0,58542.0,28560.0,31377.0,22930.0,164142.0,24290.0,176701.0,230.0,301.0,390.0,1541.0,4120.0,19114.0,30220.0,85040.0,29560.0,78637.0,1020.0,6073.0
westmoreland,0.0,0.0,0.0,131949.0,PA,187040.0,94060.0,73820.0,14840.0,168770.0,7550.0,92280.0,125480.0,1910.0,326490.0,3190.0,910.0,2280.0,190.0,18710.0,65180.0,12387377.0,184320.0,12523970.0,142610.0,8248055.0,63310.0,88150.0,42770.0,232157.0,39920.0,179734.0,1290.0,452.0,21700.0,324734.0,34450.0,503732.0,25590.0,440352.0,49180.0,1079486.0,816.0,46280.0,588988.0,38900.0,614477.0,8230.0,483130.0,86020.0,136593.0,4070.0,1078.0,710.0,13888.0,4440.0,32791.0,3230.0,17069.0,16390.0,14378.0,63660.0,16677.0,175010.0,3135893.0,175010.0,3044681.0,45560.0,91213.0,7600.0,271914.0,1716358.0,2010.0,48243.0,6280.0,63180.0,1110.0,1382.0,6640.0,39468.0,820.0,433.0,7480.0,57272.0,7530.0,57605.0,5320.0,52913.0,90.0,560.0,220.0,211.0,540.0,897.0,290.0,4223.0,6160.0,71439.0,590.0,34327.0,23540.0,143816.0,145410.0,9186420.0,144430.0,1469412.0,60.0,560.0,1710.0,1825.0,58200.0,113180.0,9860.0,4202.0,3970.0,1938.0,8120.0,10162.0,10470.0,1945.0,38310.0,88796.0,2900.0,1478.0,16410.0,51093.0,3690.0,21442.0,4030.0,21624.0,176210.0,1765328.0,18800.0,35862.0,16310.0,32455.0,12220.0,20287.0,6730.0,6352.0,2100.0,2303.0,580.0,867.0,28570.0,37224.0,154420.0,286806.0,141500.0,148302.0,132410.0,1356233.0,138040.0,1431716.0,3210.0,4401.0,3910.0,13950.0,27130.0,131295.0,151200.0,464178.0,147490.0,406038.0,5450.0,57145.0
