County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
adams,0.0,5183.0,0.0,3799.0,0.0,WI,9000.0,4090.0,4070.0,780.0,5440.0,16360.0,3780.0,358313.0,6710.0,222619.0,3550.0,3861.0,1800.0,5138.0,1600.0,3679.0,1160.0,7887.0,230.0,1400.0,10103.0,1430.0,18833.0,2760.0,54013.0,1360.0,5997.0,1900.0,20504.0,0.0,0.0,2570.0,191623.0,47731.0,2130.0,9298.0,380.0,291.0,2390.0,9314.0,2560.0,19448.0,1890.0,11593.0,1900.0,4113.0,6330.0,217241.0,80.0,481.0,2110.0,1926.0,130.0,55.0,990.0,1212.0,170.0,53.0,1520.0,2994.0,1320.0,2657.0,860.0,1045.0,5770.0,31063.0,6170.0,32991.0,1410.0,4507.0,6790.0,14337.0
ashland,5051.0,0.0,0.0,0.0,3172.0,WI,7460.0,3670.0,2910.0,820.0,3800.0,13950.0,4070.0,294138.0,6220.0,213132.0,2750.0,2935.0,1370.0,4193.0,1240.0,2948.0,1190.0,10427.0,170.0,970.0,7447.0,790.0,9670.0,1470.0,26921.0,1150.0,4691.0,1030.0,10183.0,30.0,309.0,1550.0,131329.0,28999.0,1350.0,7035.0,140.0,108.0,1410.0,4885.0,1540.0,12645.0,1140.0,6646.0,1060.0,2806.0,5490.0,178284.0,70.0,375.0,2090.0,2152.0,220.0,95.0,1100.0,1332.0,160.0,73.0,1610.0,3184.0,1400.0,2854.0,950.0,1290.0,4850.0,25001.0,5260.0,26952.0,1110.0,3164.0,5950.0,13404.0
barron,9708.0,0.0,17.0,0.0,11621.0,WI,22520.0,10580.0,9790.0,1990.0,13910.0,42220.0,11550.0,1064082.0,18460.0,702521.0,7960.0,12706.0,4200.0,19297.0,3480.0,15178.0,3350.0,28516.0,1250.0,3450.0,43512.0,2740.0,35907.0,4700.0,86907.0,3090.0,13034.0,3310.0,37074.0,80.0,980.0,6040.0,602127.0,125997.0,5230.0,33782.0,710.0,554.0,5520.0,19948.0,6030.0,55920.0,4510.0,27861.0,4510.0,16164.0,16900.0,696225.0,260.0,2292.0,6720.0,7284.0,770.0,371.0,3380.0,4482.0,360.0,138.0,3790.0,7629.0,3200.0,6701.0,2340.0,2938.0,15160.0,106323.0,16390.0,113545.0,3740.0,16040.0,17220.0,37879.0
bayfield,5573.0,0.0,0.0,0.0,4026.0,WI,7780.0,3540.0,3570.0,610.0,3950.0,14300.0,3460.0,364906.0,5970.0,232974.0,3340.0,5358.0,1970.0,9662.0,1750.0,7334.0,1580.0,16418.0,260.0,1490.0,18745.0,1100.0,16354.0,2030.0,46946.0,1230.0,5649.0,1490.0,18120.0,40.0,664.0,2280.0,211899.0,48917.0,1930.0,11589.0,260.0,243.0,2060.0,7818.0,2280.0,20483.0,1600.0,10787.0,1740.0,5128.0,5680.0,236911.0,120.0,708.0,1960.0,2111.0,150.0,72.0,900.0,1144.0,180.0,117.0,1350.0,2546.0,1090.0,2193.0,730.0,929.0,5170.0,36719.0,5690.0,39535.0,1580.0,4018.0,5590.0,13524.0
brown,55730.0,0.0,0.0,0.0,67021.0,WI,124780.0,60820.0,49900.0,13290.0,66700.0,242900.0,78930.0,7454205.0,107010.0,5313595.0,53880.0,81205.0,31750.0,172980.0,29610.0,137722.0,13120.0,163449.0,1040.0,23530.0,336789.0,16000.0,256548.0,21110.0,380846.0,12790.0,59427.0,15160.0,186327.0,770.0,13506.0,43580.0,5253767.0,992343.0,39780.0,301122.0,3020.0,2540.0,40440.0,165834.0,43470.0,486538.0,35160.0,230115.0,35740.0,127071.0,98160.0,5191599.0,2820.0,19342.0,43620.0,49453.0,4780.0,2236.0,21630.0,28935.0,2740.0,652.0,17430.0,36028.0,15250.0,32898.0,13130.0,18781.0,88290.0,935715.0,92150.0,969670.0,19340.0,100440.0,98470.0,233912.0
buffalo,0.0,4290.0,0.0,2252.0,0.0,WI,6630.0,3020.0,3050.0,510.0,5040.0,12830.0,3670.0,301478.0,5450.0,214009.0,2980.0,3935.0,1400.0,3676.0,1260.0,2454.0,1120.0,7613.0,880.0,1320.0,28390.0,800.0,8669.0,1300.0,22164.0,520.0,2168.0,950.0,9877.0,30.0,437.0,1720.0,149949.0,33599.0,1480.0,7814.0,200.0,121.0,1580.0,4944.0,1720.0,13089.0,1220.0,7208.0,1310.0,4134.0,5070.0,197530.0,50.0,420.0,2100.0,2448.0,280.0,143.0,1070.0,1474.0,130.0,109.0,960.0,1831.0,760.0,1546.0,650.0,905.0,4560.0,26666.0,4990.0,29341.0,1310.0,5947.0,4900.0,10746.0
burnett,3587.0,0.0,0.0,0.0,4526.0,WI,7680.0,3460.0,3460.0,700.0,4950.0,14160.0,3470.0,315415.0,5730.0,197109.0,2770.0,4096.0,1600.0,5338.0,1450.0,3866.0,1240.0,8569.0,340.0,1410.0,7240.0,1160.0,16750.0,2240.0,46197.0,870.0,4581.0,1630.0,17711.0,20.0,226.0,2270.0,172408.0,43483.0,1880.0,8712.0,340.0,259.0,2110.0,6777.0,2270.0,16117.0,1680.0,11223.0,1730.0,4797.0,5510.0,190855.0,50.0,296.0,1850.0,1871.0,180.0,86.0,910.0,1158.0,130.0,37.0,1360.0,2737.0,1130.0,2423.0,770.0,990.0,4940.0,27114.0,5400.0,29083.0,1400.0,3321.0,5610.0,12103.0
calumet,10245.0,0.0,0.0,0.0,15354.0,WI,23450.0,10000.0,11650.0,1710.0,13260.0,48680.0,16050.0,1424736.0,20480.0,1089888.0,12060.0,11845.0,6070.0,23214.0,5630.0,17030.0,2610.0,28567.0,640.0,4860.0,57331.0,2970.0,38099.0,4330.0,67654.0,2560.0,10233.0,2790.0,32394.0,140.0,1712.0,9190.0,974371.0,189538.0,8470.0,54811.0,600.0,408.0,8690.0,35305.0,9170.0,92730.0,7600.0,47044.0,7430.0,25868.0,19030.0,966511.0,480.0,3449.0,9100.0,11688.0,1130.0,490.0,4850.0,7244.0,550.0,202.0,2350.0,4425.0,1980.0,3908.0,1760.0,2710.0,17440.0,152562.0,18180.0,159492.0,4090.0,19290.0,18120.0,42418.0
chippewa,5249.0,11053.0,0.0,6094.0,6966.0,WI,29840.0,13700.0,13360.0,2610.0,17580.0,57730.0,16740.0,1452059.0,24930.0,1055625.0,11300.0,13968.0,6170.0,25137.0,5430.0,18004.0,4120.0,47253.0,1340.0,5060.0,54619.0,3460.0,41162.0,5840.0,102393.0,3830.0,15860.0,4170.0,43932.0,130.0,2221.0,8590.0,806084.0,168288.0,7710.0,45683.0,760.0,568.0,7900.0,25959.0,8580.0,74025.0,6540.0,40006.0,6330.0,17491.0,23170.0,944250.0,400.0,2462.0,9680.0,11504.0,1260.0,632.0,5150.0,7159.0,570.0,259.0,4540.0,9157.0,3850.0,8116.0,2930.0,3759.0,20810.0,141210.0,22220.0,150707.0,4850.0,21054.0,23160.0,53558.0
clark,5702.0,0.0,0.0,0.0,7823.0,WI,14760.0,6320.0,7010.0,1360.0,9940.0,32990.0,12210.0,667660.0,11740.0,436187.0,5990.0,9280.0,2410.0,13160.0,2140.0,11269.0,2400.0,24764.0,1830.0,2710.0,43112.0,1690.0,18763.0,2400.0,37342.0,2000.0,7485.0,1720.0,17009.0,90.0,1149.0,3060.0,312554.0,64626.0,2630.0,16487.0,370.0,259.0,2770.0,8511.0,3040.0,25642.0,2100.0,11440.0,2120.0,6502.0,10880.0,423334.0,150.0,1092.0,4630.0,5719.0,490.0,235.0,2690.0,3889.0,320.0,141.0,2300.0,4489.0,1900.0,3846.0,1890.0,3228.0,9260.0,63550.0,10150.0,68797.0,2600.0,13726.0,10680.0,24449.0
columbia,14699.0,0.0,0.0,0.0,13709.0,WI,29210.0,13860.0,12580.0,2530.0,17480.0,55200.0,15710.0,1536520.0,24400.0,1097638.0,11990.0,16134.0,6650.0,25640.0,6120.0,19184.0,4000.0,34579.0,1290.0,5220.0,62016.0,3660.0,46000.0,6200.0,116295.0,3340.0,15037.0,4250.0,50916.0,140.0,2402.0,10900.0,1031637.0,221539.0,9690.0,56114.0,1000.0,796.0,10070.0,41998.0,10880.0,100945.0,8630.0,60698.0,8200.0,22557.0,22990.0,1036115.0,460.0,2940.0,9490.0,11074.0,1160.0,567.0,5000.0,6782.0,680.0,263.0,3620.0,6793.0,3060.0,6017.0,2400.0,3028.0,21020.0,161616.0,22110.0,171026.0,5330.0,24490.0,21940.0,49578.0
crawford,0.0,5203.0,0.0,2158.0,0.0,WI,7710.0,3720.0,3290.0,610.0,5310.0,14340.0,3930.0,307753.0,6240.0,219317.0,3320.0,4825.0,1530.0,4562.0,1390.0,3296.0,1110.0,7585.0,910.0,1340.0,16684.0,990.0,9045.0,1700.0,29885.0,1130.0,3973.0,1110.0,11001.0,30.0,240.0,1650.0,145931.0,31792.0,1430.0,8116.0,200.0,127.0,1460.0,5032.0,1640.0,13513.0,1140.0,6174.0,1190.0,3990.0,5530.0,194179.0,70.0,352.0,2260.0,2582.0,240.0,114.0,1090.0,1453.0,130.0,63.0,1390.0,2737.0,1130.0,2348.0,820.0,1075.0,4880.0,27810.0,5450.0,29734.0,1210.0,3962.0,5920.0,13650.0
dane,204185.0,0.0,6.0,81979.0,0.0,WI,253170.0,134920.0,95280.0,21130.0,111860.0,467070.0,137120.0,17250158.0,217130.0,12218406.0,111990.0,165369.0,71290.0,406898.0,65960.0,307197.0,34840.0,498203.0,2770.0,55740.0,950086.0,28690.0,480147.0,46360.0,1180235.0,17010.0,81012.0,32130.0,464753.0,2550.0,43245.0,105840.0,13170655.0,2589711.0,97110.0,736742.0,6670.0,5960.0,96590.0,556171.0,105580.0,1325988.0,82660.0,626559.0,86120.0,308202.0,207730.0,12394505.0,9520.0,66229.0,88240.0,103505.0,12520.0,6069.0,37450.0,48738.0,5290.0,1973.0,26590.0,48209.0,22540.0,42693.0,19490.0,28081.0,191090.0,2258700.0,199060.0,2344918.0,50060.0,271194.0,188770.0,434265.0
dodge,15206.0,0.0,0.0,0.0,26924.0,WI,42000.0,19950.0,18110.0,3680.0,25490.0,80120.0,23110.0,2190285.0,35370.0,1545713.0,16310.0,20676.0,9740.0,33543.0,8890.0,25453.0,4640.0,46573.0,1620.0,7380.0,89082.0,5560.0,62179.0,9360.0,153268.0,5410.0,23302.0,5770.0,63760.0,210.0,2422.0,14350.0,1367426.0,277681.0,12730.0,72018.0,1410.0,1167.0,13270.0,48770.0,14320.0,124236.0,11190.0,70906.0,11120.0,34631.0,33300.0,1467694.0,430.0,2706.0,13920.0,15659.0,1510.0,692.0,7330.0,10106.0,940.0,257.0,5140.0,9965.0,4260.0,8848.0,3680.0,5178.0,30250.0,232748.0,31780.0,245282.0,7160.0,26849.0,32100.0,70419.0
door,8544.0,0.0,0.0,0.0,8636.0,WI,15500.0,7290.0,7140.0,990.0,9420.0,27750.0,6410.0,865043.0,11830.0,456680.0,7660.0,12832.0,5070.0,34981.0,4700.0,26467.0,2780.0,31475.0,530.0,4090.0,102798.0,2960.0,51409.0,3840.0,86842.0,2450.0,10522.0,3280.0,44131.0,90.0,1265.0,5290.0,591567.0,127033.0,4400.0,27452.0,800.0,654.0,4950.0,21267.0,5290.0,51430.0,3790.0,27025.0,4490.0,21602.0,11690.0,598441.0,310.0,2194.0,4600.0,4919.682,400.0,168.0,1800.0,2364.0,330.0,118.0,1930.0,3398.0,1540.0,2871.0,1150.0,1503.0,10650.0,96671.0,11450.0,102523.0,3160.0,17500.0,10780.0,23833.0
douglas,13381.0,0.0,1.0,0.0,8936.0,WI,20450.0,9950.0,8240.0,2140.0,9650.0,37930.0,10490.0,991661.0,17130.0,703876.0,7630.0,9512.0,3860.0,12778.0,3480.0,7991.0,2270.0,20415.0,210.0,2680.0,38379.0,2040.0,24591.0,4620.0,99824.0,2150.0,11200.0,3000.0,32784.0,60.0,970.0,5860.0,553354.0,114227.0,5290.0,30637.0,460.0,400.0,5450.0,19233.0,5840.0,51543.0,4560.0,27880.0,4290.0,10912.0,16000.0,647184.0,240.0,1324.0,6100.0,7048.0,820.0,369.0,3220.0,4164.0,430.0,172.0,3590.0,7094.0,3120.0,6451.0,2130.0,2605.0,14490.0,99689.0,15200.0,103768.0,3080.0,9007.0,16450.0,37472.0
dunn,0.0,12673.0,0.0,7913.0,0.0,WI,18480.0,8610.0,8220.0,1490.0,10480.0,35720.0,10390.0,902295.0,15580.0,644193.0,7010.0,9402.0,3780.0,11819.0,3370.0,7612.0,2780.0,23444.0,1250.0,3170.0,35500.0,1970.0,19949.0,3630.0,74498.0,2150.0,9239.0,2500.0,29272.0,110.0,1741.0,5730.0,542612.0,113269.0,5080.0,28650.0,550.0,502.0,5300.0,20498.0,5720.0,50976.0,4520.0,27813.0,4330.0,13268.0,14250.0,597430.0,230.0,1477.0,6060.0,7154.0,710.0,371.0,3110.0,4287.0,360.0,189.0,2860.0,5643.0,2420.0,4954.0,1820.0,2471.0,12710.0,89842.0,13650.0,96433.0,3320.0,15084.0,14050.0,30807.0
eau claire,0.0,33641.0,0.0,17720.0,0.0,WI,46880.0,24100.0,18540.0,3920.0,23360.0,86180.0,24550.0,2578069.0,39670.0,1782404.0,17680.0,25241.0,9800.0,50194.0,8950.0,37236.0,5920.0,77566.0,1000.0,7820.0,111231.0,5280.0,67951.0,9020.0,176551.0,4530.0,19802.0,6080.0,72141.0,250.0,4148.0,14680.0,1711901.0,317538.0,13190.0,96432.0,1160.0,967.0,13540.0,52541.0,14640.0,154038.0,11310.0,69848.0,11770.0,41726.0,36400.0,1778078.0,1040.0,7576.0,15140.0,17572.0,2170.0,1029.0,7140.0,9544.0,830.0,455.0,6940.0,12791.0,5940.0,11485.0,4070.0,5195.0,32960.0,316910.0,34770.0,330192.0,7740.0,36013.0,36490.0,78652.0
florence,868.0,0.0,0.0,0.0,1506.0,WI,2210.0,960.0,1080.0,140.0,1470.0,4020.0,900.0,97716.0,1730.0,66975.0,980.0,994.0,460.0,2188.0,450.0,1564.0,330.0,1971.0,60.0,390.0,1759.0,330.0,4691.0,570.0,10746.0,270.0,1276.0,400.0,4216.0,0.0,0.0,580.0,51781.0,11409.0,520.0,2839.0,70.0,57.0,540.0,2017.0,580.0,5071.0,430.0,2615.0,440.0,1267.0,1610.0,61622.0,40.0,202.0,600.0,564.0,50.0,18.0,270.0,334.0,70.0,12.0,360.0,566.0,280.0,488.0,180.0,200.0,1480.0,9182.0,1590.0,9697.0,400.0,1027.0,1640.0,3670.0
fond du lac,16050.0,0.0,0.0,0.0,33412.0,WI,49900.0,23680.0,21630.0,4290.0,27840.0,95770.0,28530.0,2653613.0,42120.0,1901229.0,20530.0,28176.0,11430.0,47737.0,10510.0,38029.0,5150.0,57780.0,1310.0,8850.0,84107.0,6710.0,77533.0,11000.0,192122.0,5870.0,23310.0,7190.0,83771.0,250.0,3598.0,16650.0,1669589.0,333581.0,14930.0,90631.0,1490.0,1075.0,15400.0,59862.0,16630.0,156014.0,12780.0,76967.0,13190.0,42033.0,39220.0,1781139.0,730.0,5177.0,16700.0,18884.0,1930.0,851.0,8450.0,11569.0,1070.0,342.0,6140.0,12155.0,5250.0,10892.0,4550.0,6931.0,35590.0,289005.0,37330.0,303132.0,7920.0,32812.0,38760.0,86759.0
forest,1951.0,0.0,0.0,0.0,2327.0,WI,4220.0,1820.0,1820.0,540.0,3080.0,8180.0,2400.0,190216.0,3060.0,95891.0,1800.0,1517.0,630.0,2024.0,570.0,1232.0,780.0,5430.0,100.0,570.0,5072.0,500.0,5398.0,950.0,18399.0,610.0,2706.0,690.0,6993.0,0.0,0.0,880.0,77845.0,16105.0,730.0,3794.0,130.0,87.0,750.0,2496.0,880.0,6717.0,580.0,3381.0,540.0,1143.0,3020.0,124298.0,70.0,258.0,1150.0,1165.0,40.0,17.0,610.0,830.0,110.0,20.0,830.0,1690.0,690.0,1433.0,460.0,566.0,2720.0,19561.0,3040.0,20713.0,560.0,1454.0,3330.0,8644.0
