County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,0.0,4184.0,0.0,3731.0,0.0,WI,8930.0,4110.0,4000.0,760.0,5330.0,16080.0,3680.0,390.0,0.0,390.0,375348.0,8900.0,380165.0,6490.0,232163.0,3280.0,2935.0,1790.0,5637.0,1600.0,4127.0,1570.0,1532.0,1110.0,7888.0,1500.0,13282.0,1510.0,22085.0,2770.0,57237.0,230.0,920.0,3293.0,2080.0,24335.0,380.0,11475.0,1580.0,4817.0,130.0,34.0,0.0,0.0,230.0,1176.0,150.0,683.0,430.0,409.0,30.0,77.0,40.0,295.0,2260.0,42931.0,183428.0,1850.0,8875.0,340.0,269.0,2080.0,8083.0,2250.0,17731.0,1630.0,8803.0,1640.0,3829.0,6320.0,233942.0,6260.0,35794.0,80.0,407.0,200.0,187.0,2110.0,1893.0,350.0,36.0,130.0,59.0,320.0,355.0,590.0,110.0,950.0,1192.0,220.0,63.0,800.0,1856.0,290.0,1050.0,330.0,1222.0,520.0,88.0,8050.0,46562.0,1460.0,2931.0,1230.0,2566.0,820.0,1024.0,300.0,279.0,110.0,49.0,5780.0,33775.0,6240.0,36218.0,30.0,23.0,60.0,120.0,1590.0,4919.0,6540.0,14492.0
ashland,4143.0,0.0,86.0,0.0,2287.0,WI,7410.0,3680.0,2870.0,800.0,3650.0,13700.0,3970.0,240.0,180.0,60.0,306663.0,7380.0,311747.0,6150.0,219531.0,2490.0,2269.0,1270.0,5203.0,1150.0,3263.0,970.0,1012.0,1150.0,10822.0,1040.0,9768.0,830.0,10165.0,1530.0,29531.0,150.0,820.0,2645.0,1100.0,11948.0,330.0,8633.0,1900.0,5084.0,140.0,38.0,0.0,0.0,180.0,1050.0,170.0,669.0,660.0,617.0,70.0,145.0,30.0,140.0,1390.0,27195.0,127420.0,1240.0,6440.0,130.0,105.0,1270.0,4405.0,1390.0,11417.0,980.0,5202.0,950.0,3158.0,5430.0,188977.0,5390.0,28977.0,70.0,309.0,210.0,190.0,2070.0,2134.0,260.0,34.0,230.0,103.0,360.0,363.0,570.0,112.0,1040.0,1328.0,160.0,58.0,900.0,1978.0,420.0,1931.0,450.0,2057.0,390.0,70.0,7020.0,39937.0,1570.0,3299.0,1310.0,2907.0,920.0,1312.0,300.0,263.0,180.0,125.0,4860.0,26763.0,5320.0,29183.0,30.0,37.0,50.0,141.0,1250.0,3259.0,5780.0,13505.0
barron,6504.0,0.0,245.0,0.0,9773.0,WI,22710.0,10840.0,9680.0,2040.0,14150.0,42180.0,11410.0,560.0,30.0,540.0,1114425.0,22680.0,1134761.0,18500.0,746725.0,7270.0,10448.0,4050.0,15666.0,3440.0,11414.0,3770.0,4189.0,3310.0,33626.0,3640.0,63419.0,2890.0,36953.0,4780.0,93047.0,1170.0,1940.0,6801.0,3670.0,42957.0,1120.0,42186.0,5820.0,20336.0,470.0,117.0,70.0,877.0,810.0,4583.0,540.0,2515.0,1900.0,1662.0,190.0,376.0,350.0,2687.0,5460.0,112043.0,581755.0,4720.0,29786.0,650.0,467.0,4940.0,18537.0,5430.0,50235.0,3980.0,22196.0,4030.0,17181.0,17300.0,746399.0,17120.0,126936.0,250.0,1859.0,580.0,597.0,6850.0,7285.0,840.0,172.0,740.0,376.0,1210.0,1301.0,2200.0,415.0,3380.0,4498.0,380.0,125.0,2770.0,7098.0,920.0,4135.0,990.0,4598.0,1250.0,235.0,21020.0,159034.0,3740.0,7838.0,3120.0,6796.0,2280.0,2940.0,1030.0,945.0,370.0,256.0,15570.0,120773.0,16950.0,129645.0,110.0,135.0,180.0,612.0,4200.0,14368.0,16990.0,39557.0
bayfield,4775.0,0.0,107.0,0.0,3081.0,WI,7690.0,3460.0,3580.0,560.0,3830.0,14020.0,3260.0,350.0,310.0,60.0,406032.0,7660.0,413961.0,5830.0,235400.0,2960.0,4249.0,1870.0,10030.0,1720.0,7435.0,1340.0,1582.0,1560.0,16967.0,1620.0,18115.0,1240.0,19414.0,2050.0,49668.0,280.0,890.0,3487.0,1680.0,21948.0,540.0,18670.0,2240.0,7929.0,180.0,49.0,40.0,527.0,350.0,1864.0,240.0,1098.0,620.0,589.0,70.0,151.0,40.0,268.0,2000.0,42873.0,224054.0,1710.0,10826.0,220.0,195.0,1830.0,7204.0,2000.0,18856.0,1390.0,8443.0,1550.0,5291.0,5650.0,274629.0,5620.0,47558.0,120.0,688.0,250.0,266.0,2020.0,2109.0,460.0,107.0,170.0,75.0,350.0,390.0,430.0,100.0,850.0,1122.0,210.0,119.0,1250.0,2942.0,450.0,2264.0,480.0,2532.0,350.0,73.0,7120.0,58856.0,1310.0,2460.0,1030.0,2069.0,680.0,878.0,300.0,267.0,200.0,109.0,5210.0,46027.0,5720.0,49663.0,50.0,112.0,90.0,309.0,1740.0,5414.0,5390.0,12724.0
brown,35823.0,0.0,0.0,0.0,61409.0,WI,127710.0,62880.0,50430.0,13560.0,67680.0,245150.0,78030.0,2380.0,770.0,1610.0,7904450.0,127420.0,8049183.0,109390.0,5561399.0,47120.0,63815.0,31360.0,175731.0,29730.0,134637.0,30240.0,41703.0,13550.0,187561.0,25660.0,329213.0,16510.0,275453.0,22240.0,413190.0,1010.0,8300.0,26923.0,16920.0,224525.0,6890.0,735404.0,31540.0,144733.0,3210.0,799.0,770.0,15198.0,3370.0,23428.0,2400.0,10221.0,13900.0,14325.0,1450.0,3140.0,1140.0,37685.0,40030.0,896801.0,5166695.0,36870.0,282704.0,2560.0,2117.0,37010.0,154604.0,39930.0,455419.0,31720.0,187107.0,33040.0,120546.0,101530.0,5596426.0,100560.0,1093450.0,2650.0,14279.0,1900.0,1496.0,44980.0,49925.0,8750.0,2716.0,4920.0,2418.0,9380.0,10426.0,9590.0,1691.0,21450.0,28539.0,3060.0,827.0,10950.0,36189.0,3090.0,8942.0,3400.0,10201.0,5130.0,937.0,121480.0,1262346.0,18220.0,39839.0,15780.0,36146.0,13070.0,18660.0,7800.0,7350.0,1400.0,670.0,91840.0,1046232.0,96720.0,1101126.0,1800.0,4199.0,2300.0,11000.0,22980.0,110258.0,98210.0,247844.0
buffalo,0.0,2988.0,0.0,2439.0,0.0,WI,6700.0,3080.0,3060.0,510.0,5110.0,12780.0,3570.0,40.0,40.0,0.0,304382.0,6690.0,310871.0,5480.0,225728.0,2700.0,2945.0,1400.0,4348.0,1310.0,2962.0,1110.0,1170.0,1110.0,7462.0,1470.0,20875.0,870.0,10416.0,1390.0,24735.0,840.0,420.0,1585.0,1030.0,12021.0,470.0,9098.0,1800.0,6489.0,140.0,37.0,30.0,449.0,240.0,1221.0,170.0,872.0,590.0,545.0,60.0,116.0,150.0,1029.0,1520.0,27717.0,134234.0,1300.0,6864.0,190.0,146.0,1380.0,4505.0,1520.0,11677.0,1060.0,5852.0,1150.0,3208.0,5100.0,201881.0,5030.0,30104.0,50.0,302.0,170.0,151.0,2100.0,2459.0,270.0,26.0,270.0,136.0,430.0,491.0,620.0,126.0,1060.0,1411.0,120.0,60.0,940.0,2474.0,320.0,1840.0,340.0,1948.0,300.0,51.0,6160.0,38434.0,960.0,1936.0,750.0,1636.0,650.0,908.0,390.0,348.0,140.0,112.0,4560.0,27521.0,5020.0,30442.0,0.0,0.0,40.0,146.0,1400.0,4637.0,4840.0,11743.0
burnett,2573.0,0.0,91.0,0.0,3778.0,WI,7680.0,3460.0,3480.0,660.0,4930.0,14010.0,3360.0,340.0,0.0,340.0,337024.0,7650.0,342733.0,5650.0,206151.0,2480.0,3317.0,1610.0,6264.0,1480.0,4639.0,1330.0,1331.0,1200.0,10749.0,1430.0,12201.0,1250.0,18307.0,2300.0,49846.0,320.0,700.0,2990.0,1760.0,21515.0,430.0,10751.0,1770.0,5709.0,140.0,38.0,20.0,175.0,300.0,1677.0,170.0,830.0,490.0,479.0,30.0,58.0,60.0,278.0,2050.0,40385.0,171664.0,1670.0,8162.0,350.0,318.0,1910.0,6423.0,2050.0,15308.0,1470.0,9012.0,1620.0,4888.0,5550.0,212140.0,5490.0,32991.0,60.0,291.0,200.0,146.0,1870.0,1824.0,330.0,30.0,170.0,78.0,320.0,367.0,400.0,85.0,870.0,1105.0,200.0,68.0,940.0,2068.0,350.0,1897.0,370.0,1997.0,400.0,77.0,6960.0,41079.0,1350.0,2792.0,1120.0,2437.0,730.0,956.0,290.0,283.0,140.0,86.0,5070.0,31146.0,5570.0,33765.0,20.0,32.0,40.0,98.0,1640.0,5005.0,5410.0,11683.0
calumet,7040.0,0.0,0.0,0.0,14183.0,WI,23970.0,10370.0,11730.0,1720.0,13390.0,48790.0,15650.0,290.0,190.0,110.0,1553394.0,23930.0,1578779.0,20840.0,1171974.0,11270.0,10937.0,6240.0,25539.0,5840.0,18484.0,6630.0,8149.0,2640.0,34601.0,5450.0,74759.0,3080.0,44113.0,4490.0,74280.0,630.0,1490.0,4599.0,3150.0,39565.0,1470.0,78115.0,6200.0,25385.0,730.0,187.0,140.0,2053.0,740.0,4682.0,570.0,2775.0,2430.0,2397.0,330.0,675.0,370.0,5110.0,8600.0,182991.0,1004890.0,7980.0,53962.0,530.0,392.0,8150.0,34160.0,8590.0,90472.0,6940.0,38496.0,6980.0,26730.0,19760.0,1079216.0,19580.0,186227.0,460.0,2338.0,280.0,204.0,9310.0,11075.0,1900.0,319.0,1170.0,521.0,1940.0,2402.0,1720.0,326.0,4780.0,7006.0,630.0,193.0,2300.0,7051.0,430.0,1388.0,470.0,1569.0,710.0,137.0,22730.0,213226.0,2240.0,4435.0,1860.0,3889.0,1640.0,2410.0,1570.0,1554.0,190.0,100.0,18300.0,175265.0,19110.0,185071.0,270.0,426.0,360.0,1514.0,4840.0,18955.0,17930.0,43043.0
chippewa,3277.0,8045.0,146.0,6151.0,6483.0,WI,30320.0,14090.0,13440.0,2620.0,17640.0,58200.0,16710.0,800.0,210.0,590.0,1575315.0,30250.0,1603279.0,25080.0,1123106.0,11390.0,12570.0,6230.0,25365.0,5630.0,17648.0,5770.0,6607.0,4250.0,48464.0,5820.0,91339.0,3630.0,45548.0,6140.0,114933.0,1310.0,2740.0,9946.0,4620.0,54431.0,1650.0,71355.0,7870.0,27964.0,590.0,150.0,150.0,2139.0,920.0,5512.0,760.0,3602.0,3000.0,2906.0,260.0,559.0,370.0,4277.0,7880.0,154210.0,817321.0,7040.0,42830.0,700.0,518.0,7200.0,24938.0,7870.0,69940.0,5880.0,33109.0,5850.0,18151.0,23810.0,1061220.0,23620.0,174425.0,390.0,1815.0,810.0,850.0,9960.0,11699.0,1580.0,140.0,1290.0,701.0,1880.0,2034.0,2320.0,457.0,5150.0,7216.0,670.0,263.0,3350.0,9598.0,1270.0,5649.0,1370.0,6326.0,1550.0,312.0,28300.0,207451.0,4500.0,9478.0,3740.0,8274.0,2820.0,3755.0,1560.0,1412.0,530.0,328.0,21650.0,162844.0,23220.0,174985.0,190.0,261.0,310.0,989.0,5630.0,25226.0,22900.0,54229.0
clark,3480.0,0.0,190.0,0.0,7469.0,WI,14830.0,6540.0,6920.0,1300.0,10200.0,32680.0,11910.0,140.0,30.0,110.0,719132.0,14790.0,739155.0,11720.0,455618.0,5170.0,7720.0,2400.0,12139.0,2150.0,8915.0,1880.0,2473.0,2400.0,28159.0,2940.0,41562.0,1720.0,18503.0,2390.0,41026.0,1810.0,1290.0,4258.0,1860.0,19891.0,950.0,68810.0,3680.0,20023.0,240.0,59.0,80.0,1076.0,560.0,2773.0,460.0,2258.0,950.0,796.0,110.0,274.0,370.0,6152.0,2800.0,59452.0,318190.0,2400.0,15238.0,350.0,272.0,2470.0,7949.0,2770.0,27158.0,1780.0,8780.0,1930.0,7408.0,11170.0,472358.0,11010.0,84506.0,140.0,676.0,510.0,589.0,4740.0,6641.0,490.0,54.0,490.0,243.0,720.0,779.0,1170.0,266.0,2780.0,4099.0,350.0,220.0,1900.0,5316.0,830.0,4314.0,890.0,4805.0,780.0,164.0,13210.0,106209.0,2190.0,4429.0,1740.0,3735.0,1750.0,2921.0,590.0,533.0,320.0,274.0,9580.0,77088.0,10550.0,83404.0,50.0,55.0,110.0,447.0,2920.0,10454.0,10420.0,28787.0
