County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,0.0,4184.0,0.0,3731.0,0.0,WI,,,,,,,,390.0,0.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,187.0,,,,,,,,,,,,,,,,,290.0,1050.0,330.0,1222.0,520.0,88.0,,,,,,,,,,,110.0,49.0,,,,,30.0,23.0,,,,,,
ashland,4143.0,0.0,86.0,0.0,2287.0,WI,-1610.0,-450.0,-1190.0,50.0,-1740.0,-2570.0,290.0,240.0,180.0,60.0,-49803.0,-1620.0,-49713.0,-510.0,-7408.0,-900.0,-1210.0,-520.0,-230.0,-470.0,-436.0,-610.0,-390.0,10.0,2416.0,-450.0,1299.0,-650.0,-9623.0,-1250.0,-25980.0,-90.0,-330.0,-2458.0,-870.0,-10040.0,-50.0,-118.0,240.0,89.0,0.0,0.0,0.0,0.0,-70.0,-331.0,30.0,67.0,240.0,236.0,20.0,56.0,-20.0,-186.0,-1040.0,-18804.0,-57537.0,-820.0,-2970.0,-210.0,-182.0,-980.0,-4434.0,-1040.0,-7666.0,-790.0,-4570.0,-830.0,-940.0,-850.0,-31085.0,-810.0,-4560.0,0.0,-105.0,210.0,190.0,0.0,282.0,-60.0,5.0,100.0,44.0,40.0,38.0,30.0,3.0,110.0,166.0,-80.0,-5.0,50.0,157.0,420.0,1931.0,450.0,2057.0,390.0,70.0,-1110.0,-4588.0,0.0,155.0,-30.0,124.0,80.0,254.0,-10.0,-3.0,180.0,125.0,-890.0,-4921.0,-860.0,-4698.0,30.0,37.0,0.0,83.0,-180.0,-1150.0,-990.0,-1056.0
barron,6504.0,0.0,245.0,0.0,9773.0,WI,15220.0,7150.0,6760.0,1220.0,10530.0,28120.0,7270.0,560.0,30.0,540.0,813875.0,15220.0,829372.0,12270.0,529852.0,4820.0,7954.0,2760.0,11094.0,2270.0,8569.0,2770.0,3246.0,2120.0,22550.0,2620.0,55294.0,2080.0,27294.0,3310.0,65679.0,1000.0,950.0,2517.0,2620.0,32236.0,780.0,34486.0,3950.0,15498.0,320.0,82.0,70.0,877.0,620.0,3498.0,390.0,1983.0,1240.0,1095.0,140.0,289.0,330.0,2550.0,3990.0,84224.0,451550.0,3420.0,22550.0,520.0,355.0,3600.0,13749.0,3960.0,37613.0,2900.0,16369.0,3020.0,14618.0,11860.0,563653.0,11720.0,98689.0,180.0,1537.0,580.0,597.0,4770.0,5161.0,590.0,143.0,540.0,283.0,830.0,875.0,1690.0,312.0,2320.0,3179.0,190.0,53.0,1840.0,5112.0,920.0,4135.0,990.0,4598.0,1250.0,235.0,13940.0,119479.0,2100.0,4471.0,1720.0,3807.0,1320.0,1627.0,700.0,641.0,370.0,256.0,10720.0,94690.0,11690.0,101193.0,110.0,135.0,140.0,436.0,3070.0,11265.0,11020.0,25917.0
bayfield,4775.0,0.0,107.0,0.0,3081.0,WI,-14770.0,-7140.0,-6110.0,-1460.0,-9980.0,-28070.0,-8270.0,350.0,310.0,60.0,-622954.0,-14760.0,-635159.0,-12460.0,-479362.0,-4470.0,-6951.0,-2230.0,-3779.0,-1750.0,-2296.0,-2470.0,-2043.0,-1730.0,-12979.0,-2020.0,-17660.0,-1640.0,-15960.0,-2640.0,-37672.0,-900.0,-1680.0,-7204.0,-1770.0,-17679.0,-530.0,-38110.0,-3460.0,-12205.0,-290.0,-75.0,-50.0,-443.0,-460.0,-3009.0,-290.0,-1309.0,-1140.0,-921.0,-150.0,-243.0,-390.0,-3341.0,-3670.0,-74535.0,-314329.0,-3220.0,-22168.0,-410.0,-250.0,-3300.0,-11569.0,-3640.0,-34704.0,-2750.0,-15095.0,-2690.0,-10077.0,-11260.0,-389074.0,-11080.0,-61360.0,-130.0,-1013.0,250.0,266.0,-4800.0,-4970.0,-340.0,-1.0,-570.0,-288.0,-910.0,-997.0,-1630.0,-291.0,-2490.0,-3267.0,-270.0,-7.0,-1460.0,-3942.0,450.0,2264.0,480.0,2532.0,350.0,73.0,-13580.0,-84663.0,-2430.0,-5411.0,-2150.0,-4829.0,-1670.0,-2160.0,-790.0,-738.0,200.0,109.0,-9930.0,-56135.0,-10610.0,-60784.0,50.0,112.0,-70.0,-91.0,-2120.0,-7065.0,-11640.0,-26767.0
brown,35823.0,0.0,0.0,0.0,61409.0,WI,120010.0,59390.0,46850.0,12990.0,63880.0,231110.0,74740.0,2380.0,770.0,1610.0,7534421.0,119740.0,7671647.0,103450.0,5329335.0,44140.0,59045.0,29470.0,167699.0,28030.0,128911.0,28860.0,40184.0,12010.0,174544.0,24080.0,310665.0,15360.0,257601.0,20220.0,365616.0,730.0,7210.0,21785.0,15350.0,204750.0,6370.0,722492.0,29270.0,137228.0,3050.0,756.0,730.0,14712.0,3000.0,21591.0,2180.0,9240.0,13260.0,13755.0,1360.0,2966.0,1110.0,37409.0,37910.0,851756.0,4959946.0,35030.0,271532.0,2340.0,1948.0,35040.0,146891.0,37810.0,435339.0,30180.0,177720.0,31420.0,115527.0,95900.0,5354159.0,95030.0,1052877.0,2550.0,13705.0,1900.0,1496.0,42980.0,47842.0,8330.0,2655.0,4750.0,2344.0,8990.0,9991.0,9200.0,1600.0,20580.0,27416.0,2840.0,743.0,9730.0,33520.0,3090.0,8942.0,3400.0,10201.0,5130.0,937.0,114360.0,1211244.0,16900.0,37373.0,14710.0,34044.0,12400.0,17784.0,7470.0,7035.0,1400.0,670.0,86760.0,1007745.0,91110.0,1059318.0,1800.0,4199.0,2230.0,10678.0,21350.0,105625.0,92730.0,235155.0
buffalo,0.0,2988.0,0.0,2439.0,0.0,WI,-119300.0,-58450.0,-47050.0,-13010.0,-61170.0,-230960.0,-74970.0,40.0,40.0,0.0,-7167912.0,-119060.0,-7297061.0,-102530.0,-5157362.0,-45740.0,-66357.0,-30170.0,-146361.0,-28330.0,-111071.0,-29550.0,-31463.0,-12150.0,-170774.0,-23920.0,-212866.0,-15130.0,-236999.0,-20300.0,-367282.0,-210.0,-10630.0,-45477.0,-15060.0,-191184.0,-6340.0,-670565.0,-28700.0,-129146.0,-3130.0,-768.0,-770.0,-14558.0,-3020.0,-21200.0,-2140.0,-8756.0,-12540.0,-12393.0,-1610.0,-3385.0,-910.0,-32183.0,-40270.0,-913967.0,-4925858.0,-37120.0,-307850.0,-2520.0,-2070.0,-37350.0,-156895.0,-40180.0,-483181.0,-32330.0,-194322.0,-33270.0,-118504.0,-94110.0,-4980447.0,-92960.0,-979189.0,-2590.0,-14621.0,170.0,151.0,-42630.0,-47150.0,-8130.0,-2023.0,-4520.0,-2160.0,-9230.0,-10223.0,-8310.0,-1460.0,-20330.0,-26911.0,-3680.0,-901.0,-9710.0,-31703.0,320.0,1840.0,340.0,1948.0,300.0,51.0,-113350.0,-1144884.0,-17130.0,-36600.0,-15030.0,-33389.0,-12740.0,-18352.0,-7780.0,-7369.0,140.0,112.0,-84500.0,-933902.0,-88010.0,-980540.0,0.0,0.0,-1960.0,-7983.0,-19080.0,-92195.0,-93840.0,-234026.0
burnett,2573.0,0.0,91.0,0.0,3778.0,WI,1060.0,420.0,460.0,110.0,-100.0,1330.0,-220.0,340.0,0.0,340.0,51934.0,1030.0,50995.0,240.0,-9316.0,-300.0,-226.0,200.0,2364.0,220.0,2054.0,190.0,268.0,110.0,3609.0,30.0,-4648.0,420.0,9308.0,940.0,27111.0,-510.0,220.0,654.0,780.0,10988.0,-40.0,4466.0,-140.0,-938.0,-20.0,-1.0,-10.0,-190.0,20.0,167.0,-10.0,3.0,-110.0,-18.0,-30.0,-30.0,-190.0,-1158.0,450.0,11596.0,40350.0,280.0,552.0,170.0,204.0,460.0,1841.0,450.0,2791.0,380.0,3002.0,380.0,1768.0,560.0,26857.0,600.0,5941.0,10.0,-73.0,200.0,146.0,-250.0,-634.0,90.0,10.0,-120.0,-63.0,-130.0,-144.0,-190.0,-46.0,-170.0,-322.0,20.0,-65.0,-50.0,-385.0,350.0,1897.0,370.0,1997.0,400.0,77.0,900.0,5758.0,390.0,828.0,340.0,775.0,70.0,3.0,-110.0,-77.0,140.0,86.0,660.0,6572.0,720.0,6382.0,20.0,32.0,10.0,-29.0,410.0,1025.0,510.0,497.0
calumet,7040.0,0.0,0.0,0.0,14183.0,WI,16270.0,6930.0,8230.0,1030.0,8450.0,34700.0,12230.0,290.0,190.0,110.0,1230241.0,16250.0,1249872.0,15110.0,973854.0,8710.0,7303.0,4640.0,20133.0,4380.0,14537.0,5280.0,6893.0,1400.0,24909.0,3990.0,65016.0,1870.0,26493.0,2250.0,26057.0,290.0,740.0,1053.0,1470.0,20028.0,1060.0,68013.0,4410.0,19632.0,580.0,148.0,120.0,1887.0,440.0,3075.0,390.0,1879.0,1930.0,1979.0,290.0,585.0,310.0,4860.0,6470.0,141379.0,838420.0,6200.0,45517.0,230.0,137.0,6140.0,27471.0,6460.0,74736.0,5360.0,28599.0,5300.0,21943.0,14230.0,880923.0,14160.0,156307.0,400.0,2109.0,280.0,204.0,7430.0,9202.0,1620.0,300.0,1010.0,438.0,1570.0,1985.0,1310.0,241.0,3910.0,5886.0,430.0,140.0,1350.0,5033.0,430.0,1388.0,470.0,1569.0,710.0,137.0,15730.0,173318.0,850.0,1614.0,700.0,1421.0,880.0,1444.0,1220.0,1241.0,190.0,100.0,13340.0,147234.0,13670.0,154448.0,270.0,426.0,320.0,1423.0,3350.0,15295.0,12380.0,31104.0
chippewa,3277.0,8045.0,146.0,6151.0,6483.0,WI,6630.0,3910.0,1760.0,910.0,4440.0,9700.0,1050.0,800.0,210.0,590.0,118811.0,6590.0,122532.0,4470.0,-2212.0,-290.0,1167.0,10.0,3723.0,-100.0,2610.0,-960.0,6.0,1640.0,18800.0,470.0,43689.0,600.0,5910.0,1810.0,46530.0,660.0,590.0,1807.0,1630.0,18316.0,220.0,-637.0,1780.0,3720.0,-140.0,-33.0,0.0,158.0,200.0,948.0,200.0,911.0,670.0,751.0,-90.0,-125.0,30.0,-442.0,-1040.0,-33577.0,-153086.0,-1230.0,-15549.0,160.0,140.0,-1230.0,-10527.0,-1040.0,-26406.0,-1380.0,-7977.0,-1460.0,-6117.0,4510.0,71950.0,4570.0,4265.0,-60.0,-818.0,810.0,850.0,660.0,306.0,-190.0,-269.0,180.0,221.0,-250.0,-561.0,760.0,156.0,410.0,180.0,-150.0,46.0,1050.0,2628.0,1270.0,5649.0,1370.0,6326.0,1550.0,312.0,5870.0,8328.0,2260.0,5132.0,1870.0,4455.0,1170.0,1227.0,-150.0,-271.0,530.0,328.0,3860.0,4019.0,4720.0,6899.0,190.0,261.0,-20.0,-251.0,1270.0,9378.0,4810.0,11360.0
clark,3480.0,0.0,190.0,0.0,7469.0,WI,-15370.0,-7460.0,-6450.0,-1340.0,-7340.0,-25250.0,-4760.0,140.0,30.0,110.0,-763838.0,-15360.0,-770776.0,-13360.0,-624351.0,-5820.0,-5795.0,-3840.0,-8319.0,-3390.0,-4479.0,-4040.0,-3377.0,-1760.0,-18815.0,-2610.0,-5976.0,-1790.0,-22033.0,-3600.0,-66047.0,510.0,-2210.0,-11080.0,-2500.0,-29085.0,-630.0,7416.0,-4130.0,-6936.0,-360.0,-88.0,-80.0,-1304.0,-360.0,-3022.0,-260.0,-1197.0,-2000.0,-1864.0,-160.0,-267.0,0.0,2485.0,-5480.0,-104083.0,-473841.0,-5040.0,-30988.0,-370.0,-276.0,-5130.0,-18052.0,-5490.0,-47327.0,-4410.0,-26249.0,-4190.0,-10201.0,-12210.0,-497548.0,-12060.0,-71156.0,-260.0,-1750.0,510.0,589.0,-5190.0,-4952.0,-910.0,-69.0,-810.0,-433.0,-1310.0,-1387.0,-1030.0,-164.0,-2340.0,-3043.0,-510.0,-172.0,-1500.0,-4140.0,830.0,4314.0,890.0,4805.0,780.0,164.0,-14970.0,-89312.0,-2420.0,-5099.0,-2110.0,-4624.0,-1150.0,-839.0,-1070.0,-963.0,320.0,274.0,-11440.0,-67023.0,-11900.0,-72025.0,50.0,55.0,-150.0,-138.0,-2190.0,-6839.0,-12750.0,-25165.0
