County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,0.0,5918.0,0.0,0.0,0.0,WI,9400,4420,4130,770,5420,16620,3570,490,0,490,0,70,890,3820,412036,9370,417392,6800,260055,3220,2738,1760,5860,1620,4168,1410,1211,1190,8593,1520,11838,1520,22193,2950,63466,240,570,1982,2200,26595,400,12116,1740,5356,120,33,0,0,240,1461,160,812,490,499,50,100,40,274,2350,46334,199520,900,7760,1950,9989,320,278,2140,8468,140,55,2340,19263,1700,8653,40,128,40,12,170,184,40,39,1730,4298,550,3923,140,2228,6680,261831,6660,41581,70,351,300,242,2150,1957,340,44,130,59,310,307,650,135,970,1218,210,54,840,1927,510,2245,560,2406,330,225,8480,52921,1500,3010,1240,2624,760,964,300,263,210,175,6190,39468,6640,41993,30,46,60,30,1630,5018,6900,15179
ashland,4757.0,0.0,0.0,0.0,3115.0,WI,7360,3730,2790,760,3630,13500,3860,220,150,60,50,90,850,2070,318864,7330,324880,6050,230882,2170,2389,1200,4431,1080,3354,880,840,1140,12926,990,6722,830,11099,1510,30327,160,510,1991,1130,12843,350,10293,1940,6016,160,41,0,0,220,1280,200,838,730,678,60,138,30,322,1410,28272,129802,410,3800,1230,6805,130,91,1250,4619,150,42,1390,11968,980,5025,20,45,30,2,100,88,40,60,920,3073,350,3332,80,691,5510,198879,5490,30709,70,356,310,255,2010,2131,230,30,220,108,320,374,600,125,1020,1358,140,52,910,2335,590,3081,630,3235,250,168,6960,41813,1430,3049,1200,2683,840,1217,260,251,260,184,4970,28513,5400,31304,30,31,50,91,1230,3819,5740,13411
barron,9121.0,0.0,0.0,0.0,12818.0,WI,22880,11000,9610,2100,13820,42250,11290,690,0,690,0,220,2230,6950,1163385,22830,1185007,18380,792204,7510,9286,4120,13996,3670,10529,3470,4197,3260,36482,3610,39100,3040,40114,4800,96331,1120,1370,5235,3780,47539,1120,59649,5810,21622,470,118,80,991,730,4755,600,2899,1940,1704,140,334,350,4009,5530,116564,619634,1470,13090,4860,32050,590,466,5030,19439,480,210,5530,53685,3990,21601,110,303,150,46,570,605,100,511,4050,16236,1140,9343,190,1830,17450,788274,17390,132844,260,1453,810,900,6890,7797,840,210,740,397,1090,1199,2230,446,3470,4600,340,108,2630,6862,1430,8335,1570,8860,960,630,21060,172428,3630,7763,2990,6697,2120,2855,900,822,660,614,15880,127074,17090,136049,150,184,210,549,4100,14082,17070,40815
bayfield,5473.0,0.0,0.0,0.0,3948.0,WI,7820,3570,3610,620,3860,14120,3250,400,230,170,80,30,540,3120,411249,7800,419924,5890,248160,2920,5034,1880,9522,1760,7441,1220,1467,1600,17337,1590,16984,1330,21018,2180,53348,260,620,2612,1780,23985,540,20582,2240,8675,200,51,40,534,340,2194,230,1159,700,647,50,90,50,375,2040,45598,221548,690,5659,1740,11576,230,233,1860,7465,250,96,2040,20032,1390,8453,60,189,100,38,120,138,90,449,1570,5859,530,4324,70,691,5810,274384,5800,47680,120,824,370,382,2020,2184,470,76,160,82,330,373,440,97,870,1142,210,193,1180,2916,660,3987,750,4241,230,158,7180,58598,1230,2383,970,1978,620,836,290,273,320,229,5380,45496,5900,49187,60,115,110,301,1800,6013,5430,12780
brown,48739.0,0.0,2.0,76473.0,0.0,WI,130230,65050,50670,13590,67790,246030,76090,2520,590,1930,180,870,12270,30380,8546772,129890,8705653,110740,5984732,47090,63180,31050,171723,29540,139219,26930,32778,14080,196164,25610,305634,17450,301527,22790,439544,970,4530,15403,18060,247294,6920,889875,32940,158881,3190,802,820,16220,3470,26363,2690,12207,14480,15226,1420,3047,1090,41092,40180,937037,5548672,7640,77200,37070,318693,2620,2125,37020,159418,3210,1915,40100,495429,31420,179233,830,2209,760,293,5060,5093,1050,4522,32780,136782,6970,52831,1320,19316,105070,6109979,104370,1221138,2860,15299,3460,2853,45100,50846,8770,2674,5350,2723,8640,9788,10280,1894,21500,28659,2930,842,11200,37477,5730,22714,6430,24912,3840,2354,123940,1431434,17590,38641,14980,34709,11710,15994,6890,6499,2340,1633,96170,1173118,100370,1229575,2090,4883,2560,9977,22290,105926,100890,271733
buffalo,0.0,5087.0,1.0,0.0,0.0,WI,6660,3130,2960,510,4980,12550,3450,30,30,0,0,30,350,2050,305987,6650,312084,5400,233457,2810,3119,1350,4188,1260,2992,990,934,1060,8553,1360,16748,910,11980,1410,26987,780,300,1227,1070,13126,470,8561,1880,6097,150,40,30,337,220,1202,170,789,610,598,50,69,170,1111,1560,30106,137963,470,5104,1330,7303,220,124,1400,4763,140,35,1550,12432,1060,5732,40,109,40,6,100,85,20,22,1160,3199,350,2809,40,156,5100,205327,5030,30995,50,265,240,269,2090,2337,300,23,280,148,390,451,600,133,1030,1409,130,67,920,2284,520,3188,570,3274,200,110,6150,39621,920,1854,720,1551,550,808,320,297,280,263,4640,28623,5040,31325,0,0,40,93,1290,4227,4890,11698
burnett,3094.0,0.0,0.0,0.0,5312.0,WI,7780,3530,3490,680,4910,14230,3400,390,0,390,0,80,630,3130,365924,7750,373072,5710,227033,2310,2765,1610,6664,1460,5081,1220,1080,1200,10785,1390,9923,1330,20779,2270,51478,320,430,1995,1840,23486,420,18225,1830,7148,150,37,20,246,320,1802,170,916,560,548,50,86,90,568,2060,42571,187616,760,6314,1710,10001,300,296,1930,6275,350,109,2050,16969,1470,8432,60,191,130,42,160,207,40,66,1600,5666,450,3423,120,1161,5750,235244,5730,37778,80,395,280,265,1950,1863,340,33,180,81,310,307,430,90,920,1203,220,69,910,2224,490,3020,520,3201,250,180,7090,47708,1320,2724,1070,2353,700,951,270,229,210,165,5330,35895,5740,38656,20,21,50,101,1640,5078,5540,12735
calumet,8985.0,0.0,0.0,17307.0,0.0,WI,24540,10710,11910,1750,13390,49130,15260,250,140,110,40,80,1690,5710,1637414,24490,1663643,21180,1257559,11220,9647,6140,23637,5820,18274,6000,5690,2770,37543,5460,54322,3270,48261,4710,78782,610,940,2761,3430,44154,1470,88343,6510,26229,750,192,150,2070,780,5315,570,2929,2590,2647,350,615,330,5012,8610,181674,1045527,1340,13879,7950,57884,530,391,8110,34396,660,453,8580,94997,6930,36965,180,400,190,75,1010,943,150,902,6950,25600,1260,8803,210,1822,20400,1153098,20270,204199,540,2585,560,600,9190,10980,1850,247,1250,583,1860,2274,1750,343,4630,6774,650,167,2380,7385,940,4393,1050,4695,490,316,23320,236313,2220,4406,1830,3822,1500,2070,1460,1404,420,437,19080,193221,19760,203384,360,520,430,915,4720,18685,18590,46487
chippewa,4241.0,12980.0,43.0,0.0,8291.0,WI,30690,14320,13480,2650,17550,58530,16570,600,110,500,0,270,2720,8350,1610746,30620,1640042,25360,1200286,12160,12673,6070,24302,5660,17478,5180,5191,4210,52353,5730,53346,3880,51494,6160,119690,1290,1880,7278,4840,59173,1770,84853,8030,29296,600,153,130,2061,850,5785,740,3744,3170,3106,280,579,360,4352,8000,162689,835956,1880,18599,7190,45481,740,609,7320,25633,610,321,8000,73498,5920,32815,150,518,200,78,920,870,150,423,5870,20489,1740,14484,210,1870,24350,1095583,24230,181557,390,1922,1090,990,9850,11588,1540,139,1430,804,1690,1900,2480,513,5090,7063,520,206,3260,9812,1870,10784,2060,11312,1130,788,28760,226142,4310,9176,3570,7912,2620,3571,1390,1262,840,775,22310,170010,23690,182388,210,266,320,670,5600,19988,23320,58787
clark,4258.0,0.0,0.0,0.0,9018.0,WI,14940,6690,6830,1320,9910,32290,11560,120,0,120,0,100,1020,3930,742108,14900,762618,11710,476519,5050,7755,2270,14963,2040,6066,1690,1953,2450,30600,2780,39374,1660,19253,2450,43450,1810,830,2871,1930,21763,950,111462,3600,20510,230,59,80,1158,520,2865,460,2269,1030,914,110,232,300,5753,2780,56743,340649,790,9384,2360,15678,370,291,2490,8180,120,92,2760,24563,1820,8718,40,70,30,0,200,173,40,48,1900,7728,670,5851,70,871,11140,504965,11030,95759,130,613,570,519,4570,5947,460,41,490,266,660,753,1200,276,2670,3863,300,206,1750,5267,1070,6666,1140,6805,480,320,13300,121168,2130,4496,1720,3770,1580,2361,570,527,520,539,9680,89224,10530,95696,50,63,110,585,2770,10175,10640,32843
