County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
adams,0.0,4518.0,0.0,4752.0,0.0,WI,9740.0,4720.0,4160.0,740.0,8970.0,320.0,5430.0,5550.0,16880.0,3480.0,570.0,0.0,570.0,0.0,980.0,4080.0,464852.0,9710.0,470000.0,7070.0,284663.0,3440.0,3338.0,1860.0,7212.0,1710.0,5047.0,1340.0,1206.0,1230.0,10516.0,1630.0,16848.0,3620.0,97784.0,220.0,460.0,1879.0,2470.0,32559.0,420.0,12439.0,1760.0,5148.0,100.0,26.0,0.0,0.0,230.0,1656.0,150.0,671.0,510.0,484.0,9040.0,161224.0,9040.0,155778.0,2760.0,5440.0,510.0,14114.0,58072.0,270.0,4415.0,420.0,2377.0,80.0,88.0,440.0,2216.0,40.0,12.0,500.0,3452.0,510.0,3636.0,340.0,2385.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,1885.0,60.0,1245.0,900.0,4808.0,7000.0,310781.0,6980.0,43223.0,0.0,0.0,320.0,381.0,2450.0,3740.0,420.0,58.0,120.0,61.0,280.0,293.0,700.0,132.0,1510.0,3006.0,0.0,0.0,910.0,2180.0,520.0,4323.0,570.0,4680.0,240.0,172.0,8790.0,54645.0,1430.0,2890.0,1220.0,2533.0,870.0,1499.0,240.0,215.0,180.0,166.0,6260.0,39401.0,6720.0,42363.0,40.0,32.0,80.0,212.0,1800.0,5450.0,7210.0,17645.0,7050.0,15937.0,240.0,1378.0
ashland,4219.0,0.0,89.0,0.0,2573.0,WI,7290.0,3630.0,2780.0,800.0,6560.0,330.0,3590.0,4500.0,13430.0,3840.0,240.0,170.0,60.0,50.0,920.0,2240.0,346630.0,7260.0,351734.0,6000.0,245660.0,2180.0,2267.0,1190.0,4896.0,1090.0,3482.0,790.0,827.0,1130.0,11231.0,1000.0,8954.0,1920.0,46184.0,160.0,440.0,1625.0,1250.0,15556.0,340.0,8916.0,1770.0,5104.0,120.0,36.0,0.0,0.0,190.0,1263.0,180.0,695.0,720.0,696.0,6900.0,118831.0,6900.0,116089.0,1420.0,2737.0,280.0,8104.0,35025.0,110.0,2377.0,230.0,1695.0,30.0,28.0,240.0,1124.0,30.0,5.0,250.0,1826.0,270.0,1998.0,170.0,1254.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1505.0,20.0,330.0,750.0,3192.0,5430.0,230324.0,5400.0,32009.0,0.0,0.0,250.0,308.0,2250.0,4020.0,250.0,33.0,190.0,101.0,300.0,311.0,550.0,114.0,1510.0,3248.0,0.0,0.0,850.0,2165.0,510.0,4320.0,550.0,4564.0,180.0,137.0,6870.0,41052.0,1360.0,3041.0,1190.0,2746.0,960.0,1920.0,250.0,220.0,200.0,163.0,4630.0,27977.0,5050.0,30702.0,30.0,33.0,50.0,84.0,1160.0,3677.0,5840.0,14664.0,5720.0,14029.0,190.0,623.0
barron,7228.0,0.0,336.0,0.0,10931.0,WI,23270.0,11250.0,9640.0,2130.0,21800.0,560.0,13650.0,13810.0,42700.0,11300.0,760.0,0.0,760.0,0.0,2540.0,7380.0,1277370.0,23220.0,1294782.0,18630.0,849244.0,8840.0,11691.0,4230.0,17700.0,3820.0,12750.0,3260.0,3852.0,3260.0,39310.0,3700.0,62931.0,6370.0,156841.0,1060.0,1070.0,4319.0,4200.0,56273.0,1120.0,64042.0,5460.0,17412.0,420.0,110.0,80.0,1081.0,640.0,4782.0,510.0,2501.0,1880.0,1695.0,21760.0,381656.0,21760.0,371957.0,4880.0,9698.0,1120.0,35887.0,188110.0,450.0,8165.0,900.0,8209.0,190.0,150.0,960.0,4684.0,150.0,75.0,1040.0,7638.0,1110.0,8215.0,750.0,5985.0,0.0,0.0,20.0,2.0,40.0,309.0,870.0,8413.0,90.0,1755.0,2740.0,18391.0,17810.0,901249.0,17690.0,135115.0,0.0,0.0,680.0,1011.0,7630.0,14638.0,930.0,307.0,760.0,437.0,980.0,1110.0,2260.0,452.0,5060.0,11539.0,20.0,59.0,2630.0,7365.0,1380.0,14683.0,1500.0,15531.0,800.0,554.0,21470.0,155438.0,3320.0,7128.0,2860.0,6268.0,2550.0,4530.0,780.0,710.0,540.0,584.0,15390.0,120476.0,16630.0,131604.0,170.0,188.0,290.0,720.0,4210.0,15687.0,17760.0,48168.0,17390.0,43065.0,620.0,4853.0
bayfield,5207.0,0.0,90.0,0.0,3490.0,WI,7910.0,3600.0,3620.0,580.0,7040.0,380.0,3940.0,4240.0,14210.0,3140.0,450.0,220.0,220.0,60.0,620.0,3320.0,473236.0,7880.0,480529.0,5860.0,275577.0,3130.0,6056.0,1930.0,12910.0,1750.0,9894.0,1110.0,1370.0,1590.0,15397.0,1660.0,27754.0,2840.0,86164.0,260.0,480.0,2263.0,2000.0,29825.0,550.0,24540.0,2180.0,7293.0,170.0,44.0,30.0,327.0,340.0,2160.0,190.0,938.0,680.0,666.0,7280.0,132129.0,7280.0,127784.0,2170.0,4344.0,470.0,15698.0,91455.0,200.0,3611.0,360.0,5381.0,100.0,87.0,440.0,2070.0,60.0,16.0,440.0,3097.0,470.0,3499.0,320.0,3052.0,0.0,0.0,0.0,0.0,40.0,217.0,360.0,4090.0,30.0,316.0,1110.0,6689.0,5940.0,334902.0,5890.0,53346.0,0.0,0.0,290.0,453.0,2270.0,4171.0,530.0,127.0,170.0,95.0,300.0,332.0,460.0,100.0,1340.0,2920.0,60.0,189.0,1200.0,2874.0,590.0,5816.0,650.0,6210.0,180.0,143.0,7320.0,64556.0,1170.0,2241.0,930.0,1868.0,720.0,1280.0,240.0,215.0,240.0,230.0,5230.0,48994.0,5760.0,53007.0,60.0,197.0,130.0,498.0,1740.0,6269.0,5740.0,17729.0,5510.0,13347.0,340.0,3254.0
brown,45320.0,0.0,0.0,0.0,69402.0,WI,132000.0,66610.0,50960.0,13350.0,121850.0,4730.0,67850.0,82660.0,245530.0,73460.0,2800.0,580.0,2220.0,150.0,13170.0,32580.0,9874147.0,131720.0,9997780.0,111740.0,6494978.0,51180.0,96323.0,31450.0,212067.0,29920.0,165606.0,24730.0,35211.0,14180.0,211530.0,26690.0,537847.0,32160.0,862877.0,930.0,3280.0,11924.0,20050.0,300347.0,6840.0,955919.0,31410.0,123633.0,2980.0,755.0,780.0,16848.0,3070.0,27064.0,2410.0,11073.0,14600.0,15327.0,122220.0,2080925.0,122220.0,2039761.0,20800.0,41164.0,8700.0,337995.0,2741205.0,2640.0,52576.0,7660.0,123243.0,930.0,985.0,7740.0,46132.0,910.0,715.0,8360.0,66847.0,8660.0,72730.0,6340.0,56147.0,130.0,770.0,160.0,103.0,540.0,8195.0,7180.0,93696.0,720.0,16804.0,14570.0,195677.0,107040.0,7465247.0,105970.0,1342813.0,100.0,818.0,2490.0,4400.0,50960.0,103960.0,9590.0,3742.0,5280.0,2783.0,7670.0,8461.0,10680.0,1989.0,33210.0,79983.0,100.0,136.0,11190.0,39163.0,6030.0,75659.0,6510.0,80461.0,3030.0,2069.0,125530.0,1514765.0,16410.0,36264.0,14590.0,33222.0,13300.0,24221.0,5640.0,5243.0,1450.0,1271.0,93700.0,1238854.0,98190.0,1305275.0,2370.0,5654.0,3210.0,15376.0,23850.0,109487.0,103500.0,317269.0,100870.0,254160.0,3580.0,62554.0
buffalo,0.0,3339.0,0.0,2587.0,0.0,WI,6640.0,3190.0,2870.0,530.0,6270.0,170.0,4910.0,3640.0,12340.0,3280.0,40.0,40.0,0.0,0.0,400.0,2120.0,323480.0,6640.0,329183.0,5380.0,246275.0,2970.0,3352.0,1360.0,4389.0,1240.0,2959.0,940.0,977.0,1050.0,8538.0,1380.0,20476.0,1890.0,42450.0,780.0,240.0,1003.0,1150.0,15131.0,470.0,6799.0,1830.0,5703.0,120.0,32.0,30.0,328.0,190.0,1009.0,170.0,848.0,620.0,574.0,6160.0,108707.0,6160.0,106055.0,1320.0,2651.0,270.0,7475.0,26666.0,110.0,2288.0,210.0,1462.0,40.0,25.0,220.0,859.0,30.0,9.0,250.0,1634.0,270.0,1777.0,160.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1212.0,0.0,0.0,890.0,3379.0,5100.0,232846.0,5050.0,30697.0,0.0,0.0,220.0,317.0,2210.0,4333.0,300.0,31.0,300.0,165.0,360.0,380.0,600.0,127.0,1440.0,3432.0,20.0,55.0,900.0,2261.0,460.0,4646.0,500.0,4907.0,130.0,90.0,6130.0,37659.0,820.0,1720.0,670.0,1462.0,610.0,1192.0,280.0,253.0,190.0,214.0,4440.0,26358.0,4880.0,29205.0,20.0,13.0,50.0,142.0,1230.0,3780.0,5060.0,12649.0,4920.0,11830.0,200.0,687.0
burnett,2800.0,0.0,109.0,0.0,4630.0,WI,7840.0,3580.0,3490.0,670.0,7250.0,210.0,4900.0,4400.0,14230.0,3320.0,350.0,0.0,350.0,0.0,630.0,3300.0,443183.0,7820.0,449346.0,5740.0,246639.0,2700.0,3427.0,1650.0,8507.0,1520.0,6228.0,1190.0,1407.0,1240.0,10185.0,1470.0,22740.0,2900.0,83521.0,300.0,380.0,1938.0,2030.0,29296.0,440.0,15760.0,1820.0,6163.0,140.0,34.0,0.0,0.0,270.0,1754.0,180.0,956.0,580.0,605.0,7210.0,130397.0,7210.0,125997.0,2200.0,4390.0,480.0,13631.0,93145.0,200.0,3359.0,390.0,3792.0,80.0,85.0,430.0,1746.0,100.0,35.0,450.0,3229.0,480.0,3389.0,340.0,2989.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,2683.0,40.0,663.0,950.0,4547.0,5920.0,303287.0,5890.0,45591.0,0.0,0.0,240.0,291.0,2210.0,3799.0,440.0,107.0,190.0,91.0,290.0,304.0,470.0,88.0,1400.0,3017.0,0.0,0.0,940.0,2298.0,480.0,4851.0,510.0,5083.0,200.0,147.0,7160.0,54226.0,1210.0,2519.0,1020.0,2222.0,820.0,1519.0,220.0,182.0,180.0,169.0,5230.0,41628.0,5680.0,44981.0,30.0,56.0,90.0,547.0,1740.0,5425.0,5660.0,14627.0,5510.0,12794.0,240.0,1777.0
calumet,7647.0,0.0,0.0,0.0,15806.0,WI,25230.0,11170.0,12090.0,1770.0,23330.0,860.0,13550.0,14400.0,49590.0,14790.0,280.0,150.0,140.0,40.0,1970.0,6250.0,1835111.0,25180.0,1857162.0,21610.0,1373885.0,11780.0,13079.0,6490.0,30778.0,6110.0,22919.0,5550.0,5930.0,2770.0,39911.0,5720.0,81908.0,6480.0,154174.0,560.0,660.0,2538.0,3980.0,56702.0,1560.0,89453.0,6250.0,22051.0,700.0,177.0,140.0,2039.0,670.0,5132.0,570.0,2760.0,2600.0,2591.0,23340.0,419126.0,23340.0,411092.0,3970.0,8034.0,1620.0,48899.0,296106.0,470.0,10167.0,1430.0,15468.0,180.0,151.0,1450.0,7972.0,160.0,121.0,1560.0,12618.0,1610.0,13279.0,1210.0,9653.0,0.0,0.0,30.0,10.0,60.0,464.0,1310.0,13055.0,110.0,1337.0,3060.0,23971.0,20560.0,1381354.0,20350.0,218392.0,0.0,0.0,440.0,791.0,10140.0,23288.0,1990.0,371.0,1240.0,624.0,1770.0,2075.0,1730.0,351.0,6970.0,18832.0,0.0,0.0,2290.0,7230.0,1050.0,11801.0,1140.0,12353.0,430.0,298.0,23960.0,239305.0,2090.0,4229.0,1790.0,3744.0,1750.0,3166.0,1320.0,1244.0,340.0,379.0,18580.0,195104.0,19360.0,205632.0,440.0,648.0,540.0,1445.0,5060.0,21096.0,19290.0,54424.0,18810.0,47931.0,730.0,6477.0
chippewa,3636.0,9609.0,179.0,6706.0,7338.0,WI,31390.0,14850.0,13540.0,2730.0,29080.0,1040.0,17580.0,18920.0,59190.0,16490.0,610.0,120.0,500.0,30.0,2990.0,8970.0,1841326.0,31330.0,1867048.0,25810.0,1325839.0,13450.0,15955.0,6380.0,28165.0,5960.0,18871.0,4800.0,5064.0,4170.0,55296.0,5920.0,81100.0,8090.0,197124.0,1270.0,1390.0,5917.0,5330.0,72633.0,1810.0,93460.0,7760.0,25722.0,550.0,141.0,130.0,1941.0,750.0,5770.0,720.0,3686.0,3220.0,3163.0,29370.0,518350.0,29370.0,506692.0,5860.0,11660.0,1530.0,46251.0,259054.0,580.0,11438.0,1300.0,14393.0,200.0,187.0,1340.0,6024.0,140.0,72.0,1470.0,10792.0,1520.0,11160.0,1060.0,9114.0,30.0,116.0,40.0,19.0,60.0,323.0,1160.0,9623.0,100.0,1442.0,3700.0,30616.0,24840.0,1325419.0,24680.0,196991.0,0.0,0.0,900.0,1262.0,11090.0,23216.0,1720.0,252.0,1380.0,836.0,1540.0,1712.0,2490.0,512.0,7400.0,18259.0,40.0,112.0,3210.0,10591.0,1680.0,17619.0,1820.0,18673.0,920.0,702.0,29420.0,233930.0,3890.0,8290.0,3350.0,7265.0,3030.0,5547.0,1130.0,1051.0,580.0,634.0,21890.0,173772.0,23340.0,187497.0,270.0,397.0,440.0,1135.0,5710.0,21047.0,24320.0,67160.0,23770.0,58552.0,830.0,8547.0
clark,3531.0,0.0,179.0,0.0,7878.0,WI,14930.0,6770.0,6820.0,1220.0,13360.0,870.0,9940.0,7480.0,31630.0,10830.0,130.0,0.0,130.0,0.0,1190.0,4090.0,805542.0,14900.0,818317.0,11670.0,513203.0,5370.0,11974.0,2240.0,15403.0,2030.0,12181.0,1550.0,1914.0,2480.0,33990.0,2770.0,43938.0,3350.0,69426.0,1790.0,600.0,2299.0,2130.0,25880.0,970.0,107235.0,3380.0,12775.0,210.0,51.0,70.0,1081.0,450.0,2919.0,390.0,2002.0,1020.0,948.0,13960.0,250105.0,13960.0,244906.0,2610.0,5197.0,500.0,16316.0,133507.0,220.0,5204.0,370.0,3080.0,100.0,91.0,430.0,1616.0,40.0,16.0,460.0,2919.0,500.0,3169.0,270.0,1767.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,3840.0,40.0,644.0,2040.0,26591.0,11340.0,570332.0,11210.0,95158.0,0.0,0.0,470.0,678.0,5000.0,11334.0,510.0,65.0,480.0,279.0,630.0,670.0,1250.0,274.0,3490.0,8600.0,20.0,57.0,1660.0,4971.0,1000.0,10019.0,1060.0,10524.0,470.0,340.0,13300.0,124597.0,1960.0,4240.0,1650.0,3652.0,1690.0,3311.0,490.0,436.0,390.0,391.0,9350.0,83170.0,10190.0,90416.0,70.0,100.0,150.0,638.0,2610.0,7196.0,11140.0,32197.0,10670.0,26895.0,620.0,5302.0
