County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N02910,A02910,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N11450,A11450,N10970,A10970,N10971,A10971,N10973,A10973,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
adams,0.0,4639.0,0.0,0.0,0.0,WI,10370.0,5150.0,4370.0,740.0,9710.0,210.0,6000.0,6650.0,60.0,17760.0,30.0,30.0,0.0,0.0,1040.0,4380.0,525343.0,10140.0,531487.0,7340.0,313354.0,3750.0,3821.0,1940.0,6960.0,1790.0,5052.0,210.0,188.0,1210.0,10756.0,1770.0,21322.0,1570.0,28700.0,3190.0,75608.0,234.0,1740.0,16203.0,2610.0,36035.0,440.0,18089.0,4100.0,6144.0,120.0,31.0,0.0,0.0,240.0,1693.0,160.0,753.0,430.0,265.0,3010.0,794.0,9480.0,176774.0,9480.0,170708.0,3030.0,6064.0,480.0,13175.0,56234.0,220.0,3683.0,370.0,2431.0,70.0,54.0,420.0,2336.0,50.0,15.0,450.0,3371.0,460.0,3446.0,330.0,2629.0,0.0,0.0,0.0,0.0,40.0,26.0,0.0,0.0,320.0,1865.0,30.0,601.0,1100.0,5827.0,7320.0,364702.0,7280.0,53021.0,0.0,0.0,160.0,154.0,2500.0,3771.0,430.0,37.0,100.0,50.0,220.0,247.0,660.0,127.0,1490.0,3137.0,140.0,89.0,900.0,2474.0,410.0,3350.0,420.0,3397.0,9510.0,63159.0,1430.0,2683.0,1230.0,2382.0,820.0,1448.0,190.0,168.0,200.0,172.0,30.0,40.0,1660.0,2128.0,8940.0,16756.0,8210.0,8507.0,6610.0,49233.0,7020.0,52615.0,70.0,70.0,110.0,280.0,1830.0,7404.0,7850.0,19252.0,7720.0,18448.0,210.0,781.0
ashland,4795.0,0.0,0.0,0.0,3746.0,WI,7790.0,4140.0,2770.0,790.0,7250.0,210.0,3840.0,5360.0,80.0,13800.0,230.0,200.0,30.0,50.0,1000.0,2410.0,372183.0,7610.0,377461.0,6180.0,260391.0,2370.0,2516.0,1230.0,5031.0,1120.0,3849.0,80.0,63.0,1120.0,10859.0,1080.0,13007.0,810.0,13326.0,1600.0,34824.0,143.0,1380.0,13483.0,1360.0,17682.0,330.0,11073.0,2880.0,5278.0,130.0,34.0,0.0,0.0,170.0,1174.0,160.0,753.0,610.0,424.0,1650.0,417.0,7310.0,128733.0,7310.0,125633.0,1590.0,3095.0,200.0,6626.0,33099.0,80.0,1768.0,160.0,1276.0,30.0,20.0,180.0,905.0,30.0,10.0,200.0,1497.0,200.0,1520.0,130.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1262.0,0.0,0.0,920.0,3779.0,5710.0,252132.0,5660.0,35233.0,0.0,0.0,120.0,78.0,2280.0,4147.0,270.0,38.0,180.0,101.0,260.0,281.0,570.0,128.0,1510.0,3454.0,70.0,29.0,860.0,2298.0,400.0,4246.0,400.0,4246.0,7370.0,46159.0,1340.0,2796.0,1200.0,2559.0,910.0,1750.0,230.0,196.0,120.0,126.0,30.0,21.0,1280.0,1748.0,6530.0,12323.0,6030.0,6632.0,4880.0,31073.0,5220.0,33801.0,40.0,41.0,70.0,238.0,1180.0,4257.0,6310.0,16486.0,6210.0,15699.0,190.0,785.0
barron,9119.0,0.0,0.0,0.0,15936.0,WI,24090.0,11960.0,9720.0,2110.0,22840.0,380.0,14200.0,15630.0,160.0,43350.0,60.0,0.0,60.0,0.0,2610.0,7850.0,1310959.0,23720.0,1329865.0,18940.0,905075.0,9090.0,12692.0,4460.0,19786.0,3970.0,14757.0,400.0,372.0,3180.0,39950.0,4010.0,52298.0,2990.0,49547.0,5500.0,120129.0,1060.0,3560.0,30698.0,4500.0,63253.0,1120.0,57569.0,9770.0,18906.0,420.0,106.0,80.0,1251.0,620.0,4483.0,470.0,2518.0,1590.0,1004.0,6540.0,1709.0,22310.0,406299.0,22310.0,395876.0,5190.0,10423.0,1020.0,34282.0,152626.0,410.0,8262.0,820.0,7402.0,190.0,179.0,890.0,4928.0,140.0,80.0,1010.0,7454.0,1010.0,7520.0,670.0,5636.0,0.0,0.0,30.0,17.0,70.0,81.0,30.0,234.0,750.0,8293.0,60.0,1156.0,3230.0,18808.0,18310.0,918628.0,18140.0,132927.0,0.0,0.0,310.0,312.0,7620.0,14379.0,900.0,184.0,680.0,384.0,870.0,941.0,2120.0,439.0,4970.0,11915.0,290.0,144.0,2600.0,8389.0,1130.0,14444.0,1150.0,14447.0,22420.0,163195.0,3190.0,6332.0,2770.0,5623.0,2260.0,4050.0,750.0,668.0,420.0,491.0,50.0,45.0,3520.0,4830.0,20410.0,38976.0,19160.0,21052.0,16020.0,118045.0,17080.0,128201.0,210.0,271.0,310.0,834.0,4300.0,15743.0,18540.0,50661.0,18170.0,45705.0,640.0,4904.0
bayfield,6107.0,0.0,0.0,0.0,4589.0,WI,8460.0,3970.0,3780.0,610.0,7750.0,230.0,4140.0,5180.0,80.0,15000.0,350.0,220.0,130.0,60.0,640.0,3580.0,508148.0,8330.0,516402.0,6110.0,287663.0,3220.0,6551.0,2060.0,13815.0,1870.0,9405.0,190.0,164.0,1570.0,16369.0,1820.0,27021.0,1340.0,27329.0,2400.0,65875.0,241.0,1420.0,15379.0,2130.0,33162.0,510.0,25253.0,3930.0,8254.0,150.0,37.0,30.0,459.0,320.0,2084.0,210.0,1123.0,610.0,393.0,2510.0,645.0,7760.0,146304.0,7760.0,141377.0,2430.0,4927.0,410.0,12638.0,75926.0,150.0,2817.0,340.0,3362.0,60.0,56.0,360.0,2063.0,80.0,33.0,410.0,3102.0,410.0,3122.0,290.0,2822.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,234.0,300.0,3081.0,20.0,302.0,1370.0,8036.0,6290.0,361595.0,6210.0,55402.0,0.0,0.0,110.0,95.0,2320.0,4424.0,540.0,136.0,150.0,78.0,260.0,269.0,410.0,87.0,1380.0,3135.0,130.0,139.0,1210.0,3287.0,470.0,5104.0,480.0,5132.0,7860.0,66103.0,1140.0,2116.0,930.0,1819.0,700.0,1230.0,220.0,199.0,170.0,179.0,40.0,39.0,1270.0,1639.0,7230.0,13792.0,6620.0,7099.0,5600.0,50976.0,6090.0,55264.0,80.0,125.0,160.0,619.0,1770.0,7169.0,6260.0,17950.0,6050.0,15894.0,320.0,1767.0
brown,55344.0,0.0,0.0,0.0,87044.0,WI,138240.0,72380.0,51210.0,13270.0,130530.0,2540.0,72610.0,94740.0,1440.0,250970.0,870.0,460.0,410.0,100.0,13650.0,35510.0,10564747.0,135910.0,10685011.0,113690.0,6899135.0,54920.0,107858.0,32800.0,314012.0,31250.0,270225.0,2780.0,4066.0,14670.0,220830.0,28580.0,759269.0,17460.0,379540.0,25590.0,540769.0,864.0,19510.0,180946.0,21360.0,335915.0,6670.0,949336.0,62390.0,120264.0,2840.0,723.0,740.0,16997.0,3040.0,26314.0,2270.0,11066.0,12290.0,8922.0,44550.0,11374.0,127250.0,2251169.0,127250.0,2204965.0,23010.0,46204.0,7610.0,293115.0,2575029.0,2210.0,48138.0,6630.0,110629.0,870.0,975.0,6700.0,43800.0,890.0,758.0,7520.0,60593.0,7560.0,61273.0,5390.0,49105.0,120.0,964.0,150.0,122.0,680.0,874.0,410.0,6600.0,5950.0,105232.0,500.0,12261.0,18640.0,209333.0,109980.0,8073117.0,109070.0,1449642.0,70.0,927.0,1930.0,1549.0,50500.0,106528.0,9250.0,3607.0,4460.0,2203.0,6770.0,7520.0,10420.0,1942.0,32400.0,81220.0,1860.0,671.0,11510.0,41592.0,4280.0,28986.0,4500.0,29503.0,131350.0,1624415.0,16100.0,33820.0,14360.0,31143.0,12270.0,22130.0,5470.0,5009.0,2290.0,1757.0,420.0,620.0,22950.0,32494.0,110500.0,206417.0,103130.0,112420.0,97600.0,1343114.0,101710.0,1416111.0,2830.0,6418.0,3600.0,20708.0,24160.0,146118.0,108910.0,353787.0,106260.0,298056.0,3790.0,55731.0
buffalo,0.0,3457.0,0.0,0.0,0.0,WI,6940.0,3420.0,2940.0,490.0,6640.0,100.0,5060.0,4110.0,60.0,12590.0,20.0,20.0,0.0,0.0,410.0,2330.0,363039.0,6860.0,368519.0,5420.0,264708.0,3110.0,4655.0,1410.0,5145.0,1290.0,3669.0,100.0,99.0,1060.0,7444.0,1460.0,30952.0,860.0,14047.0,1580.0,32233.0,747.0,1060.0,9200.0,1260.0,17413.0,500.0,14869.0,3190.0,5480.0,120.0,30.0,20.0,372.0,180.0,930.0,160.0,901.0,510.0,317.0,2150.0,564.0,6360.0,116884.0,6360.0,113954.0,1470.0,2926.0,240.0,7898.0,35619.0,130.0,2384.0,200.0,1395.0,40.0,29.0,220.0,970.0,30.0,9.0,240.0,1676.0,240.0,1735.0,150.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1470.0,0.0,0.0,1030.0,4902.0,5290.0,266399.0,5220.0,36426.0,0.0,0.0,120.0,108.0,2210.0,4303.0,260.0,21.0,250.0,144.0,330.0,374.0,600.0,137.0,1400.0,3495.0,90.0,60.0,900.0,2479.0,360.0,3481.0,360.0,3401.0,6370.0,45671.0,820.0,1639.0,680.0,1446.0,570.0,1093.0,290.0,250.0,170.0,225.0,0.0,0.0,960.0,1286.0,5910.0,11502.0,5580.0,6186.0,4650.0,32112.0,5030.0,35110.0,30.0,15.0,50.0,386.0,1340.0,4428.0,5210.0,13765.0,5110.0,13020.0,170.0,671.0
burnett,3499.0,0.0,0.0,0.0,6497.0,WI,8470.0,4020.0,3720.0,650.0,7980.0,120.0,5200.0,5320.0,60.0,15050.0,120.0,0.0,120.0,0.0,790.0,3670.0,458237.0,8320.0,464997.0,6030.0,275096.0,2850.0,3620.0,1820.0,8920.0,1670.0,6796.0,190.0,172.0,1260.0,13267.0,1590.0,20631.0,1360.0,27898.0,2500.0,63148.0,284.0,1400.0,14446.0,2200.0,32740.0,450.0,15087.0,3710.0,6760.0,150.0,37.0,20.0,230.0,280.0,1722.0,170.0,913.0,470.0,300.0,2650.0,709.0,7770.0,145827.0,7770.0,140863.0,2450.0,4965.0,440.0,13168.0,52593.0,190.0,3400.0,350.0,2608.0,70.0,48.0,410.0,1721.0,120.0,55.0,430.0,3051.0,440.0,3115.0,310.0,2806.0,0.0,0.0,0.0,0.0,30.0,36.0,0.0,0.0,330.0,2350.0,40.0,842.0,1130.0,5691.0,6240.0,320042.0,6180.0,45519.0,0.0,0.0,100.0,88.0,2260.0,3787.0,390.0,46.0,150.0,79.0,240.0,268.0,480.0,95.0,1400.0,3107.0,170.0,78.0,950.0,2652.0,370.0,3953.0,380.0,3938.0,7760.0,54364.0,1170.0,2342.0,990.0,2105.0,760.0,1390.0,210.0,185.0,160.0,154.0,30.0,29.0,1320.0,1746.0,7290.0,13905.0,6700.0,7191.0,5550.0,41693.0,5950.0,44842.0,60.0,59.0,90.0,144.0,1730.0,6863.0,6240.0,16161.0,6130.0,15171.0,210.0,723.0
calumet,10303.0,0.0,0.0,0.0,20138.0,WI,26500.0,12090.0,12290.0,1880.0,25070.0,520.0,14320.0,16720.0,280.0,51220.0,190.0,140.0,50.0,30.0,2120.0,7060.0,2000407.0,26310.0,2023992.0,22190.0,1454538.0,12860.0,15501.0,6800.0,34610.0,6410.0,27314.0,550.0,527.0,2830.0,41893.0,6270.0,82342.0,3660.0,70221.0,5420.0,104425.0,558.0,3490.0,27141.0,4420.0,66545.0,1540.0,134989.0,13030.0,23585.0,690.0,178.0,140.0,2660.0,680.0,5374.0,470.0,2621.0,2300.0,1620.0,9500.0,2458.0,24590.0,458638.0,24590.0,449206.0,4630.0,9431.0,1450.0,45452.0,279208.0,390.0,9573.0,1290.0,15288.0,150.0,173.0,1280.0,7628.0,190.0,118.0,1430.0,11567.0,1440.0,11640.0,1030.0,8837.0,0.0,0.0,30.0,15.0,130.0,158.0,40.0,433.0,1070.0,13162.0,70.0,1206.0,3950.0,33425.0,21510.0,1512864.0,21370.0,244736.0,0.0,0.0,310.0,269.0,10310.0,22970.0,1860.0,292.0,1100.0,517.0,1470.0,1788.0,1770.0,362.0,7000.0,19137.0,430.0,162.0,2390.0,7899.0,820.0,6552.0,840.0,6518.0,25110.0,264515.0,2050.0,4084.0,1770.0,3633.0,1710.0,3124.0,1200.0,1151.0,460.0,422.0,60.0,85.0,3910.0,5460.0,21410.0,42900.0,20050.0,23411.0,19590.0,221766.0,20380.0,232683.0,490.0,693.0,620.0,1547.0,5160.0,26090.0,20290.0,57849.0,19790.0,51977.0,800.0,5829.0
chippewa,4751.0,10332.0,0.0,0.0,9722.0,WI,33530.0,16580.0,13820.0,2760.0,31190.0,540.0,18430.0,21640.0,300.0,61860.0,200.0,40.0,160.0,0.0,3220.0,9910.0,2100035.0,32580.0,2127174.0,26320.0,1418984.0,14010.0,18593.0,6810.0,28255.0,6320.0,19465.0,550.0,536.0,4210.0,61970.0,6390.0,178335.0,4090.0,68714.0,6820.0,146070.0,1284.0,4850.0,42144.0,5780.0,83304.0,1810.0,128177.0,14150.0,27139.0,520.0,138.0,150.0,2644.0,660.0,5413.0,670.0,3677.0,2640.0,1744.0,9390.0,2392.0,30700.0,563503.0,30700.0,550319.0,6550.0,13184.0,1390.0,43457.0,327730.0,490.0,11071.0,1190.0,14134.0,200.0,174.0,1220.0,6204.0,170.0,73.0,1370.0,10264.0,1380.0,10363.0,950.0,8569.0,0.0,0.0,40.0,43.0,140.0,171.0,50.0,232.0,960.0,10189.0,80.0,1539.0,4560.0,35779.0,25850.0,1555518.0,25640.0,240441.0,0.0,0.0,430.0,539.0,11170.0,23685.0,1680.0,198.0,1230.0,735.0,1430.0,1535.0,2380.0,488.0,7350.0,18906.0,380.0,213.0,3310.0,11286.0,1350.0,16348.0,1370.0,16639.0,31280.0,274979.0,3790.0,7829.0,3250.0,6914.0,2820.0,5183.0,1190.0,1051.0,480.0,419.0,130.0,204.0,5440.0,7498.0,28090.0,54568.0,26350.0,29653.0,22980.0,216756.0,24220.0,230859.0,330.0,506.0,520.0,1524.0,5920.0,25876.0,25900.0,76427.0,25380.0,66334.0,840.0,10032.0
clark,4672.0,0.0,0.0,0.0,9968.0,WI,15420.0,7280.0,6790.0,1210.0,13970.0,640.0,10000.0,8480.0,80.0,31790.0,20.0,20.0,0.0,0.0,1300.0,4390.0,884218.0,15260.0,896171.0,11810.0,544734.0,5490.0,8654.0,2190.0,15398.0,1980.0,13006.0,150.0,170.0,2450.0,39774.0,2700.0,37481.0,1730.0,24299.0,2620.0,50869.0,1762.0,2050.0,14398.0,2250.0,29528.0,940.0,142545.0,6210.0,11953.0,230.0,58.0,70.0,1097.0,400.0,2303.0,360.0,1887.0,860.0,542.0,4250.0,1122.0,14440.0,267707.0,14440.0,261983.0,2830.0,5724.0,410.0,14649.0,57039.0,180.0,4077.0,320.0,2793.0,80.0,60.0,360.0,1410.0,30.0,16.0,390.0,2685.0,410.0,2728.0,220.0,1628.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,260.0,4344.0,20.0,238.0,2360.0,32996.0,11740.0,624391.0,11590.0,104390.0,0.0,0.0,210.0,183.0,5010.0,10703.0,450.0,50.0,410.0,252.0,530.0,570.0,1180.0,256.0,3520.0,9232.0,210.0,119.0,1620.0,5717.0,710.0,8901.0,710.0,9002.0,13680.0,126642.0,1860.0,3904.0,1600.0,3334.0,1550.0,3158.0,450.0,393.0,270.0,209.0,30.0,39.0,2100.0,3057.0,12730.0,25967.0,12110.0,14887.0,9850.0,93571.0,10620.0,100517.0,70.0,115.0,140.0,585.0,2810.0,13326.0,11380.0,31446.0,10990.0,27808.0,550.0,2977.0
