STATE,COUNTYNAME,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
AL,Autauga County,23700.0,8800.0,10100.0,4310.0,11820.0,50580.0,18370.0,1206063.0,20310.0,913638.0,7090.0,7153.0,3200.0,8099.0,2830.0,5798.0,3330.0,22301.0,400.0,2340.0,37005.0,1790.0,23016.0,5410.0,129498.0,1250.0,5278.0,3090.0,37258.0,50.0,828.0,6840.0,647822.0,130654.0,5390.0,20716.0,1240.0,1952.0,5760.0,4496.0,6780.0,28491.0,5550.0,44415.0,5830.0,29536.0,17810.0,778737.0,150.0,582.0,7910.0,9870.0,1390.0,755.0,4930.0,6429.0,340.0,105.0,5440.0,13813.0,4940.0,12544.0,3900.0,4922.0,15610.0,116291.0,16960.0,121963.0,3510.0,11151.0,19460.0,54297.0
AL,Baldwin County,88490.0,35520.0,38380.0,12620.0,47190.0,177290.0,55770.0,4899665.0,69690.0,3252973.0,27940.0,55549.0,16800.0,101760.0,14990.0,75656.0,16150.0,178028.0,1200.0,14410.0,250614.0,10260.0,177059.0,20660.0,488452.0,4500.0,19706.0,15120.0,191665.0,460.0,7980.0,27040.0,3050674.0,606077.0,20060.0,98307.0,6130.0,9083.0,22170.0,28169.0,26830.0,143288.0,20480.0,186202.0,22480.0,113195.0,65390.0,3398744.0,1510.0,7980.0,25590.0,32423.0,4090.0,1988.0,14140.0,17364.0,1330.0,549.0,17780.0,43075.0,15630.0,37963.0,12360.0,15931.0,58160.0,587167.0,64080.0,621440.0,17630.0,92499.0,64920.0,175887.0
AL,Barbour County,10050.0,3630.0,3280.0,2990.0,7320.0,21110.0,8230.0,371840.0,8330.0,273242.0,2580.0,4016.0,1140.0,5641.0,1060.0,4569.0,1630.0,11472.0,450.0,910.0,10034.0,720.0,10362.0,1900.0,37073.0,690.0,3364.0,1290.0,14787.0,20.0,430.0,2120.0,173162.0,40966.0,1510.0,5205.0,530.0,1182.0,1690.0,1656.0,2080.0,8723.0,1430.0,10103.0,1820.0,9738.0,6430.0,212157.0,40.0,270.0,2690.0,2454.0,370.0,179.0,1590.0,1547.0,110.0,30.0,3560.0,9638.0,3280.0,8750.0,2610.0,3354.0,5260.0,31173.0,6090.0,33556.0,1180.0,4628.0,8390.0,25548.0
AL,Bibb County,7900.0,2680.0,3430.0,1650.0,4990.0,17450.0,6450.0,344287.0,6790.0,273744.0,1940.0,2004.0,590.0,1293.0,480.0,920.0,1160.0,8722.0,200.0,470.0,3945.0,510.0,6175.0,1380.0,25295.0,540.0,1893.0,970.0,10056.0,0.0,0.0,1720.0,148838.0,31820.0,1450.0,4954.0,230.0,304.0,1330.0,772.0,1710.0,6494.0,1300.0,8289.0,1500.0,7662.0,5680.0,208835.0,30.0,148.0,2420.0,2783.0,350.0,147.0,1650.0,2021.0,130.0,59.0,2250.0,6022.0,2060.0,5492.0,1550.0,1987.0,4910.0,28396.0,5410.0,30233.0,1000.0,4104.0,6620.0,19610.0
AL,Blount County,22040.0,7340.0,11510.0,2790.0,14890.0,49960.0,17550.0,997665.0,18320.0,766493.0,5900.0,8001.0,2090.0,8360.0,1840.0,6774.0,3730.0,35436.0,1160.0,1630.0,12486.0,1790.0,21285.0,4460.0,82526.0,1410.0,5587.0,2960.0,31955.0,30.0,341.0,5490.0,473711.0,103503.0,4440.0,16658.0,870.0,1016.0,4570.0,3682.0,5470.0,22625.0,4310.0,31239.0,4550.0,20645.0,16080.0,607547.0,110.0,591.0,7010.0,8525.0,860.0,427.0,4670.0,5959.0,360.0,125.0,5150.0,12520.0,4500.0,10796.0,3940.0,5461.0,13980.0,87636.0,15780.0,94037.0,3160.0,11304.0,17960.0,50019.0
AL,Bullock County,3790.0,1410.0,680.0,1650.0,2500.0,7760.0,3460.0,114401.0,3260.0,89025.0,590.0,1146.0,280.0,1527.0,250.0,1172.0,580.0,3870.0,200.0,230.0,1503.0,140.0,2172.0,620.0,10353.0,330.0,1637.0,330.0,3226.0,0.0,0.0,670.0,44976.0,11617.0,510.0,1463.0,130.0,174.0,470.0,422.0,660.0,2257.0,400.0,2456.0,590.0,2842.0,2380.0,58464.0,20.0,92.0,1110.0,900.0,160.0,89.0,600.0,503.0,40.0,11.0,1630.0,4653.0,1530.0,4320.0,1180.0,1475.0,1800.0,8167.0,2110.0,8953.0,400.0,1611.0,3250.0,10294.0
AL,Butler County,8440.0,3110.0,2650.0,2590.0,5880.0,17290.0,6630.0,368153.0,7170.0,227429.0,1730.0,2669.0,730.0,5053.0,640.0,2483.0,1250.0,12777.0,420.0,610.0,40599.0,520.0,6491.0,1560.0,27077.0,900.0,3482.0,960.0,10396.0,0.0,0.0,1410.0,175289.0,35589.0,1030.0,7345.0,330.0,369.0,1050.0,961.0,1400.0,8965.0,920.0,5967.0,1150.0,7352.0,5630.0,227360.0,40.0,408.0,2420.0,2599.0,370.0,155.0,1520.0,1562.0,100.0,35.0,3100.0,8526.0,2870.0,7831.0,1990.0,2337.0,4640.0,36670.0,5310.0,38911.0,1070.0,3228.0,7010.0,21095.0
AL,Calhoun County,48180.0,18520.0,19410.0,9470.0,29480.0,99680.0,34500.0,2156505.0,39500.0,1512464.0,13290.0,16054.0,5650.0,28156.0,5020.0,17882.0,6890.0,64654.0,760.0,3970.0,44816.0,3510.0,41479.0,11790.0,261882.0,3290.0,12664.0,6700.0,69687.0,100.0,1539.0,11390.0,1050110.0,227920.0,8640.0,34838.0,2370.0,3295.0,9100.0,8613.0,11250.0,49741.0,8440.0,57198.0,9930.0,57759.0,34380.0,1333406.0,310.0,1803.0,14310.0,15510.0,1980.0,1000.0,8380.0,9839.0,900.0,296.0,12510.0,30318.0,11310.0,27368.0,8700.0,11247.0,29850.0,204479.0,32940.0,216195.0,5970.0,22763.0,40340.0,111496.0
AL,Chambers County,15050.0,6220.0,4170.0,4500.0,11370.0,30610.0,12170.0,513952.0,13240.0,420974.0,2780.0,3988.0,1280.0,5749.0,1150.0,4274.0,2780.0,773.0,280.0,950.0,8345.0,920.0,10927.0,2650.0,38514.0,1320.0,4585.0,1500.0,15311.0,0.0,0.0,3300.0,216053.0,59824.0,2670.0,7928.0,490.0,546.0,2350.0,1955.0,3220.0,11355.0,2160.0,12508.0,2950.0,15884.0,10040.0,272727.0,60.0,253.0,4680.0,4254.0,830.0,481.0,2340.0,2227.0,240.0,91.0,5560.0,15186.0,5170.0,14085.0,3590.0,4641.0,7860.0,36455.0,8950.0,39030.0,1680.0,5018.0,12900.0,39459.0
AL,Cherokee County,9240.0,3090.0,4650.0,1360.0,7240.0,19760.0,6310.0,368268.0,7280.0,273787.0,2570.0,3803.0,1110.0,4236.0,1020.0,2957.0,1700.0,11783.0,560.0,920.0,3736.0,880.0,12832.0,2240.0,42812.0,1110.0,3931.0,1480.0,15975.0,0.0,0.0,1970.0,160120.0,37245.0,1490.0,5600.0,450.0,536.0,1620.0,1757.0,1960.0,8464.0,1410.0,10339.0,1650.0,7561.0,6260.0,220734.0,60.0,181.0,2610.0,2654.0,300.0,141.0,1560.0,1815.0,180.0,55.0,2580.0,6386.0,2300.0,5581.0,1680.0,2073.0,5480.0,31131.0,6350.0,33931.0,1340.0,4237.0,7420.0,20799.0
AL,Chilton County,17280.0,5900.0,7720.0,3390.0,11850.0,38730.0,14530.0,706531.0,14690.0,563259.0,3870.0,5558.0,1470.0,6856.0,1280.0,5894.0,2950.0,22497.0,500.0,1140.0,5611.0,1220.0,16512.0,2960.0,55504.0,1150.0,4176.0,2020.0,22074.0,0.0,0.0,3910.0,309061.0,73909.0,3160.0,10514.0,620.0,640.0,3060.0,2598.0,3850.0,14625.0,2830.0,19110.0,3170.0,17190.0,11990.0,413448.0,90.0,311.0,5110.0,5752.0,560.0,268.0,3420.0,4125.0,200.0,84.0,4660.0,12399.0,4240.0,11004.0,3800.0,5464.0,10260.0,57275.0,11700.0,61882.0,2390.0,7355.0,14310.0,41681.0
AL,Choctaw County,5260.0,1780.0,2090.0,1360.0,3970.0,11320.0,4190.0,233646.0,4250.0,178952.0,1350.0,2217.0,410.0,1228.0,380.0,766.0,840.0,4731.0,300.0,490.0,7203.0,330.0,4188.0,1130.0,20924.0,380.0,1716.0,830.0,8866.0,0.0,0.0,1350.0,109225.0,25933.0,1040.0,3593.0,260.0,323.0,920.0,540.0,1330.0,4857.0,760.0,3937.0,1110.0,6412.0,3680.0,142664.0,60.0,136.0,1550.0,2198.0,160.0,86.0,1020.0,1185.0,80.0,34.0,1580.0,4127.0,1440.0,3750.0,1030.0,1139.0,3160.0,20494.0,3550.0,21784.0,780.0,2482.0,4260.0,13491.0
