STATE,COUNTYNAME,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
AL,Autauga County,-615.0,8800.0,-51.0,4310.0,-80.0,-933.0,-400.0,56406.0,-520.0,10121.0,-199.0,-972.0,114.0,1159.0,88.0,1186.0,-110.0,-2927.0,-20.0,193.0,29013.0,47.0,1839.0,379.0,8419.0,-135.0,-1815.0,158.0,3765.0,10.0,107.0,-327.0,647822.0,-3160.0,-299.0,94.0,-10.0,127.0,-315.0,-186.0,-341.0,73.0,-365.0,-4968.0,-249.0,798.0,-564.0,46535.0,6.0,72.0,-518.0,-639.0,53.0,21.0,34.0,-17.0,-250.0,-63.0,-147.0,-237.0,-149.0,-178.0,-48.0,-52.0,-348.0,8895.0,-375.0,8994.0,-20.0,-167.0,-551.0,-2569.0
AL,Baldwin County,1254.0,35520.0,632.0,12620.0,315.0,1446.0,-184.0,343441.0,1148.0,145854.0,-2370.0,-11885.0,432.0,14349.0,442.0,15324.0,158.0,5649.0,12.0,730.0,103277.0,419.0,9282.0,852.0,25494.0,-850.0,-7627.0,855.0,18651.0,75.0,1380.0,-400.0,3050674.0,-10356.0,-181.0,5084.0,-179.0,-905.0,-626.0,-803.0,-426.0,5325.0,-692.0,-18066.0,-153.0,5767.0,1269.0,295982.0,87.0,836.0,-503.0,-1204.0,90.0,2.0,42.0,-27.0,-767.0,-257.0,472.0,2266.0,359.0,2131.0,-192.0,-325.0,1510.0,58452.0,1486.0,59099.0,130.0,10375.0,1262.0,2181.0
AL,Barbour County,-598.0,3630.0,-42.0,2990.0,-90.0,-952.0,-450.0,16016.0,-405.0,-6524.0,-185.0,-2758.0,-50.0,-219.0,-44.0,-108.0,33.0,2863.0,6.0,-68.0,670.0,28.0,1373.0,89.0,636.0,-46.0,-18.0,59.0,1376.0,-1.0,29.0,-130.0,173162.0,-2365.0,-131.0,-2049.0,31.0,-325.0,-67.0,-135.0,-147.0,-2406.0,-63.0,-1003.0,-87.0,180.0,-462.0,3330.0,-1.0,-66.0,-378.0,-361.0,-1.0,-7.0,-114.0,-71.0,-117.0,-58.0,-211.0,-421.0,-203.0,-399.0,-147.0,-126.0,-182.0,1693.0,-192.0,1772.0,-3.0,684.0,-609.0,-3244.0
AL,Bibb County,-149.0,2680.0,-63.0,1650.0,-29.0,-306.0,-104.0,12914.0,-107.0,10801.0,-51.0,-792.0,-36.0,-12.0,-29.0,147.0,-50.0,3.0,-17.0,-23.0,1219.0,-1.0,-270.0,-41.0,429.0,-100.0,-851.0,63.0,681.0,-0.0001,-0.0001,-72.0,148838.0,-7719.0,-26.0,-285.0,-30.0,-5.0,-96.0,-33.0,-73.0,-218.0,-54.0,-735.0,-54.0,-14.0,93.0,16293.0,1.0,24.0,-58.0,-91.0,15.0,-7.0,49.0,12.0,-64.0,2.0,-84.0,-63.0,-72.0,-30.0,-54.0,-22.0,118.0,1398.0,55.0,1555.0,71.0,884.0,-180.0,-1423.0
AL,Blount County,-290.0,7340.0,-90.0,2790.0,-313.0,-589.0,-221.0,21489.0,-303.0,12337.0,-684.0,-2475.0,3.0,1421.0,16.0,1542.0,-78.0,4595.0,-27.0,34.0,375.0,18.0,-76.0,151.0,5950.0,-468.0,-3133.0,150.0,2866.0,-4.0,28.0,-346.0,473711.0,-7264.0,-303.0,-1138.0,-102.0,-168.0,-360.0,-383.0,-345.0,-1648.0,-326.0,-4063.0,-314.0,-890.0,-9.0,19966.0,-15.0,-11.0,-306.0,-173.0,-20.0,-11.0,-110.0,-56.0,-315.0,-79.0,-76.0,182.0,-98.0,210.0,-156.0,-150.0,76.0,2936.0,-25.0,3379.0,149.0,1004.0,-373.0,-614.0
AL,Bullock County,-162.0,1410.0,-5.0,1650.0,-108.0,-379.0,-231.0,1880.0,-105.0,-847.0,-65.0,-584.0,-18.0,262.0,-18.0,324.0,37.0,840.0,1.0,-7.0,-429.0,-5.0,-301.0,95.0,596.0,-16.0,-279.0,-3.0,259.0,-0.0001,-0.0001,17.0,44976.0,303.0,11.0,-4.0,5.0,30.0,-4.0,16.0,12.0,76.0,4.0,168.0,3.0,-71.0,-163.0,1751.0,0.0,-67.0,-155.0,-217.0,-10.0,-8.0,-50.0,-61.0,-8.0,-2.0,-27.0,-34.0,-38.0,-28.0,-76.0,-76.0,-23.0,787.0,17.0,896.0,34.0,480.0,-189.0,-1206.0
AL,Butler County,-250.0,3110.0,-11.0,2590.0,-103.0,-463.0,-298.0,52667.0,-187.0,-1035.0,-81.0,-604.0,9.0,1426.0,7.0,-60.0,-119.0,1688.0,-15.0,-15.0,32295.0,-13.0,96.0,45.0,1978.0,6.0,2.0,61.0,1196.0,-0.0001,-0.0001,-20.0,175289.0,7377.0,-40.0,2641.0,10.0,-65.0,-17.0,32.0,-22.0,2619.0,-50.0,-653.0,-9.0,506.0,-184.0,42144.0,-4.0,241.0,-198.0,-59.0,33.0,14.0,22.0,69.0,-69.0,-21.0,-95.0,-426.0,-121.0,-380.0,-167.0,-219.0,-74.0,8089.0,-83.0,8287.0,25.0,265.0,-258.0,-1663.0
AL,Calhoun County,-791.0,18520.0,-326.0,9470.0,-852.0,-2272.0,-1086.0,100259.0,-557.0,-9515.0,-1574.0,-3780.0,-82.0,5791.0,-57.0,2075.0,-8.0,6513.0,-24.0,-32.0,27904.0,-100.0,1310.0,347.0,20682.0,-408.0,-4105.0,114.0,4774.0,7.0,-184.0,-640.0,1050110.0,-4999.0,-551.0,3020.0,-73.0,162.0,-656.0,-399.0,-701.0,2706.0,-632.0,-6135.0,-582.0,1798.0,-484.0,91414.0,1.0,449.0,-833.0,-838.0,-56.0,1.0,-11.0,-31.0,-658.0,-168.0,-318.0,-151.0,-291.0,-114.0,-287.0,-428.0,-148.0,21625.0,-100.0,22179.0,-2.0,3169.0,-691.0,-3748.0
AL,Chambers County,-348.0,6220.0,-57.0,4500.0,342.0,-1529.0,-1117.0,22912.0,-94.0,7140.0,-298.0,-1018.0,18.0,883.0,-2.0,621.0,-173.0,10268.0,-6.0,43.0,2072.0,-33.0,-679.0,23.0,-291.0,13.0,-1990.0,55.0,1165.0,-0.0001,-0.0001,46.0,216053.0,3322.0,53.0,-80.0,-55.0,-49.0,-102.0,-93.0,4.0,-168.0,-137.0,-1537.0,116.0,1632.0,-301.0,10751.0,0.0,-76.0,-619.0,-624.0,13.0,-8.0,-30.0,12.0,-249.0,-61.0,-155.0,91.0,-174.0,146.0,-216.0,-357.0,122.0,2594.0,58.0,2922.0,140.0,1228.0,-407.0,-2593.0
AL,Cherokee County,-144.0,3090.0,22.0,1360.0,-147.0,-310.0,-114.0,10053.0,-65.0,7297.0,-264.0,-1144.0,-29.0,893.0,-10.0,630.0,-56.0,1331.0,-2.0,45.0,-1019.0,17.0,871.0,15.0,648.0,-240.0,-1449.0,81.0,1912.0,-0.0001,-0.0001,-83.0,160120.0,-2083.0,-59.0,-137.0,-12.0,20.0,-71.0,49.0,-81.0,37.0,-70.0,-856.0,-38.0,-382.0,-50.0,10312.0,10.0,22.0,-211.0,-155.0,4.0,7.0,-8.0,-8.0,-228.0,-94.0,-100.0,-154.0,-122.0,-104.0,-77.0,-77.0,23.0,1885.0,-26.0,2126.0,116.0,776.0,-257.0,-1066.0
